EVTNAME140001;An Inconvenient Preacher;;;;;;;;;;;;;x,,,,,,,
EVTNAME140001_sub;Problems from the Pulpit in $STATENAME$;;;;;;;;;;;;;x,,,,,,,
EVTDESC140001;A prominent pacifist preacher in $STATENAME$ has been arguing against the government taking any steps to bolster our nation's military. He has decried any type of military action aside from self-defense. We could silence him permanently, but such a move would spread unrest in the state and infuriate the clergy.;;;;;;;;;;;;;x,,,,,,
EVTOPTA140001;He can't preach from the grave.;;;;;;;;;;;;;x,,,,,,,
EVTOPTB140001;Perhaps violence is not the answer.;;;;;;;;;;;;;x,,,,,,,
EVTOPTC140001;Discredit the preacher, and hopefully reduce the impact of his message.;;;;;;;;;;;;;x,,,,,,
EVTNAME140101;A War Hero Speaks Out;;;;;;;;;;;;;x,,,,,,,
EVTNAME140101_sub;Saber Rattling in $STATENAME$;;;;;;;;;;;;;x,,,,,,,
EVTDESC140101;A decorated and high-ranking officer in $STATENAME$ has started to complain in public regarding his perceived lack of proper arms and supplies allocated to the military. He mingles his complaints with reminiscences of national glory and personal valor on far away battlefields. His voice carries great weight in both the military and general public. If we let him continue the state will undoubtedly become more jingoistic.;;;;;;;;;;;;;x,,,,,,,
EVTOPTA140101;Force him into early retirement;;;;;;;;;;;;;x,,,,,,,
EVTOPTB140101;If there's one thing we need more of it is surely more guns;;;;;;;;;;;;;x,,,,,,,
EVTNAME140201;Trouble in the Tavern;;;;;;;;;;;;;x,,,,,,,
EVTNAME140201_sub;Barfight Turned Bloody;;;;;;;;;;;;;x,,,,,,,
EVTDESC140201;A group of young officers in the state of $STATENAME$ have started a barfight over a prostitute in a local tavern and proceeded to kill three lower class workers. A sham trial in a military court has found all the officers innocent and the lower classes are infuriated. If we put them up for re-trial in a civil court the lower classes will be appeased but the image of the military will be hurt.;;;;;;;;;;;;;x,,,,,,,
EVTOPTA140201;There is no need for a second trial.;;;;;;;;;;;;;x,,,,,,,
EVTOPTB140201;Justice demands a re-trial.;;;;;;;;;;;;;x,,,,,,,
EVTNAME140301;The Barracks from Hell;;;;;;;;;;;;;x,,,,,,,
EVTNAME140301_sub;Wretched Conditions for our Soldiers;;;;;;;;;;;;;x,,,,,,,
EVTDESC140301;The deplorable conditions of a barracks in $STATENAME$ has become the subject of a widely read local newspaper. Maggot infested and rotten food along with faulty arms and ammunition has led to numerous injuries and outbreaks of disease. The barracks is supplied by a highly connected group of aristocrats and capitalists who are pressuring the government to ignore the matter, doing so will greatly upset the local soldiers. If we launch an official investigation the public will surely demand greater spending and oversight for military supply.;;;;;;;;;;;;;x,,,,,,
EVTOPTA140301;We cannot allow this to continue.;;;;;;;;;;;;;x,,,,,,,
EVTOPTB140301;Only the strongest shall survive.;;;;;;;;;;;;;x,,,,,,,
EVTNAME140401;Mine Closure;;;;;;;;;;;;;x,,,,,,,
EVTNAME140401_sub;Labourers Petition the Government;;;;;;;;;;;;;x,,,,,,,
EVTDESC140401;A major mine in $STATENAME$ has been running at a deficit for some time now and the owners are on the verge of bankruptcy. The labourers at the mine are unable to find alternative work and fear for their livelihoods. We could step in and subsidize or nationalize the mine but doing so will create greater expectations among the lower classes for intervention in the future.;;;;;;;;;;;;;x,,,,,,,
EVTOPTA140401;The government has no role to play here.;;;;;;;;;;;;;x,,,,,,,
EVTOPTB140401;Subsidize the mine.;;;;;;;;;;;;;x,,,,,,,
EVTOPTC140401;Nationalize the mine.;;;;;;;;;;;;;x,,,,,,,
EVTNAME140501;Hands-Off Professor;;;;;;;;;;;;;x,,,,,,,
EVTNAME140501_sub;Laissez-faire Sentiments;;;;;;;;;;;;;x,,,,,,,
