nv_enlightenment;Enlightenment;;;;;;;;;;;;;x,,,,
nv_tradition;Tradition;;;;;;;;;;;;;x,,,,
nv_progress;Progress;;;;;;;;;;;;;x,,,,
nv_loyalty;Loyalty;;;;;;;;;;;;;x,,,,
nv_independence;Independence;;;;;;;;;;;;;x,,,,
nv_might;Might;;;;;;;;;;;;;x,,,,
nv_unity;Unity;;;;;;;;;;;;;x,,,,
nv_fraternity;Fraternity;;;;;;;;;;;;;x,,,,
nv_prosperity;Prosperity;;;;;;;;;;;;;x,,,,
nv_freedom;Freedom;;;;;;;;;;;;;x,,,,
nv_glory;Glory;;;;;;;;;;;;;x,,,,
nv_supremacy;Supremacy;;;;;;;;;;;;;x,,,,
nv_dominion;Dominion;;;;;;;;;;;;;x,,,,
nv_productivity;Productivity;;;;;;;;;;;;;x,,,,
switch_to_enlightenment_title;Embrace the Ideal of Enlightenment;;;;;;;;;;;;;x,,,,
switch_to_enlightenment_desc;The time has come for our people to stop clinging to ancient tradition. We must look to the nations of the west, and embrace their technology, if we are to retain our independence and our place in the world.;;;;;;;;;;;;;x,,
switch_to_tradition_title;Embrace the Ideal of Tradition;;;;;;;;;;;;;x,,,,
switch_to_tradition_desc;For too long have we looked to the nations of the west. We reject their ways and their superiority, for our are now and always have been best for us.;;;;;;;;;;;;;x,,,
switch_to_progress_title;Embrace the Ideal of Progress;;;;;;;;;;;;;x,,,,
switch_to_progress_desc;Our march towards civilization and matching any imperial nation with our ingenuity continues. We shall not be left behind!;;;;;;;;;;;;;x,,,,
switch_to_independence_title;Embrace the Ideal of Independence;;;;;;;;;;;;;x,,,,
switch_to_independence_desc;We will not allow our nation to be overrun by the western imperialists. We are strong, united, and shall remain such. Against all odds, our nation shall endure.;;;;;;;;;;;;;x,
switch_to_loyalty_title;Embrace the Ideal of Loyalty;;;;;;;;;;;;;x,,,,
switch_to_loyalty_desc;Every citizen in our nation exists to serve, towards the greater good. It is only by acting in unison that we can hope to preserve our nation in the perilous times to come.;;;;;;;;;;;;;x,,,
switch_to_unity_equality_title;Embrace the Ideal of Unity;;;;;;;;;;;;;x,,,,
switch_to_unity_equality_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;x,,,
switch_to_unity_order_title;Embrace the Ideal of Unity;;;;;;;;;;;;;x,,,,
switch_to_unity_order_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;x,,,
switch_to_prosperity_equality_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;x,,,,
switch_to_prosperity_equality_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;x,,,,
switch_to_prosperity_liberty_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;x,,,,
switch_to_prosperity_liberty_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;x,,,,
switch_to_glory_liberty_title;Embrace the Ideal of Glory;;;;;;;;;;;;;x,,,,
switch_to_glory_liberty_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;x,,
switch_to_glory_might_title;Embrace the Ideal of Glory;;;;;;;;;;;;;x,,,,
switch_to_glory_might_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;x,,
switch_to_dominion_might_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;x,,,,
switch_to_dominion_might_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;x,,
switch_to_dominion_order_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;x,,,,
switch_to_dominion_order_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;x,,
switch_to_fraternity_title;Embrace the ideal of Fraternity;;;;;;;;;;;;x,,,,
switch_to_fraternity_desc;In our country, all men are created equal. It is time we fully embrace that maxim and throw off the shackles of iniquity.;;;;;;;;;;;;x,,,
switch_to_freedom_title;Embrace the Ideal of Freedom;;;;;;;;;;;;;x,,,,
switch_to_freedom_desc;Ours is a nation where all men are free to do as they wish, to advance their lot in life and achieve the greatness they were born to. This is our highest virtue, and the source of our nation's strength.;;;;;;;;;;;;;x,,
switch_to_supremacy_title;Embrace the ideal of Supremacy;;;;;;;;;;;;x,,,,
switch_to_supremacy_desc;Our culture is astounding. Our military might is unparalleled. Our industry is dazzling. Soon the rest of the world will know of our might, and shake as we step onto the wider stage.;;;;;;;;;;;;x,,,
switch_to_productivity_title;Embrace the Ideal of Productivity;;;;;;;;;;;;x,,,,
switch_to_productivity_desc;Ours is a wealthy nation filled with industrious, driven people. Each man pushes himself to do better, for the betterment of all.;;;;;;;;;;;;x,,
EVTNAME18501;The $COUNTRY_ADJ$ Way;;;;;;;;;;;;x,,,,
EVTDESC18501;Ours is a nation of equality, where no man is placed above another in importance. Everyone strives for the betterment of all. A recent report in a $CAPITAL$ newspaper regarding the arrest of a wealthy but criminal industrialist has served not to outrage the $COUNTRY_ADJ$ people, but rather to reinforce their ideals. Today our people walk a little more proudly than before.;;;;;;;;;;;;x,,
EVTNAME18505;$COUNTRY_ADJ$ Ingenuity;;;;;;;;;;;;x,,,,
EVTDESC18506;Ours is a nation of liberty, where every man is born with the inherent right to seek his own destiny. The possibility of prosperity lies within every man's reach. A recent report in a $CAPITAL$ newspaper regarding the acquittal of a man popularly believed to be innocent has served to reinforce our peoples' ideals. Today they walk a little more proudly than before.;;;;;;;;;;;;x,,,
EVTNAME18507;The Price of Freedom;;;;;;;;;;;;x,,,,
EVTDESC18507;It has been often said that the $COUNTRY_ADJ$ people are accustomed to freedom-- they strive for it, hold it as the greatest of ideals. So it is that they chafe under the yoke of what they see as the government's tyranny. A recent demonstration in one of our cities threatens to spread throughout the state. With the eyes of the world upon us, however, forcefully putting an end to this act of civil disobedience will no doubt be seen as an attack upon our own citizens.;;;;;;;;;;;;x,
EVTNAME18510;Military Parade;;;;;;;;;;;;x,,,,
EVTDESC18510;In the eyes of our soldiers as they parade through the streets, nothing can be seen but utmost devotion to $COUNTRYNAME$ and the ideals for which our nation stands. These men, and the description fits them, have been fostered since childhood into rigid and firm belief in our nation, and they would die to defend it. Long live $COUNTRY$!;;;;;;;;;;;;x
EVTDESC18511;Ours is a nation of might, where a man's strength determines his success and everyone knows very well how superior we are to our neighbours. None can hope to compare to $COUNTRY$ on our best day. A recent report in a $CAPITAL$ newspaper regarding the execution of a foreigner believed to have been engaged in criminal activities on $COUNTRY_ADJ$ soil has served to reinforce our peoples' beliefs. Today they walk a little more proudly than before.;;;;;;;;;;;;x,,,
EVTNAME18515;Send in the Troops;;;;;;;;;;;;x,,,,
EVTDESC18515;Matters in $COUNTRY$ are getting out of hand. Acts of violence are becoming more commonplace, and some claim that revolution is in the air. Many citizens in $CAPITAL$ are calling on the government to take stronger measures. Sending our army to deal with the violence will, however, only bring the attention of the world upon us. Perhaps this is a time to prove that $COUNTRY$ can deal with its affairs in the way we always have-- with civility.;;;;;;;;;;;;x,
EVTDESC18517;Ours is a nation of order, where peace and civility rule the day. Everyone strives for the common good, and for the progress of our nation as a whole. A recent report in a $CAPITAL$ newspaper regarding the arrest of a prominent criminal figure who had previously eluded authorities has not outraged the people, but rather has served to reinforce their beliefs. Today the people of $COUNTRY$ walk a little more proudly than before.;;;;;;;;;;;;x,
EVTNAME18521;Brotherhood of Man;;;;;;;;;;;;x,,,,
EVTDESC18521;A celebration in $CAPITAL$ took place this month, a sombre affair following the death of a prominent politician. This was a celebration of the $COUNTRY_ADJ$ way: peace, brotherhood and fraternity. Such were the virtues this man believed in, and it is a belief shared by all the $COUNTRY_ADJ$ people.;;;;;;;;;;;;x,
EVTNAME18525;Liberty Shines;;;;;;;;;;;;x,,,,
