#;;;;;;;;;;;;;;x,,
TRIGGER_CIV_PROGRESS_LESS;Civilization progress: §Y50§W%;;;;;;;;;;;;x,,
had_liberal_revolution;Liberal Revolution has ended;;;;;;;;;;;;x,,
proletarian_dictatorship;Proletarian Dictatorship;Dictature prolétaire;Proletarische Diktatur;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
has_siege;Under Siege;;;;;;;;;;;;x,,
the_white_mans_burden;The White Man's Burden;;;;;;;;;;;;x,,,,,,,
the_white_mans_burden_desc;'The White Man's Burden' was a poem by the English poet Rudyard Kipling, published in 1899. At face value it appeared to be a rhetorical command to white men to colonise and rule other nations for the benefit of those people (both the people and the duty may be seen as representing the 'burden' of the title), even though it mixed its  exhortation to empire with somber warnings of the costs involved in imperialism. Imperialists came to understand the phrase 'white man's burden' as a characterization for imperialism that justified the policy as a noble enterprise.;;;;;;;;;;;;x,,,,,
indigenous_garrisoning;Indigenous Garrisoning;;;;;;;;;;;;x,,,,,,,
indigenous_garrisoning_desc;The advent of advanced weaponry, firepower far greater than that possessed by most uncivilized peoples, has made it possible for small but well-armed garrisons to maintain order in colonial holdings-- even with native populations in excess of a thousand-to-one.;;;;;;;;;;;;x,,,,,
well_drilled;Excellent Military Leadership;;;;;;;;;;;;x,,,,,,,
well_drilled_desc;Our military organization is the envy of the world, thanks to our huge reserve of trained officers.;;;;;;;;;;;;x,,,,,,
drilled;Good Military Leadership;;;;;;;;;;;;x,,,,,,,
drilled_desc;Our nation has a large cadre of trained officers, giving our military an advantage.;;;;;;;;;;;;x,,,,,,
poorly_drilled;Poor Military Leadership;;;;;;;;;;;;x,,,,,,,
poorly_drilled_desc;With a shortage of trained officers, our military organization has suffered.;;;;;;;;;;;;x,,,,,,
undisciplined_mob;Undisciplined Mob;;;;;;;;;;;;x,,,,,,,
undisciplined_mob_desc;With an almost complete lack of trained officers, our military has become an undisciplined and unruly mob.;;;;;;;;;;;;x,,,,,,
