ADA;Adal;Adal;Adal;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADA_absolute_monarchy;Adal Sultanate;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADA_ADJ;Adalan;Adalien;Adalisch;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADA_feudal_monarchy;Adal Sultanate;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADA_hms_government;Adal Sultanate;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADA_prussian_constitutionalism;Adal Sultanate;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADR;Andhra;Andhra;Andhra;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADR_ADJ;Andhra;Andhra;Andhra;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADW;Adamawa;Adamawa;Adamawa;;;;;;;;;;;x;;;;;;;;;;;;;;;
ADW_ADJ;Adamawan;Adamawan;Adamawan;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG;Afghanistan;Afghanistan;Afghanistan;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_absolute_monarchy;Afghanistan;Afghanistan;Afghanistan;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_absolute_monarchy;The Sadozai Kingdom;The Sadozai Kingdom;The Sadozai Kingdom;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_absolute_monarchy_ADJ;Afghan;Afghan;Afghanisch;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_absolute_monarchy_ADJ;Sadozai;Sadozai;Sadozai;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_ADJ;Afghan;Afghan;Afghanisch;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_feudal_monarchy;Afghanistan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_feudal_monarchy;The Sadozai Kingdom;The Sadozai Kingdom;The Sadozai Kingdom;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_feudal_monarchy_ADJ;Afghan;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_feudal_monarchy_ADJ;Sadozai;Sadozai;Sadozai;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_prussian_constitutionalism;The Sadozai Kingdom;The Sadozai Kingdom;The Sadozai Kingdom;;;;;;;;;;;x;;;;;;;;;;;;;;;
AFG_prussian_constitutionalism_ADJ;Sadozai;Sadozai;Sadozai;;;;;;;;;;x;;;;;;;;;;;;;;;;
