#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
restore_rashids_desc;During the first twenty years of the 19th century the Arabian Peninsula saw a long-running series of wars as the Saudis and their allies sought to unite the peninsula under their rule. While the Al Rasheed rallied the majority of other tribes to their side the effort proved futile, and by 1821 Ha'il was captured and the House of Rasheed forced to flee to Al Haasa. We have now finally revenged our ancestors and rule the Arabia in the name of Allah.;Les vingt premières années du 19ème siècle ont vues une série de guerres permettre aux Saudis et à leurs alliés d'unifier la péninsule arabique sous leur règne. Même si nous avions ralliés la majorité des autres tribus à nos côtés, nos efforts furent futiles et en 1821 Ha'il fut capturée et notre dynastie forcée de fuir à Al Haasa. Aujourd'hui nous avons finalement notre vengeance et régnons sur l'Arabie au nom d'Allah!;During the first twenty years of the 19th century the Arabian Peninsula saw a long-running series of wars as the Saudis and their allies sought to unite the peninsula under their rule. While the Al Rasheed rallied the majority of other tribes to their side the effort proved futile, and by 1821 Ha'il was captured and the House of Rasheed forced to flee to Al Haasa. We have now finally revenged our ancestors and rule the Arabia in the name of Allah.;;;;;;;;;;;
LOT_NAN_friendship_decision_title;Build a Statue for Edward IV in Fort Lothere;;;;;;;;;;;;;
LOT_NAN_friendship_decision_desc;Years ago, Edward IV, King of Beornia, has helped us install order in our country, when the vile Monarchist regime had seized power. It is past time we paid tribute to this great man, who stood up for our security and traditions in times of peril.;;;;;;;;;;;;;
conquest_of_the_desertNAN_title;Conquest of the Desert;;;;;;;;;;;;;
conquest_of_the_desertNAN_desc;The Beornians have always tried to expand into the Mapuche lands. But their harsh resistance led to a treaty that delimited the border around the river Graham. But now the Beornians have the advantage on the Mapuche tribes and it is needed to secure these lands before the Incans do the same.;;;;;;;;;;;;;
occupation_of_araucaniaINC_title;Occupation of Araucania;;;;;;;;;;;;;
occupation_of_araucaniaINC_desc;A proposal has been brought forth to finally push into the southern lands of Araucania and pacify them once and for all. The Mapuche have refused for centuries to accept our rule and it is our duty to spread the glory of the Inca in the Southern Andes;;;;;;;;;;;;;
exploration_of_Amazonia_GRA_title; Exploration of Amazonia;;;;;;;;;;;;;
exploration_of_Amazonia_GRA_desc; The vast jungles along the Amazon river are void and non-occupied. From our bases in Para we can claim the are and take the territory for ourselves;;;;;;;;;;;;;
exploration_of_Amazonia_GUY_title; Exploration of Amazonia;;;;;;;;;;;;;
