135602.T;Plantagenia's Offer;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135602.D;A letter has arrived from our Viceroy in Athesia. It seems that the Kingdom of Plantagenia has offered to purchase the peninsula from us. They have a great deal of money set aside for the purchase and our current financial and political situation makes us more inclined to accept.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135603.T;Venice Accepts!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135603.D;Venice has agreed to our offer for Athesia! Not only have they agreed to the sale of the Athesian peninsula but they have also included the island chains of Eleuthera and Lucaya as well!;;;;;;;;;;;;;x ;;;;;;;;;;;;;;;
135604.T;Venice Refuses!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135604.D;Despite their situation Venice has refused our offer to sell Athesia. We can either accept this or issue them an ultimatum;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135605.T;Athesia Crisis;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135605.D;It seems that Plantagenia is not taking no for an answer. Now they have massed their soldiers at the Athesia border and there are rumors that their ships are planning for a long voyage. Perhaps now is the time to accept their demands?;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135606.T;Venice has changed it's mind!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135606.D;Venice has reversed its prior decision and agreed to turn over Athesia! Venice bowing down to our show of force truly shows how far we've come as a great power!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135607.T;War with Venice!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135607.D;Once again Venice has refused to hand over Athesia. They believe we won't follow through with our promise of war but let us show them how wrong they were.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135610.T;An Offer from Plantagenia;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135610.D;Plantagenia has offered us a great sum of cash for the island of Cuba. While the island has served us well for centuries the Plantagenians have presented a great deal of money. What shall we do?;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135611.T;Cuba is Ours!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135611.D;Spain has decided to accept our offer for Cuba. This is a great day for our nation as we begin to dominate the region.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135612.T;Spain has Refused!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135612.D;Unfortunately Spain has refused our offer. Unlike with the Venetians a war with Spain would result in a severe drain of our finances making war for Cuba unwise. This setback will not keep us from continuing our rise as a great power, however.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135620.T;An Offer for Sudurhafeyjar;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135620.D;Plantagenia has been expanding across the Caribbean and has now set its eyes on our colonial islands. The islands in recent years have become a rather financial drain on our economy but we also do not want to just bow down to a minor power.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135621.T;Scandinavia has Accepted!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135621.D;Our domination of the Caribbean is almost complete. Now that we own the islands of Ayiti and Righavn all that remains is Eendrachtsland.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135622.T;Scandinavia Refuses!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135622.D;Scandinavia has refused our offer. While we are saddened by their decision we have gained much in the Caribbean to be thankful for as well.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135630.T;The Sale of Eendrachtsland?;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135630.D;Plantagenia has come to us offering to buy Eendrachtsland. While the island is largely useless to us it would showcase our power by refusing.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135631.T;Burgundy Accepts!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135631.D;Burgundy has accepted our offer! We are now the only major power left in the Caribbean!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135632.T;Burgundy Refuses!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
135632.D;Burgundy has refused our offer. We find it no to be no loss however as we already retain a large control of the Caribbean.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
acquire_state_chinese_rival;Claim State;Regagner un état;Beanspruche Staat;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
acquire_state_chinese_rival_desc;Claim back a state for the true Imperial Chinese dynasty - yours.;Regagner un état à la dynastie impériale légitime - la votre.;Erhebe Anspruch auf einen Staat für die wahre Imperiale Chinesische Dynastie - Deine.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
acquire_state_chinese_rival_setup;Claim back a state from the $RECIPIENT$ usurpers for the true Imperial Chinese dynasty - yours.;Regagner un état usurpé par les illégitimes $RECIPIENT$ à la dynastie impériale légitime - la votre.;Erhebe Anspruch auf einen Staat von den $RECIPIENT$ Thronräubern für die wahre Imperiale Chinesische Dynastie - Deine.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
acquire_state_chinese_rival_short;Claim back $STATE$;Demander $STATE$;Beanspruche $STATE$;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
unification_free_peoples;Free Italians;Peuple libre;Freies Volk;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unification_free_peoples_short;$THIRD$ acquires $STATE$;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unification_free_peoples_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$;Prendre $STATE$ à $RECIPIENT$ pour le rendre à $THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zurück;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afro_burgundian_slave_citizens_desc;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;Nous avons abolie l'esclavage, mais les anciens esclaves continuent à vivre exclus de notre société. Nous aurions tout à gagner à en faire des citoyens à part entière, assurant leur prospérité et notre cohésion nationale.;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
afro_burgundian_slave_citizens_title;Integration of the Former Slaves;Intégration des anciens esclaves;Integration of the former slaves;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
afro_colombian_slave_citizens_desc;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;Nous avons abolie l'esclavage, mais les anciens esclaves continuent à vivre exclus de notre société. Nous aurions tout à gagner à en faire des citoyens à part entière, assurant leur prospérité et notre cohésion nationale.;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
afro_colombian_slave_citizens_title;Integration of the Former Slaves;Intégration des anciens esclaves;Integration of the former slaves;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
afro_french_slave_citizens_desc;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;Nous avons abolie l'esclavage, mais les anciens esclaves continuent à vivre exclus de notre société. Nous aurions tout à gagner à en faire des citoyens à part entière, assurant leur prospérité et notre cohésion nationale.;We have abolished slavery, but the former slaves continue to be excluded from society. We would have everything to gain by making them full citizens, ensuring their prosperity and our national cohesion.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
afro_french_slave_citizens_title;Integration of the Former Slaves;Intégration des anciens esclaves;Integration of the former slaves;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
annex_chinese_rival;Overthrow Usurper;Renverser Illégitimes;Sturz des Thronräubers;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
annex_chinese_rival_desc;Overthrow a dynasty attempting to usurp the Chinese Imperial Throne.;Renverser une dynastie tentant d'usurper le Trône Impérial.;Stürze eine Dynastie welche unrechtmässig versucht sich den Chinesischen Imperialen Thron anzueignen.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
annex_chinese_rival_setup;Overthrow the $RECIPIENT$ dynasty attempting to usurp the Chinese Imperial Throne.;Renverser la dynastie $RECIPIENT$ qui tente d'usurper le Trône Impérial.;Stürze die $RECIPIENT$ Dynastie welche unrechtmässig versucht sich den Chinesischen Imperialen Thron anzueignen.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
