#Most keys that are hardcoded into the game;;;;;;;;;;;;;;
LEDGER_COUNTRY_NAME;Country;Pays;Land;;;;;;;;;;;
LEDGER_COUNTRY_MILSCORE;Military Score;Score militaire;Militärische Punktzahl;;;;;;;;;;;
LEDGER_COUNTRY_INDSCORE;Industrial Score;Score industriel;Industrielle Punktzahl;;;;;;;;;;;
LEDGER_COUNTRY_PRESTIGE;Prestige;Prestige;Prestige;;;;;;;;;;;
LEDGER_COUNTRY_TOTALSCORE;Total Score;Score total;Gesamtpunktzahl;;;;;;;;;;;
LEDGER_HEADER_PROVINCES;Provinces;Provinces;Provinzen;;;;;;;;;;;
LEDGER_PROVINCE_NAME;Province;Province;Provinz;;;;;;;;;;;
LEDGER_PROVINCE_TOTALPOP;Total pop.;Pop. totale;Gesamtbevölk.;;;;;;;;;;;
LEDGER_PROVINCE_AVGMIL;Avg. Mil.;Mil. moy.;Durchschn. Mil.;;;;;;;;;;;
LEDGER_PROVINCE_AVGCON;Avg. Con.;Con. moy.;Durchschn. Bew.;;;;;;;;;;;
LEDGER_PROVINCE_AVGLIT;Avg. Lit.;Alpha. moy.;Durchschn. Alph.;;;;;;;;;;;
LEDGER_PROVINCE_RELIGION;Religion;Religion;Religion;;;;;;;;;;;
LEDGER_PROVINCE_CULTURE;Culture;Culture;Kultur;;;;;;;;;;;
LEDGER_PROVINCE_ISSUE;Issue;Position politique;Problem;;;;;;;;;;;
LEDGER_PROVINCE_IDEOLOGY;Ideology;Idéologie;Ideologie;;;;;;;;;;;
LEDGER_HEADER_PROVINCE_POPS;Province population;Population de la province;Provinzbevölkerung;;;;;;;;;;;
LEDGER_HEADER_ARMY;Armies;Armées;Armeen;;;;;;;;;;;
LEDGER_ARMY_NAME;Army;Armée;Armee;;;;;;;;;;;
LEDGER_ARMY_INFANTRY;Infantry;Infanterie;Infanterie;;;;;;;;;;;
LEDGER_ARMY_CAVALRY;Cavalry;Cavalerie;Kavallerie;;;;;;;;;;;
LEDGER_ARMY_ARTILLERY;Artillery;Artillerie;Artillerie;;;;;;;;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;Price history;Historique des prix;Preisverlauf;;;;;;;;;;;
LEDGER_COUNTRY_STATUS;Status;Statut;Status;;;;;;;;;;;
LEDGER_HEADER_COUNTRYCOMPARE;National Comparison;Comparaison nationale;Nationaler Vergleich;;;;;;;;;;;
LEDGER_COUNTRY_TOTAL_POP;Total pop.;Pop. totale;Gesamtbevölk.;;;;;;;;;;;
LEDGER_COUNTRY_PROVCOUNT;Provinces;Provinces;Provinzen;;;;;;;;;;;
LEDGER_COUNTRY_FACTORYCOUNT;Factories;Usines;Fabriken;;;;;;;;;;;
LEDGER_COUNTRY_LITERACY;Literacy;Alphabétisation;Alphabetisierung;;;;;;;;;;;
LEDGER_COUNTRY_LEADERSHIP;Leadership;Commandement;Anführerschaft;;;;;;;;;;;
LEDGER_COUNTRY_DIVISIONS;Brigades;Divisions;Divisionen;;;;;;;;;;;
LEDGER_COUNTRY_SHIPS;Ships;Navires;Schiffe;;;;;;;;;;;
LEDGER_HEADER_COUNTRYPARTY;Political systems;Systèmes politiques;Politische Systeme;;;;;;;;;;;
LEDGER_COUNTRY_GOVERNMENT;Government;Gouvernement;Regierung;;;;;;;;;;;
LEDGER_COUNTRY_NATIONALVALUE;National Value;Valeur nationale;Nationalwert;;;;;;;;;;;
LEDGER_COUNTRY_RULINGPARTY;Ruling party;Parti dirigeant;Regierungspartei;;;;;;;;;;;
LEDGER_COUNTRY_RULINGIDEOLOGY;Party ideology;Idéologie du parti;Partieideologie;;;;;;;;;;;
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;Political reforms;Réformes politiques;Politische Reformen;;;;;;;;;;;
LEDGER_HEADER_COUNTRYSOCIALREFORMS;Social reforms;Réformes sociales;Soziale Reformen;;;;;;;;;;;
LEDGER_HEADER_COUNTRY_POPS;Country population;Population du pays;Landesbevölkerung;;;;;;;;;;;
LEDGER_HEADER_PROVINCEPRODUCTION;Province production;Production de la province;Provinzproduktion;;;;;;;;;;;
LEDGER_STATE_NAME;State;État;Zustand;;;;;;;;;;;
LEDGER_GOODS;Goods;Marchandises;Güter;;;;;;;;;;;
LEDGER_OUTPUT;Output;Rendement;Leistung;;;;;;;;;;;
LEDGER_INCOME;Income;Revenus;Einnahmen;;;;;;;;;;;
LEDGER_EMPLOYED;Employed;Emplois;Beschäftigt;;;;;;;;;;;
LEDGER_LEVEL;Level;Niveau;Stufe;;;;;;;;;;;
