combat_engineers;Combat Engineers;Sapeurs;Pioniere;;;;;;;;;;;x
combat_engineers_desc;As part of our program of military modernization, a corps of combat engineers has been established, trained in the use of explosives and close range weaponry to overcome enemy fortifications.;Dans le cadre de notre programme de modernisation militaire, un corps d’ingénieurs de combat a été créé, entrainé à l’utilisation d’explosifs et d’armes à courte portée pour capturer les fortifications ennemies.;Als Teil unserer Modernisierung des Militärs wurde eine Pionier-Spezialeinheit geschaffen, trainiert im Umgang mit Sprengstoffen und Nahkampfwaffen zur Überwindung feindlicher Befestigungen.;;;;;;;;;;;x
elite_training;Guards;Garde;Garde;;;;;;;;;;;x
elite_training_desc;The modernization of our army now encompasses the best of our troops, who have adapted to the requirements of modern war. Not only are they second to none with bayonet, they look quite smart outside the royal palace too!;La modernisation de notre armée s’étant maintenant à nos meilleures troupes, adaptées aux besoins de la guerre moderne. Non seulement ils sont supérieures à tout dans l’utilisation de la baïonnette, mais ils sont d’une rare élégance devant le palais royal!;Die militärischen Modernisierungen machen auch vor den Besten unserer Truppe nicht Halt. Wir haben diese nun als Garde etabliert um den Anforderungen moderner Kriege besser gerecht zu werden. Und sie sehen auch noch besonders schick aus in ihren neuen Uniformen...;;;;;;;;;;;x
cuirassiers;Cuirassiers;Cuirassiers;Kürassiere;;;;;;;;;;;x
cuirassiers_desc;Our heavy cavalry has been equipped with firearms and reorganized according to European model. It is a potent shock weapon as capable of riding through enemy ranks as giving fire support, though in the context of modern war, it has by necessity been given a supporting role subservient to the infantry that forms the core of our new army.;Notre cavalerie lourde est maintenant équipée d’armes à feu, et réorganisée suivant le modèle européen. C’est un instrument de choc autant capable de charger à travers les rangs ennemis que de fournir une puissance de feu en soutient, même si dans le contexte de la guerre moderne, son rôle est bien sûr de soutenir l’infanterie, le cœur de notre armée.;Unsere schwere Kavallerie wurde mit Gewehren ausgerüstet und somit zu einer potenten Waffe, die feindliche Linien durchbricht, schockierende Wirkung erzeugt und dadurch wirksame Unterstützung für die Infanterie als Kern unserer modernisierten Armee leistet.;;;;;;;;;;;x
hussars;Hussars;Hussards;Husaren;;;;;;;;;;;x
hussars_desc;Our light cavalry has been integrated into the structure of our army along European lines, dedicated entirely to ground control and outflanking.;Notre cavalerie légère est intégrée dans notre armée, dédiée entièrement au control du terrain et à la prise à revers de l’ennemie.;Unsere leichte Kavallerie wurde nunmehr in die Linienformationen moderner europäischer Heere integriert. Dort kann sie effektiv das Schlachtfeld kontrollieren und die Linien flankierend unterstützen.;;;;;;;;;;;x
sailships;Sailships;Bateaux à voile;Segelschiffe;;;;;;;;;;;x
sailships_desc;Sailships;Bateaux à voile;Segelschiffe;;;;;;;;;;;x
paddle_wheel_propulsion;Paddle-Wheel Propulsion;Propulsion par roues à aubes;Raddampfer;;;;;;;;;;;x
