modern_weapons;Modern weapons;;;;;;;;;;;;;x,,,,,
modern_weapons_desc;The best weapons foreign nations have to offer;;;;;;;;;;;;;x,,,,,
naval_architecture;Naval architecture;;;;;;;;;;;;;x,,,,,
naval_architecture_l;Naval architecture;;;;;;;;;;;;;x,,,,,
traditional;Traditional;;;;;;;;;;;;;x,,,,,
traditional_desc;Simple ship design;;;;;;;;;;;;;x,,,,,
scientific;Scientific;;;;;;;;;;;;;x,,,,,
scientific_desc;Advanced ship design;;;;;;;;;;;;;x,,,,,
naval_facilities;Naval facilities;;;;;;;;;;;;;x,,,,,
naval_facilities_l;Naval facilities;;;;;;;;;;;;;x,,,,,
no_naval_bases;Non-existent;;;;;;;;;;;;;x,,,,,
no_naval_bases_desc;Primitive port capabilities;;;;;;;;;;;;;x,,,,,
yes_naval_bases;Naval bases;;;;;;;;;;;;;x,,,,,
yes_naval_bases_desc;Able to build military ports;;;;;;;;;;;;;x,,,,,
advanced_foreign_navies;Advanced foreign navies;;;;;;;;;;;;;x,,,,,
advanced_foreign_navies_desc;The best ships that we can purchase;;;;;;;;;;;;;x,,,,,
academic_institutions;Academic institutions;;;;;;;;;;;;;x,,,,,
academic_institutions_l;Academic institutions;;;;;;;;;;;;;x,,,,,
nonexistent;None;;;;;;;;;;;;;x,,,,,
nonexistent_desc;Traditional education methods only;;;;;;;;;;;;;x,,,,,
madrasahs;Madrasahs;;;;;;;;;;;;;x,,,,,
madrasahs_desc;Simple schooling institutions;;;;;;;;;;;;;x,,,,,
universities;Universities;;;;;;;;;;;;;x,,,,,
universities_desc;Advanced centers of learning;;;;;;;;;;;;;x,,,,,
medicine_reform;Medical reform;;;;;;;;;;;;;x,,,,,
medicine_reform_l;Medical reform;;;;;;;;;;;;;x,,,,,
herbalism;Herbalism;;;;;;;;;;;;;x,,,,,
herbalism_desc;Only traditional medicines allowed;;;;;;;;;;;;;x,,,,,
alchemy;Imported medicines;;;;;;;;;;;;;x,,,,,
alchemy_desc;Foreign pharmaceuticals are permitted;;;;;;;;;;;;;x,,,,,
foreign_surgeons;Foreign surgeons;;;;;;;;;;;;;x,,,,,
foreign_surgeons_desc;Foreign doctors are permitted to practice;;;;;;;;;;;;;x,,,,,
taxation_reform;Taxation reform;;;;;;;;;;;;;x,,,,,
taxation_reform_l;Taxation reform;;;;;;;;;;;;;x,,,,,
tribute;Tribute;;;;;;;;;;;;;x,,,,,
tribute_desc;Collected through traditional means;;;;;;;;;;;;;x,,,,,
tax_farmers;Taxed goods;;;;;;;;;;;;;x,,,,,
tax_farmers_desc;Organized system to tax farmers;;;;;;;;;;;;;x,,,,,
tax_inspectors;Tax inspectors;;;;;;;;;;;;;x,,,,,
tax_inspectors_desc;Modern taxation system;;;;;;;;;;;;;x,,,,,
diplomatic_reform;Diplomatic reform;;;;;;;;;;;;;x,,,,,
diplomatic_reform_l;Diplomatic reform;;;;;;;;;;;;;x,,,,,
isolationism;Isolationism;;;;;;;;;;;;;x,,,,,
isolationism_desc;We shall interact with no other nations;;;;;;;;;;;;;x,,,,,
interactive;Interactive;;;;;;;;;;;;;x,,,,,
interactive_desc;We can ignore the rest of the world no longer;;;;;;;;;;;;;x,,,,,
disciplinary_reform;Disciplinary reform;;;;;;;;;;;;;x,,,,,
disciplinary_reform_l;Disciplinary reform;;;;;;;;;;;;;x,,,,,
punishment;Retribution;;;;;;;;;;;;;x,,,,,
punishment_desc;An eye for an eye, no less;;;;;;;;;;;;;x,,,,
rehabilitation;Rehabilitation;;;;;;;;;;;;;x,,,,,
rehabilitation_desc;The concepts of mercy and parole;;;;;;;;;;;;;x,,,,,
professional_officers;Professional officers;;;;;;;;;;;;x,,
professional_officers_l;Professional officers;;;;;;;;;;;;x,,
professional_officers_desc;Our troops AND officers are the finest in the world. For real this time.;;;;;;;;;;;;x,,
professional_naval_officers;Professional naval officers;;;;;;;;;;;;x,,
professional_naval_officers_l;Professional naval officers;;;;;;;;;;;;x,,
professional_naval_officers_desc;Our captains are well trained professionals.;;;;;;;;;;;;x,,
advanced_foreign_training;Advanced foreign training;;;;;;;;;;;;x,,
advanced_foreign_training_l;Advanced foreign training;;;;;;;;;;;;x,,
advanced_foreign_training_desc;Our troops have mastered modern techniques.;;;;;;;;;;;;x,,
advanced;Advanced;;;;;;;;;;;;x,,
advanced_l;Advanced;;;;;;;;;;;;x,,
advanced_desc;REALLY advanced ship design. It's like rocket science for the Victorian era.;;;;;;;;;;;;x,,
advanced_military_constructions;Modern fortifications;;;;;;;;;;;;x,,
advanced_military_constructions_l;Modern fortifications;;;;;;;;;;;;x,,
advanced_military_constructions_desc;These fortifications can actually withstand enemy fire.;;;;;;;;;;;;x,,
naval_infrastructure;Naval infrastructure;;;;;;;;;;;;x,,
naval_infrastructure_l;Naval infrastructure;;;;;;;;;;;;x,,
naval_infrastructure_desc;We have set up a network of naval bases and outposts.;;;;;;;;;;;;x,,
army_academies;Army academies;;;;;;;;;;;;x,,
army_academies_l;Army academies;;;;;;;;;;;;x,,
army_academies_desc;We have established a national college to train our officers.;;;;;;;;;;;;x,,
naval_academies;Naval academies;;;;;;;;;;;;x,,
naval_academies_l;Naval academies;;;;;;;;;;;;x,,
naval_academies_desc;Man the cannons lads, thar she sails!;;;;;;;;;;;;x,,
advanced_agriculture;Modern agriculture;;;;;;;;;;;;x,,
advanced_agriculture_l;Modern agriculture;;;;;;;;;;;;x,,
advanced_agriculture_desc;Adapting new techniques will increase our RGO output significantly.;;;;;;;;;;;;x,,
advanced_admin_reform;Modern administration;;;;;;;;;;;;x,,
advanced_admin_reform_l;Modern administration;;;;;;;;;;;;x,,
advanced_admin_reform_desc;Our administration is now REALLY modern and efficient. By the way, do you have any idea where I can get permit A39?;;;;;;;;;;;;x,,
advanced_education_reform;Modernized system;;;;;;;;;;;;x,,
advanced_education_reform_l;Modernized system;;;;;;;;;;;;x,,
advanced_education_reform_desc;The newest ideas for everyone.;;;;;;;;;;;;x,,
advanced_industrial_construction;Advanced Construction;;;;;;;;;;;;x,,
advanced_industrial_construction_l;Advanced Construction;;;;;;;;;;;;x,,
advanced_industrial_construction_desc;We have adopted all modern techniques.;;;;;;;;;;;;x,,
advanced_transport;Advanced;;;;;;;;;;;;x,,
advanced_transport_l;Advanced;;;;;;;;;;;;x,,
advanced_transport_desc;Transportation system is modern AND efficient.;;;;;;;;;;;;x,,
balanced_diplomacy;Experienced;;;;;;;;;;;;x,,
balanced_diplomacy_l;Experienced;;;;;;;;;;;;x,,
balanced_diplomacy_desc;Our officials have learned how to avoid faux pas. (Adopting this reform will reduce the chance of negative events.);;;;;;;;;;;;x,,
the_metro;The Metro;;;;;;;;;;;;x,,
the_metro_desc;Rapid transit began with the opening in 1863 of the Metropolitan Railway, now part of the London Underground. Rapid transit evolved from steam railways during the late 19th century. In 1890 the City & South London Railway in London was the first electric rapid transit railway. The electric railway eventually was merged into London Underground. The technology swiftly spread to other cities in Europe, as in Budapest, Hungary in 1896, and then to the United States. A number of elevated systems were built, starting with the 1893 100% designed electric Liverpool Overhead Railway, which also had a small underground section complete with station. The elevated railways in Chicago and New York were converted to electric from steam propulsion.;;;;;;;;;;;;x,,
skyscrapers;Skyscraper Architecture;;;;;;;;;;;;x,,
