GEN_ADJ;Genoan;Genoan;Genoan;;;;;;;;;;;x;
GEN;Genoa;Genoa;Genoa;;;;;;;;;;;x;
GEN_proletarian_dictatorship;Genoan People's Republic;Genoan People's Republic;Genoan People's Republic;;;;;;;;;;;x;
GEN_presidential_dictatorship;Republic of Genoa;Republic of Genoa;Republic of Genoa;;;;;;;;;;;x;
GEN_bourgeois_dictatorship;Republic of Genoa;Republic of Genoa;Republic of Genoa;;;;;;;;;;;x;
GEN_fascist_dictatorship;State of Genoa;State of Genoa;State of Genoa;;;;;;;;;;;x;
GEN_absolute_monarchy;Kingdom of Genoa;Kingdom of Genoa;Kingdom of Genoa;;;;;;;;;;;x;
GEN_prussian_constitutionalism;Kingdom of Genoa;Kingdom of Genoa;Kingdom of Genoa;;;;;;;;;;;x;
GEN_hms_government;Kingdom of Genoa;Kingdom of Genoa;Kingdom of Genoa;;;;;;;;;;;x;
GEN_democracy;Republic of Genoa;Republic of Genoa;Republic of Genoa;;;;;;;;;;;x;
GEN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GEN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GEN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GEN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GEN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GEN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GEN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GEN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GEN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
