;;;;;;;;;;;;x,,,,,,,
######################################################################;;;;;;;;;;;;;;x,,,,,,,
##### extra_decisions.txt (Extra Decisions) ;;;;;;;;;;;;;;x,,,,,,,
######################################################################;;;;;;;;;;;;;;x,,,,,,,
address_the_nation_title;Address the Nation;;;;;;;;;;;;x,,,,,,,
address_the_nation_desc;A speech was made today,although the direct implications are obvious,whether or not it will go down in history shall remain to be seen.;;;;;;;;;;;;x,,,,,
Bourgeois_Coup_d'État!_title;A Bourgeous Coup D'etat;;;;;;;;;;;;x,,,,,,,
Bourgeois_Coup_d'État!_desc; The Upper Crust of the nation have won the elections, and not only have they been elected, there was a Coup D'etat in the leadership of the nation. Your nation is now again run by the rich, may the divine have mercy on the Proletariat in the coming years.;;;;;;;;;;;;x,,,,
exhibition_title;Exhibition (Classicism is abound!);;;;;;;;;;;;x,,,,,,,
exhibition_desc;This is a chance to show the nations of the world our great state, as such our status has risen in the eyes of many. May the nation continue to prosper under your care.;;;;;;;;;;;;x,,,,,,
exhibition2_title;Exhibition (The flourish of Romanticism);;;;;;;;;;;;x,,,,,,,
exhibition2_desc;As time presses on, so does the need to improve upon the ideals of the country. This new style of exhibition puts us above other countries around us, to show that we are progressing to a greater era of prosperity for our nation. Most countries in the rest of the world are pleased with this change of events.;;;;;;;;;;;;x,,,,,
exhibition3_title;Exhibition (The Realist movement);;;;;;;;;;;;x,,,,,,,
exhibition3_desc;The saying that 'Time waits for noone' holds true for nations as well. New ideas are spreading through your country like wildfire, many wish to hold a exhhibition to show the world these changes. This has improved your nation's image with the other countries.;;;;;;;;;;;;x,,,,,,
exhibition4_title;Exhibition (The beginnings of Impressionism);;;;;;;;;;;;x,,,,,,,
exhibition4_desc; New ideas are abound in the nation again, moreover the intellectuals of the nation has convinced us to 'donate' some money towards another exhibition. It was worth it in the end, as nations around flocked to see what our nation has been doing lately.;;;;;;;;;;;;x,,,,,
exhibition5_title;Exhibition (An impression left by Expressionism);;;;;;;;;;;;x,,,,,,,
exhibition5_desc; Into the pockets of our great nations the intellectuals descend into. For another exhibition has been called, and furthermore has shown the nations of the world that we are in the up and coming in terms of cultural development.;;;;;;;;;;;;x,,,,,,
exhibition6_title;Exhibition (The new fad!);;;;;;;;;;;;x,,,,,,,
exhibition6_desc;The organizers of this latest exhibition have assured us that it will be about the latest 'fad' that has struck the world. A lot of our nation's people agree with this as well. Well, other nations look at us in a better light, so it was worth it in the end. Right?;;;;;;;;;;;;x,,,,,
rangit_singh_title;Rule of the Maharajah;;;;;;;;;;;;x,,,,,,,
rangit_singh_desc;The Maharajah Ranjit Singh has united the Panjabi misls under a single flag. He has formed a secular and tolerant state, one that has thrown off the Afghan yoke and resisted the encroaching imperialists. The future of the Sikh Empire is bright!;;;;;;;;;;;;x,,,,,,
