;;;;;;;;;;;;;x,,,
remove_leader_title;Remove the First Minister;;;;;;;;;;;;;x,,,
remove_leader_desc;Our beloved monarch does not fancy the current First Minister. Give him the sack and find another!;;;;;;;;;;;;;x,,,
expert_diplomat;Expert Diplomat;;;;;;;;;;;;;x,,,
expert_diplomat_desc;Our leader is an expert in the art of diplomacy.;;;;;;;;;;;;;x,,,
successful_industrialist;Successful Industrialist;;;;;;;;;;;;;x,,,
successful_industrialist_desc;Our leader is a wealthy industrialist skilled in matters of business and finance.;;;;;;;;;;;;;x,,,
ivory_tower_intellectual;Ivory Tower Intellectual;;;;;;;;;;;;;x,,,
ivory_tower_intellectual_desc;Our leader hails from the ranks of the intelligentsia, possessing a superior education.;;;;;;;;;;;;;x,,
man_of_the_people;Man of the People;;;;;;;;;;;;;x,,,
man_of_the_people_desc;Our leader is charismatic, and has a way of connecting with our country's people that few understand.;;;;;;;;;;;;;x,,
landed_gentleman;Landed Gentleman;;;;;;;;;;;;;x,,,
landed_gentleman_desc;Our leader hails from the ranks of the landed gentry, a man of breeding who is familiar with our country's aristocracy.;;;;;;;;;;;;;x,,
military_man;Military Man;;;;;;;;;;;;;x,,,
military_man_desc;Our leader has a significant military background, and is familiar with the needs of our armed forces.;;;;;;;;;;;;;x,,
lord_admiral;Lord Admiral;;;;;;;;;;;;;x,,,
lord_admiral_desc;Our leader has a significant naval background, and is familiar with the needs of our country's navy.;;;;;;;;;;;;;x,,
raving_loon;Raving Loon;;;;;;;;;;;;;x,,,
raving_loon_desc;To put it politely, we will be fortunate if our leader does not cause the country considerable harm. Many consider him a lunatic.;;;;;;;;;;;;;x,,
luddite;Luddite;;;;;;;;;;;;;x,,,
luddite_desc;Our leader is no friend of progress and technology, favoring traditionalism over industrial development.;;;;;;;;;;;;;x,,
great_statesman;Great Statesman;;;;;;;;;;;;;x,,,
great_statesman_desc;Our leader is an able speaker and a fine statesman, respected by other world leaders.;;;;;;;;;;;;;x,,
backroom_boy;Backroom Boy;;;;;;;;;;;;;x,,,
backroom_boy_desc;Our leader hails from the ranks of the bureaucracy, possessing a way of ensuring the country's administration is run smoothly.;;;;;;;;;;;;;x,,
great_reformer;Great Reformer;;;;;;;;;;;;;x,,,
great_reformer_desc;A champion of reform, our leader is seen as someone who can enact significant change in our country.;;;;;;;;;;;;;x,,
gauche_buffoon;Gauche Buffoon;;;;;;;;;;;;;x,,,
gauche_buffoon_desc;For the love of God, don't let our leader interact with foreign dignitaries. He has, shall we say, a facility for saying the wrong thing at the wrong time.;;;;;;;;;;;;;x
administrative_genius;Administrative Genius;;;;;;;;;;;;;x,,,
administrative_genius_desc;Under our leader's guidance, the country's bureaucracy has never run more efficiently. Nothing escapes his notice.;;;;;;;;;;;;;x,,
visionary_thinker;Visionary Thinker;;;;;;;;;;;;;x,,,
visionary_thinker_desc;Our leader is a true visionary, and under his guidance we shall almost certainly see great leaps in technological progress.;;;;;;;;;;;;;x,,
competent_placeholder;Competent Placeholder;;;;;;;;;;;;;x,,,
competent_placeholder_desc;Little good can be said about our leader. Fortunately, little bad can be said about him as well.;;;;;;;;;;;;;x,,
imperious_autocrat;Imperious Autocrat;;;;;;;;;;;;;x,,,
imperious_autocrat_desc;No-one challenges our leader, for any reason. That said, he's quite impressive.;;;;;;;;;;;;;x,
prince_of_terror;Prince of Terror;;;;;;;;;;;;;x,,,
prince_of_terror_desc;Woe betide anyone or any nation that gets in the way of our leader's ambition.;;;;;;;;;;;;;x,,,
efficient_sociopath;Efficient Sociopath;;;;;;;;;;;;;x,,,
efficient_sociopath_desc;The country has never run more smoothly than under our leader's guidance. Everyone agrees. Just ask them. They're all nodding and smiling, aren't they?;;;;;;;;;;;;;x,,
pig_headed_isolationist;Pig-Headed Isolationist;;;;;;;;;;;;;x,,,
pig_headed_isolationist_desc;Our leader is determined to keep our country isolated, favoring unquestioning adherence to tradition over all else.;;;;;;;;;;;;;x,,
ambitious_union_boss;Ambitious Union Boss;;;;;;;;;;;;;x,,,
ambitious_union_boss_desc;Our leader hails from the ranks of the blue-collar unions, a man who has worked his way up through the ranks... right to the very top.;;;;;;;;;;;;;x,,
dour_economist;Dour Economist;;;;;;;;;;;;;x,,,
dour_economist_desc;Our leader has a penchant for numbers and economics, even if he isn't particularly good with people.;;;;;;;;;;;;;x,,
