$;;;;;;;;;;;;x,,,,,
RUS_EXP_202201_t;Russian Ambitions In The West$;;;;;;;;;;;;x,,,,,
RUS_EXP_202201_d;Now that we've united the Russian people, there is some debate about how to handle the various states on our western border. As we see it, there are two major options. First, we could attempt to project sea power by seizing ports and territory along either the Baltic or Black seas, both of which would ease diplomacy and military coordination with the states of Western Europe. Expanding to the north gives us opportunities to weaken our enemies, while a southern strategy would be easier to implement due to the decline of the steppe khanates. Alternatively, we could focus on liberating the Ruthenian people to our west. Since they are so culturally similar to us, it would be easier to incorporate them into our state.;;;;;;;;;;;;x,,,,,
set_expansion_focus_title;Russian Ambitions In The West$;;;;;;;;;;;;x,,,,,
set_expansion_focus_desc;If Russia is to become a great empire, we must determine how we are to deal with our strong neighbors.$;;;;;;;;;;;;x,,,,,
move_capital_to_nyenschantz_title;Move The Capital To Nyenschantz$;;;;;;;;;;;;x,,,,,
move_capital_to_nyenschantz_desc;In the early 18th century, Mikhail the Great made great efforts to modernize and strengthen Muscovy. We should honor and continue his efforts by building a great city on the Baltic and making it our capital. Nyenschantz isn't ice-free all year, but it's easily defensible and already somewhat populated. Furthermore, it would allow our a greater degree of control over our new Baltic subjects, which could very well make integrating them easier.$;;;;;;;;;;;;x,,,,,
move_capital_to_rostov_title;Move The Capital To Rostov$;;;;;;;;;;;;x,,,,,
move_capital_to_rostov_desc;Rostov is located at the mouth of the Don River and has easy access to the Black Sea. If we are to focus on expanding southwards, it would make an excellent capital, giving us easy access to the entire Mediterranean and opening up many opportunities for trade, diplomacy, and expansion. We would also be able to exert greater control over recently incorporated steppe peoples, which could very well make integrating them easier.$;;;;;;;;;;;;x,,,,,
gateway_to_russia;Gateway To Russia$;;;;;;;;;;;;x,,,,,
integrate_ruthenian_culture_title;Integrate the Ruthenians$;;;;;;;;;;;;x,,,,,
integrate_ruthenian_culture_desc;As our (somewhat) close cultural kin, the Ruthenians certainly deserve full political rights within our empire.$;;;;;;;;;;;;x,,,,,
integrate_tatar_culture_title;Integrate the Kazan Tatars$;;;;;;;;;;;;x,,,,,
integrate_tatar_culture_desc;While the Tatars have traditionally been our rivals and a barrier to Russian unification, some of them have taken up our cause and religion, including the Muscovite Temryukov dynasty. These "Russo-Kryashens", as they are known, are a sure sign that we will be able to earn the loyalty of our Tatar subjects. $;;;;;;;;;;;;x,,,,,
integrate_astrakhani_culture_title;Integrate the Volga Tatars$;;;;;;;;;;;;x,,,,,
integrate_astrakhani_culture_desc;The Tatars of Astrakhan are very similar to those in Kazan, although rather more of them are Muslim. It will not take much more effort to integrate them into Russia.$;;;;;;;;;;;;x,,,,,
integrate_georgian_culture_title;Integrate Georgia$;;;;;;;;;;;;x,,,,,
integrate_georgian_culture_desc;The Caucasus is full of small, bickering nationalities. Georgians are potentially useful to us for their legacy of Orthodox Christianity, and if we empower them, they may serve as a useful bulwark against Turkish aggression, or any other state that may arise in the Middle East.$;;;;;;;;;;;;x,,,,,
integrate_estonian_culture_title;Integrate the Estonians$;;;;;;;;;;;;x,,,,,
integrate_estonian_culture_desc;We've been trading with the Estonians for quite a while. As long as we show some respect for their language and culture, we should be able to keep them from turning to Scandinavia or elsewhere for freedom.$;;;;;;;;;;;;x,,,,,
integrate_latvian_culture_title;Integrate the Latvians$;;;;;;;;;;;;x,,,,,
integrate_latvian_culture_desc;Like the Estonians, we have interacted with Latvians for some time, and integrating them into our social fabric should be quite simple.$;;;;;;;;;;;;x,,,,,
integrate_finnish_culture_title;Integrate Finland$;;;;;;;;;;;;x,,,,,
integrate_finnish_culture_desc;We can finish enforcing our hegemony over the Baltic by giving special consideration to the needs of the Finnish people. By doing so, we will create a strong and loyal buffer against any Scandinavian revanchism.$;;;;;;;;;;;;x,,,,,
