;;;;;;;;;;;;;x,,,,,
MAJORITY_IS_NOT;Majority of the population is not ;;;;;;;;;;;;x,,,,,
EVTNAME11100_NEW;The Unification of $CULTURE_GROUP_UNION$;;;;;;;;;;;;x,,,,,
EVTDESC11100_NEW;A rising tide of liberal nationalism within $CULTURE_GROUP_UNION$ has begun to spread, raising the idea of a $UNION_ADJ$ union with $COUNTRY$ at its head. A parliament of liberal revolutionaries has been convened, with representatives from throughout $UNION_ADJ$ lands, which has decreed the time is right for the nation to unite under one banner. The parliament has offered the crown of $CULTURE_GROUP_UNION$ to us. We could accept the offer, but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;;;;;;x
EVTNAME11104;The North German Federation;;;;;;;;;;;;x,,,,,
EVTDESC11104;A rising tide of liberal nationalism within northern Germany has begun to spread, raising the idea of a federation with $COUNTRY$ as its leader. A parliament of liberal revolutionaries has been convened, which has decreed the time is right for the northern German states to unite under one banner. The parliament has offered the crown of this North German Federation to us. We could accept the offer,but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;;;;;;x,
EVTNAME11105;The South German Federation;;;;;;;;;;;;x,,,,,
EVTDESC11105;A rising tide of liberal nationalism within southern Germany has begun to spread, raising the idea of a federation with $COUNTRY$ as its leader. A parliament of liberal revolutionaries has been convened, which has decreed the time is right for the southern German states to unite under one banner. The parliament has offered the crown of this South German Federation to us. We could accept the offer,but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;;;;;;x,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,
EVTNAME36215_NEW;Home Rule for Iceland;;;;;;;;;;;;x,,,,,
EVTDESC36215_NEW;The Icelandic Althing has voted to request they be granted home rule, saying the time has come for greater independence. Under their plan, $COUNTRY$ would continue to manage the nation's foreign affairs and defense interests.;;;;;;;;;;;;x,,,
EVTNAME45102;La Trinitaria;;;;;;;;;;;;x,,,,,
EVTDESC45102;Juan Pablo Duarte has founded a secret society called 'La Trinitaria', seeking complete independence of Santo Domingo from Haiti and other foreign powers. Many Caribenos are calling the man a visionary, and his ideas are gaining great popularity in eastern Hispaniola.;;;;;;;;;;;;x,,,
EVTNAME46303;War of the Farrapos;;;;;;;;;;;;x,,,,,
EVTDESC36215_NEW;Porto Alegre is under Brazilian control once again. The gauchos, however, have promised to continue their rebellion against what they consider unfair rule from the throne. It may prove difficult in the coming years to keep the region calm.;;;;;;;;;;;;x,,,
EVTNAME60121;Joining the Greater Union;;;;;;;;;;;;x,,,,,
EVTDESC60121;Since the revolution, the $COUNTRY_ADJ$ government has awaited a contender who could unite $CULTURE_GROUP_UNION$. Now that such a nation has arisen, many feel it is time to surrender our personal sovereignty towards the $UNION_ADJ$ cause.;;;;;;;;;;;;x,,,
EVTNAME90038;The Pact of Plombières;;;;;;;;;;;;x,,,,,
EVTDESC90038;We have been approached by a Sardinian envoy, the Count of Cavour, who has made an interesting proposal: an alliance to make war against Austria, gaining Sardinia the Austrian-held provinces of Lombardy. In exchange, Sardinia would hand over Savoy and Nice to France. It is an interesting idea, and one that allows France to take a role that would not paint us as the aggressors. Shall we agree?;;;;;;;;;;;;x
EVTNAME90040;The Sepoy Rebellion;;;;;;;;;;;;x,,,,,
EVTDESC90040;A mutiny by a group of sepoys in the service of the British East India company has ignited lingering resentment amongst our Indian subjects into open resistance against our rule. Should this grow out of hand, all of our holdings in British India could be in jeopardy.;;;;;;;;;;;;x,,,,
EVTDESC90039;$MONARCHTITLE$, the ambassador from Sardinia-Piedmont has approached us with the suggestion of a pan-Italian alliance to retake the lost northern lands from Austria. A dangerous proposition, to be sure.;;;;;;;;;;;;x,,,
EVTNAME90041;Galician Slaughter;;;;;;;;;;;;x,,,,,
EVTDESC90041;Polish peasants in Austrian-held Galicia have risen up and slaughtered wealthy landowners, leading to calls by nobility within the Free City of Krakow for a larger uprising. Many in Austria are seeing this as a reason to end Krakow's independence once and for all.;;;;;;;;;;;;x,,,,
EVTNAME95026;Liberian Independence;;;;;;;;;;;;;x,,,,,
EVTDESC95026;The Liberian colony was founded as a homeland for freed American slaves by the American Colonization Society. Now that Liberia is considered a financial drain on its resources, the ACS is urging Liberia to proclaim idependence and find its own destiny.;;;;;;;;;;;;;x,,,,
EVTNAME95076;The $MONTH$ Uprising;;;;;;;;;;;;x,,,,,
EVTDESC95076;A spontaneous protest by young Poles against conscription into the Russian Army has quickly erupted into a widespread insurrection, supported by high-ranking Polish and Lithuanian officers and politicians. The eyes of all of Europe are upon us, and if we deal with the insurgents too harshly it may hurt our relations with European powers. If we do not, however, the uprising may spread even further.;;;;;;;;;;;;x,
EVTNAME95085;The Finnish Question;;;;;;;;;;;;x,,,,,
EVTDESC95085;With the recent unrest in Finnish lands, the local Finland government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,
EVTNAME95095;Norwegian Independence;;;;;;;;;;;;x,,,,,
EVTDESC95095;The Norwegian government has formally requested to be granted full independence from $COUNTRY_ADJ$ rule.;;;;;;;;;;;;x,,,,,
EVTNAME95200;Turkmen Nationalism;;;;;;;;;;;;x,,,,,
EVTDESC95200;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rulership. While the notion of a Turkmenian state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,
EVTNAME95205;Uzbek Nationalism;;;;;;;;;;;;x,,,,,
EVTDESC95205;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rulership. While the notion of a single Uzbek state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,
EVTNAME95206;Reclaiming Uzbek Lands;;;;;;;;;;;;x,,,,,
EVTDESC95206;The $COUNTRY_ADJ$ people are clamoring for all Uzebeks to be united under our flag.;;;;;;;;;;;;x,,,,,
EVTNAME95210;Tajik Nationalism;;;;;;;;;;;;x,,,,,
EVTDESC95210;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rulership. While the notion of a Tajik state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,
EVTNAME95215;Kyrgyz Nationalism;;;;;;;;;;;;x,,,,,
EVTDESC95215;A wave of nascent nationalism has begun stirring among the Kyrgyz peoples under $COUNTRY_ADJ$ rulership. While the notion of a modern Kyrgyz state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,
EVTNAME95216;Reclaiming Kyrgyz Lands;;;;;;;;;;;;x,,,,,
EVTDESC95216;The $COUNTRY_ADJ$ people are clamoring for all Kyrgyz to be united under our flag.;;;;;;;;;;;;x,,,,,
EVTNAME95250;The White Rajah;;;;;;;;;;;;x,,,,,
EVTDESC95250;Brunei's control over the southern regions has only ever been nominal, and the region has been self-governed under the Sultan of Sarawak. During a recent crisis, an Englishman by the name of James Brooke provided the Sultan invaluable assistance in restoring order, and has been bestowed with the title of governor. This 'White Rajah' is now effectively the ruler, and is seeking alliance with Brunei. We must either recognize the independence of an area we only barely controlled, or seek to assert our authority and perhaps anger the English in the process.;;;;;;;;;;;;x
EVTNAME95251;The Dutch East Indies;;;;;;;;;;;;x,,,,,
EVTDESC95251;The Dutch East India Company has been slowly spreading its influence within the East Indies, and is urging our government to establish protectorates over the remaining sultanates on the islands. Indeed, they have been stirring up trouble in the region. Many within our government feel that if the Netherlands is to remain a power to be reckoned with, it must expand its colonial holdings.;;;;;;;;;;;;x,,
EVTNAME96100;The Arab Revolt;;;;;;;;;;;;x,,,,,
EVTDESC96100;A wave of nationalism has begun to spread among the Mashriqi, fueled by their resentment over $COUNTRY_ADJ$ rule. Our governors in the region are understandably nervous, and report that we can expect major rebellions in the coming years unless we are very careful.;;;;;;;;;;;;x,,,
EVTNAME96101;$COUNTRY_ADJ$ Self-Rule;;;;;;;;;;;;x,,,,,
EVTDESC96101;We have been granted self-rule by our $FROMCOUNTRY_ADJ$ rulers.;;;;;;;;;;;;x,,,,,
EVTDESC96102;The Arab Revolt has begun, and many people in $CAPITAL$ are flying the revolt flag. They are demanding freedom from foreigner rule, and we will have difficulty keeping them under control... provided that's what we wish to do, of course.;;;;;;;;;;;;x,,
EVTNAME96105;The Bedouin Revolt;;;;;;;;;;;;x,,,,,
EVTDESC96105;A wave of nationalism has begun to spread among the Bedouin, fueled by their resentment over $COUNTRY_ADJ$ rule. Our governors in the region are understandably nervous, and report that we can expect major rebellions in the coming years unless we are very careful.;;;;;;;;;;;;x,,,
EVTNAME96110;The House of Saud Returns;;;;;;;;;;;;x,,,,,
EVTDESC96110;Abdul-Aziz, scion of the House of Saud, has returned from exile in Kuwait. Not only that, the man has managed to forge an alliance with the southern Bedouin tribes and retaken Riyadh. We must deal with ibn Saud quickly, lest he retake even more land and reverse our earlier victory over his house.;;;;;;;;;;;;x,
EVTNAME96115;The Rule of Hedjaz;;;;;;;;;;;;x,,,,,
EVTDESC96115;We have always been torn between our loyalty to Egypt and to the Ottoman Empire. The time has come to decide between them.;;;;;;;;;;;;x,,,,,
EVTNAME96120;The House of Rashid;;;;;;;;;;;;x,,,,,
EVTDESC96120;The House of Saud will never unite Arabia so long as the Emirate of Ha'il stands on our northern border. We must marshal our force and bring them to their knees.;;;;;;;;;;;;x,,,,,
EVTNAME96121;The House of Saud;;;;;;;;;;;;x,,,,,
EVTDESC96121;The House of Rashid will never unite Arabia so long as the Emirate of Nejd stands on our southern border. We must marshal our force and bring them to their knees.;;;;;;;;;;;;x,,,,,
EVTNAME96165;Italian Unification;;;;;;;;;;;;x,,,,,
