;;;;;;;;;;;;;;x                                          
reclaim_occitania_title;Free Occitania;;;;;;;;;;;;;x         
reclaim_occitania_desc;Even now that we are king of Italy we can't forget our claims in France. Our state is the reunion of many cultures, the French and Occitan having the same rights than the Italians we have united. We can't establish a Dual-Monarchy of France-Italy for now but we could claim the Mediterranean provinces of the usurpers. ;;;;;;;;;;;;;x    
venetians_culture_title;Integration of the Venetians;;;;;;;;;;;;;x       
venetians_culture_desc;The people under the government of the Serenissima have distinguished themselves from their Italians brothers because of their ties with the East. But now that Venice is in the hands of the Italian Nation, it is our duty to fully integrate them into our national fabric;;;;;;;;;;;;;x  
dominium_maris_baltici_title; Dominium Maris Baltici;;;;;;;;;;;;;x    
dominium_maris_baltici_desc; The greatest aspiration of the Kalmar Union has always been the complete control of the Baltic Sea. While the Scandinavians gained several holdings in the region, they still miss Prussia and the Lithuanian coast. Let us claim these areas for the glory of the Union !  ;;;;;;;;;;;;;x 
claim_livonia_title; Claiming Livonia ;;;;;;;;;;;;;x  
claim_livonia_desc; Scandinavia has been our rival for centuries in the Baltic. To take the advantage on them we must claim the duchy of Livonia! ;;;;;;;;;;;;;x  
kurland_annexation_title; The annexation of Kurland;;;;;;;;;;;;;x  
kurland_annexation_desc; The last obstacle to our complete domination of the Baltic sea is the small state of Kourland. For too long, we have let them pursue a semi-independent policy and it is now time to reclaim their full integration in the kingdom ;;;;;;;;;;;;;x  
treaty_of_Corfu_title; Treaty of Corfu ;;;;;;;;;;;;;x  
treaty_of_Corfu_desc;The Doge has been unable to take back the mainland. The war which erupted a while ago is drawing on its end and we are winning ! Aragon and Bohemia have offered to mediate in our advantage the signature of a treaty which will push Venice out of Hellas. ;;;;;;;;;;;;;x  
222120.T; Flight to Greece;;;;;;;;;;;;;x    
222120.D; The defeat is total for the Venetians. They have been pushed away from their homeland by the Italian nationalists. But they still hold many holdings in the East, where their government fled. Upon entering the city of Athens, the Doge was forced by the Greeks to proclaim an Hellenic Republic while still holding his old title. A new state has emerged from the ashes of the Serenessima, what will it become ?  ;;;;;;;;;;;;;x  
ENL5.T;A Savoyard opportunity;;;;;;;;;;;;;x 
ENL5.D;For a long time we have coveted the Alpine passes held by the Duke of Savoy. The Dual-Monarchy faces open rebellion and is thus less inclined to protect the Duke.;;;;;;;;;;;;;x 
ENL6.T;Ultimatum from Antwerp;;;;;;;;;;;;;x 
ENL6.D;Burgundy asks us to relinquish our Alpine lands to integrate them into 'the Duchy of Geneva'. With the Dual-Monarchy facing harsh unrest we should not count too much on their protection;;;;;;;;;;;;;x 
ENL7.T;Savoyard Answer;;;;;;;;;;;;;x 
ENL7.D;The duke of Savoy has refused, meaning that only war will resolve the problem of the Alpes.;;;;;;;;;;;;;x 
VAL1.T;The restoration of order in Etruria ;;;;;;;;;;;;;x 
VAL1.D;The republic of Etruria is the threat to the Italian Order. While Aragon is reluctant to go to war against them, we haven't forgotten our right to the grand duchy of Tuscany. The various monarchs of North Italy would not react to this declaration because we would erase a threat to their personal power but Aragon would be angered by our demonstration of force. What do we choose ? ;;;;;;;;;;;;;x 
lucca_war_title;Pre-eminence in Etruria;;;;;;;;;;;;;x 
lucca_war_desc;The liberal republic of Etruria has been reduced to ashes with the King in France reclaiming his inheritance of Tuscany. But the duchy of Lucca has not accepted our renewed role in the area, proclaiming being freed from any feudal links toward us. While it is an obscure claim, we could always press it to strengthen our rule in Italy...;;;;;;;;;;;;;x 
VAL3.T;The Provencal Demands ;;;;;;;;;;;;;x  
VAL3.D;The grand-duke of Tuscany and king of France has threatened us to press his rightful claim to our duchy if we do not bow to him. Many people in Italy would be eager to help us if the Valois would invade our duchy and a new anti-Valois league is slowly forming. Perhaps we are strong enough to force them to fall back ? ;;;;;;;;;;;;;x  
VAL4.T;The Luccan league;;;;;;;;;;;;;x 
VAL4.D;We have been contacted by the duke of Lucca who has been threatened at multiple times by the king in France. He asks us to join a league against the Valois and free Tuscany from their hands if they dared take any action against the duchy. What do we do ?;;;;;;;;;;;;;x 
VAL5.T;The Luccan league;;;;;;;;;;;;;x 
VAL5.D;The Valois have taken back Florence. Threatened by the renewed threat in the region, Lucca has asked us to back them against the ambitions of the kings in France. What do we do ? ;;;;;;;;;;;;;x 
VAL6.T;The Luccan league;;;;;;;;;;;;;x 
VAL6.D;We have been contacted by the duke of Lucca who has been threatened at multiple times by the king in France. He asks us to join a league against the Valois and free Tuscany from their hands if they dared take any action against the duchy. What do we do ?;;;;;;;;;;;;;x 
VAL7.T;Response from Lucca;;;;;;;;;;;;;x 
VAL7.D;The duke of Lucca has refused to bow to our demands. Moreover he has apparently received the support of the various Italian principalites against us. We could take the chances and froce all Italians to bow before us but it would be a long and difficult war or we can still fall back our claims;;;;;;;;;;;;;x 
VAL8.T;Response from Lucca;;;;;;;;;;;;;x 
VAL8.D;The duke of Lucca has bowed to our demands. We are now in control of Lucca in all but name;;;;;;;;;;;;;x 
VAL9.T;The Valois attack ;;;;;;;;;;;;;x 
VAL9.D;The Provencal have attacked our ally in Lucca. It is now our duty to take part in the oncoming war !;;;;;;;;;;;;;x 
VAL10.T;The Valois attack ;;;;;;;;;;;;;x 
VAL10.D;Not feeling threatened by our guarantees, the Valois attacked Lucca and warned us that they will soon take Rome from us !;;;;;;;;;;;;;x 
VAL11.T;Peace with Provence ;;;;;;;;;;;;;x 
VAL11.D;Now that Florence is free we will make peace with the Valois;;;;;;;;;;;;;x 
VAL12.T;The Italian War;;;;;;;;;;;;;x 
VAL12.D;A new war has erupted in Italy. Having regained Tuscany, the king in France has tried to extend his influence throughout the Italian states. But the Italian princes have now allied against him, and their armies are trying to push him out of Italy. This war puts the dream of a Valois kingdom of Italy at great risk, however if the Valois ever win this war, it could mark the birth of a new power in Southern Europe;;;;;;;;;;;;;x 
VAL13.T;The Italian crown ;;;;;;;;;;;;;x 
VAL13.D;Merging the Italian and Aragon crowns has been our goals for centuries. The pesky kings in France have claimed the Italian crown and are stirring the South Italian to revolt. We can't allow it. If we ever want to remain a great power then we must annex this upstart state in the North ! ;;;;;;;;;;;;;x 
VAL14.T;The Italian war of Independence;;;;;;;;;;;;;x 
VAL14.D;The king of Aragon has refused to acknowledge our right to the Italian Crown. They have issued a declaration of war against us to "take what is theirs". This war will define the very future of Italy. Will the Valois succeed or will the crown of Aragon emerge victorious ?;;;;;;;;;;;;;x 
VAL15.T;Savoyard Intervention ? ;;;;;;;;;;;;;x 
VAL15.D;We have stayed out the Italian war until now, but it is now our duty to free Tuscany. The duke of Lucca has fled to our court begging our support in the war which he has lost for now ;;;;;;;;;;;;;x 
VAL16.T;Savoy enters the arena;;;;;;;;;;;;;x 
VAL16.D;The duke of Savoy, angered by the reunion of Lucca to our duchy has entered the Italian war, promising to make us leave Italy forever;;;;;;;;;;;;;x 
VAL17.T;The end of the Valois  ;;;;;;;;;;;;;x  
VAL17.D;Provence has lived long enough. At least it's what the Dual-Monarchy thinks. Diplomatically isolated since the decaying of Aragon, this little state which still defies the Plantagenet will be crushed. For St-Denis and St-Georges, let us end the Hundred Years War forever ! ;;;;;;;;;;;;;x  
GRE1.T;Greek Nationalism;;;;;;;;;;;;;x  
GRE1.D;Venice's hold of Greece has been tedious since the beginning of the occupation during the Ottoman collapse. With the liberal movement gaining weight at home, the Greek nationalists have become more audacious over time. They reclaim an assembly of all Greeks to decide their future in the Republic. If this council is not held, this could lead to the rise of a rebellion;;;;;;;;;;;;;x 
GRE2.T;Opening of the Council of Athens ;;;;;;;;;;;;;x  
GRE2.D;The Greek council finally opens in Athens, the magnificent city of Ancient Greece. Three great factions have formed over the previous months : the Zimisceses, followers of the general who helped Venice "protect" Greece 20 years ago, who want to establish an independent Greek state, the Exarchates, who want to acquire more autonomy, and the Pireans or "Italians", loyalists of Venice.;;;;;;;;;;;;;x 
GRE3.T;The result of the Council;;;;;;;;;;;;;x 
GRE3.D;It is finally the end of the Council, what will happen ?;;;;;;;;;;;;;x 
GRE4.T;The Council of Athens : Zimisceses' victory ;;;;;;;;;;;;;x 
GRE4.D;The Zimisceses have won the majority of the votes during the Council. Zimisces has profited from the occasion to declare the independence of Greece, and has rallied most of the Greek soldiers around him ;;;;;;;;;;;;;x 
GRE5.T;The Council of Athens : Exarchates' victory ;;;;;;;;;;;;;x 
GRE5.D;The Exarchates have won the majority of the votes during the Council. They now ask for autonomy under the protection of Venice. ;;;;;;;;;;;;;x    
GRE6.T;Failure of the Exarchates' proposition ;;;;;;;;;;;;;x 
GRE6.D;Venice refusing Home Rule for the Greeks has led the Exarchates to rally with the Zimisceses and to proclaim the independence of Greece. Most of continental Greece is already in their control.;;;;;;;;;;;;;x 
GRE7.T;The Council of Athens : Pireans' Victory ;;;;;;;;;;;;;x 
GRE7.D;Unexpectedly, the Venetians loyalists won the majority of the vote during the Council. They are ready to stay under the government of Venice but only if Venice reforms itself and give the same political rights to Greeks as the Italians;;;;;;;;;;;;;x  
GRE8.T;Pireans failure ;;;;;;;;;;;;;x 
GRE8.D;Venice has refused the chart proposed by the Loyalists. It has discredited them and most of the Greek representatives have rallied around Zimisces. Nearly all of continental Greece is now under their control ;;;;;;;;;;;;;x 
GRE9.T;Council of Athens : No majority ;;;;;;;;;;;;;x 
GRE9.D;No majority has emerged from the Council. Angered by the indecision of the politicians, the Greek general and war hero Zimisces has rallied his supportes in Thessalia and Attica and is determined to deliver Greece from the Italian oppressors. ;;;;;;;;;;;;;x 
GRE10.T;Fight for Freedom !;;;;;;;;;;;;;x  
GRE10.D;We are at war with Venice for our freedom. Let us collect all we need for our fight !;;;;;;;;;;;;;x 
GRE11.T;Question of Crete ;;;;;;;;;;;;;x 
GRE11.D;The island of Crete has not seceded along other provinces but the Greeks nationalists have spread their venom all over the island. A local assembly is held in Iraklion on the stance to adopt during the war ;;;;;;;;;;;;;x 
GRE12.T;Loyalists won ;;;;;;;;;;;;;x 
GRE12.D;The Pireans have convinced the population of Crete to stay under our rule and fight against the rebels ! ;;;;;;;;;;;;;x 
GRE13.T;Exarchates won ;;;;;;;;;;;;;x 
GRE13.D;Cretans declared their neutrality in the war. ;;;;;;;;;;;;;x 
GRE14.T;Zimisceses victory ;;;;;;;;;;;;;x 
GRE14.D;The Cretans have proclaimed the island of Crete to be a full part of Greece ! ;;;;;;;;;;;;;x 
GRE15.D;The island of Crete has not seceded along other provinces but the Greeks nationalists have spread their venom all over the island. A local assembly is held in Nicosia on the stance to adopt during the war ;;;;;;;;;;;;;x
GRE16.T;Exarchates won ;;;;;;;;;;;;;x 
GRE16.D;Cyprus declared neutrality in the ongoing war under the influence of the Exarchates;;;;;;;;;;;;;x 
GRE17.T;Zimisceses victory;;;;;;;;;;;;;x 
GRE17.D;The Cypriots have proclaimed the island of Cyprus to be a full part of Greece !;;;;;;;;;;;;;x 
GRE18.T;The treaty of Corfu ;;;;;;;;;;;;;x 
GRE18.D;The war with Greece has been lost. Guaranteed by Aragon and Bohemia, Zimisces has forces the signature of an humiliating treaty on the island of Corfu. Greece will be independent and Venice will free the territories under its control and relinquish any claims on Greek territories;;;;;;;;;;;;;x 
GRE19.T;The Constitution ;;;;;;;;;;;;;x 
