UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;;;;;;;;;;x
SUPPLY_OWNER;Owner:;Possesseur :;Besitzer:;W³aœciciel:;Infantería de testuz y cuernos;Possessore:;Tulajdonos:;Vlastník:;;;;;;x
SUPPLY_ALLIED;Allied:;Allié :;Verbündet:;Sojusze:;Cuanta más población haya, mayores serán la producción y los ingresos por impuestos.;Alleato:;Szövetségben:;Spojenecký:;;;;;;x
SUPPLY_ACCESS;Military Access:;Accès militaire :;Militärzugang:;Przemarsz wojsk:;La población crecerá automáticamente como efecto de una gran estabilidad, paz y tranquilidad. Disminuirá como efecto de un saqueo, ocupación o una escasa estabilidad.\n;Accesso militare:;Katonai hozzáférés:;Vojenský pøístup:;;;;;;x
SUPPLY_CONTROLLER;Controlled:;Contrôleur :;Kontrolliert:;Kontrolowane przez:;Peso máximo' de unidades que la provincia puede abastecer sin acusar desgaste. El desgaste real también depende de varios factores más. Una cifra en rojo indica que las unidades estarán desabastecidas (lo que aumenta el desgaste). Los números en amarillo indican provincias adyacentes a fuentes de suministros.;Controllato:;Irányító:;Ovládáno:;;;;;;x
SUPPLY_CONTROLLER_ALLIANCE;Controlled by an ally:;Contrôleur allié :;Von einem Verbündeten kontrolliert:;Kontrolowane przez sojusznika:;Base;Controllato da alleato:;Szövetséges által irányított:;Ovládáno spojencem:;;;;;;x
SUPPLY_SIEGE;Is besieging:;Assiège :;Belagert:;Oblega:;Propietario:;Sta assediando:;Ostrom alatt:;Obléhá:;;;;;;x
SUPPLY_CORE;Core:;Territoire clé :;Kernprovinz:;;;;;;;;;;;x
fascist_uh;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;;;;;;;;;;x
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;;;;;;;;;;x
conservative_uh;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;;;;;;;;;;x
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;;;;;;;;;;x
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;;;;;;;;;;x
