WARSUBSIDIES_DI;Offer of Warsubsidies;Offre d'indemnités de guerre;Angebot von Kriegssubventionen;;;;;;;;;;x
CANCEL_WARSUBSIDIES_DI;Cancellation of Warsubsidies;Annulation des indemnités de guerre;Einstellung von Kriegssubventionen;;;;;;;;;;x
ASKMILITARYACCESS_DI;Request for Military Access;Demande d'accès militaire;Anfrage nach Militärzugang;;;;;;;;;;x
CANCELASKMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;;;;;;;;;x
GIVEMILITARYACCESS_DI;Offer of Military Access;Offre d'accès militaire;Angebot von Militärzugang;;;;;;;;;;x
CANCELGIVEMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;;;;;;;;;x
ALLIANCE_DI;Alliance Offer;Offre d'alliance;Bündnisangebot;;;;;;;;;;x
CANCELALLIANCE_DI;Alliance Broken;Alliance rompue;Bündnis gebrochen;;;;;;;;;;x
CALLALLY_DI;Call Ally;Faire appel à un allié;Bündnisparter zu Hilfe rufen;;;;;;;;;;x
DISCREDIT_DI;Discredit;Discréditer;In Verruf bringen;;;;;;;;;;x
EXPELADVISORS_DI;Expulsion of Advisors;Expulsion de conseillers;Ausweisung von Beratern;;;;;;;;;;x
BANEMBASSY_DI;Banning of Embassy;Fermeture d'ambassade;Botschaftsverbannung;;;;;;;;;;x
INCREASEOPINION_DI;Opinion Increase;Opinion en hausse;Meinungssteigerung;;;;;;;;;;x
DECREASEOPINION_DI;Opinion Decrease;Opinion en baisse;Meinungsverringerung;;;;;;;;;;x
ADDTOSPHERE_DI;Add to Sphere;Ajouter à la sphère;Zu Einflusssphäre hinzufügen;;;;;;;;;;x
REMOVEFROMSPHERE_DI;Remove From Sphere;Retirer de la sphère;Aus Einflusssphäre entfernen;;;;;;;;;;x;
INCREASERELATION_DI;Increase Relation;Améliorer les relations;Beziehung verbessern;;;;;;;;;;x;
DECREASERELATION_DI;Decrease Relation;Détériorer les relations;Beziehung verschlechtern;;;;;;;;;;x;
GUNBOAT_DI;Gunboat Diplomacy;Diplomatie de la canonnière;Kanonenbootdiplomatie;;;;;;;;;;x;
WAR_DI;War;Guerre;Krieg;;;;;;;;;;x;
WARGOAL_DI;Adding of Wargoal;Ajout d'un objectif de guerre;Hinzufügen von Kriegszielen;;;;;;;;;;x;
PEACE_DI;Peace Offer;Offre de paix;Friedensangebot;;;;;;;;;;x;
TOPBAR_LEADERSHIP_MAX;You have already reached the maximum storage of §Y$MAX$§W leadership and no new leadership will be accumulated.\n;Vous avez déjà atteint le stockage maximum de §Y$MAX$§W de commandement et aucun nouveau commandement ne sera accumulé.\n;Sie haben bereits die maximale Anzahl von §Y$MAX$§W Anführerpunkten erreicht - Sie können keine weiteren aufsparen.\n;;;;;;;;;;x;
IS_MOBILIZED_IRO;(Reserves are Mobilized);(Les réserves sont mobilisées);(Reserven sind mobilisiert);;;;;;;;;;x;
ADD_CRIME;Gain §Y$NAME$§W.\n;Obtention de §Y$NAME$§W.\n;Erhaltung von §Y$NAME$§W.\n;;;;;;;;;;x;
TOPBAR_WAR_PLUS;And their satellites and dominions.\n;Et leurs satellites et dominions.\n;und ihre Satellitenstaaten und Dominions.\n;;;;;;;;;;x;
