COLONIAL_RANGE;Colonial Range: §G+$VAL$§W;Portée coloniale : §G+$VAL$§W;Kolonialreichweite: ßG+$VAL$ßW;;;;;;;;;;x
MODIFIER_LOCAL_SHIP_BUILD;Local Ship Build Time;Délai de construction de navire;Lokale Schiffsbauzeit;;;;;;;;;;x
CB_ALLOWED_ANNEX;Allow Annexation;Autoriser l'annexion;Annektierung erlauben;;;;;;;;;;x
CB_ALLOWED_ADD_TO_SPHERE;Add to Sphere;Ajouter à la sphère;Zu Einflussspähre hinzufügen;;;;;;;;;;x
CB_ALLOWED_RELEASE_PUPPET;Release of Puppet;Libération d'un État fantoche;Entlassung von Marionettenstaat;;;;;;;;;;x
CB_ALLOWED_STATUS_QUO;Return to Status Quo;Retour au statu quo;Rückkehr zum Status Quo;;;;;;;;;;x
CB_ALLOWED_TRANSFER_PROVINCES;Transfer of provinces;Transfert des provinces;Übertragung von Provinzen;;;;;;;;;;x
CB_ALLOWED_PRESTIGE;Reduction of Prestige;Diminution du prestige;Prestige-Reduzierung;;;;;;;;;;x
CB_ALLOWED_CONCESSION;Concede Defeat;Concéder la défaite;Niederlage eingestehen;;;;;;;;;;x
PROCEED;Proceed;Continuer;Fortfahren;;;;;;;;;;x
MAINTENANCE_DESC;Maintenance goods need:;Besoin en ressources pour la maintenance;Benötigte Instandhaltungsgüter:;;;;;;;;;;x
MISSING_MAINTENANCE;Output is reduced to §R$PERC$§W since factory is missing maintenance goods;Le rendement est réduit à §R$PERC$§W, car l'usine manque de ressources pour la maintenance.;Leistung wird auf ßR$PERC$ßW reduziert, da es der Fabrik an Instandhaltungsgütern fehlt;;;;;;;;;;x
TRADE_CONFIRM_DESC;Setting a manual trade means we might end up taking loans to afford purchases.;En optant pour un commerce manuel, il nous faudra peut-être emprunter pour pouvoir acheter.;Die Einstellung eines manuellen Handelsgeschäfts könnte bedeuten, dass wir zur Finanzierung unserer Käufe schließlich Darlehen aufnehmen müssen.;;;;;;;;;;x
ENDGAME_HEADLINE;Game Over;Game Over;Das Spiel ist jetzt zu Ende;;;;;;;;;;x
ENDGAME_DESC;One hundred Momentous years have passed and we have entered the modern age. The world is a radically different place, how did your country do?;Cent ans ont passé et nous sommes entrés dans l'ère moderne. Le monde est un endroit radicalement différent, comment votre pays at-faire?;Einhundert bedeutsame Jahre sind vergangen und die Neuzeit ist jetzt angebrochen. Die Welt hat sich radikal verändert, wie ist es Ihrem Land ergangen?;;;;;;;;;;x 
NEEDS_BOUGHT;Estimated needs for today:;Estimation des besoins pour aujourd'hui:;Geschätzte heutige Bedürfnisse:;;;;;;;;;;x
TOTAL_NEEDS_BOUGHT;Estimated needs cost:;Estimation du coût des besoins:;Kosten der geschätzten Bedürfnisse:;;;;;;;;;;x
TOTAL_SOLD_FOR;Yesterday we produced $NUM$ §Y$GOOD$§W which sold for $CASH$¤;Hier, nous avons produit $NUM$ §Y$GOOD$§W qui a vendu pour $CASH$¤;Gestern haben wir $NUM$ §Y$GOOD$§W produziert, die für $CASH$¤ verkauft wurden;;;;;;;;;;x
COULDNT_AFFORD;Factory couldn't afford to buy all its inputs yesterday;L'usine ne pouvait pas se permettre d'acheter toutes ses matières premières hier;Die Fabrik hatte gestern nicht genug Geld um alle nötigen Inputgüter zu kaufen;;;;;;;;;;x
INPUT_LACKING;There's not enough §Y$GOOD$§W on the market to satisfy factory input needs;Il ne suffit pas §Y$GOOD$§W sur le marché pour satisfaire les besoins matières premières usine;Es gibt nicht genug §Y$GOOD$§W auf dem Markt um alle Inputgüter für die Fabrik zu befriedigen;;;;;;;;;;x
OUTPUT_WASTED;$NUM$ of $PRODUCED$ §Y$GOOD$§W didn't get sold yesterday;$NUM$ de $PRODUCED$ §Y$GOOD$§W n'a pas vendu hier;Gestern wurden $NUM$ von $PRODUCED$ §Y$GOOD$§W nicht verkauft;;;;;;;;;;x
BUDGET_TAX_EFFICIENCY;Tax Efficiency: §Y$VALUE$%§W;Efficacité fiscale: §Y$VALUE$%§W;Steuereffizienz: §Y$VALUE$%§W;;;;;;;;;;x
BUDGET_TAX_EFFECT;Effective tax: §Y$VALUE$%§W;D'imposition effectif: §Y$VALUE$%§W;Effektiver Steuersatz: §Y$VALUE$%§W;;;;;;;;;;x
