#Event localisation;;;;;;;;;;;;;;
AMA1.T;La Rive Gauche;;;;;;;;;;;;;
AMA1.D;The Para region which controls the west bank of the Amazon river has been under Spanish domination for decades. However it is a backward place where nobody lives except the local tribes and some Guianan outposts. Settlers from the Equinoxian Republic have begun inhabiting the region and are advancing more every day. We could take advantage of the current war to seize Para and annex it to Equinoxia. However we should be aware that when the war ends, the victor could come back reclaiming these lands ...;;;;;;;;;;;;;
98401.A;Take the opportunity while no one is watching;;;;;;;;;;;;;
98401.B;It is not our territory, call them back !;;;;;;;;;;;;;
AMA2.T;Message from Para;;;;;;;;;;;;;
AMA2.D;The Amazonian settlers have seized the entirety of the Para area !;;;;;;;;;;;;;
98402.A;The bastards !;;;;;;;;;;;;;
AMA3.T;Para ?;;;;;;;;;;;;;
AMA3.D;My king, one matter has come to the attention of our councillors. The region of Para was nominally under our protection for decades but the Amazonian settlers have profited from the war to seize it. It is worthless lands ans swamps but by principle we should ask a compensation. We could threaten to go to war or ask a monetary compensation to finance our war debts ...;;;;;;;;;;;;;
98403.A;We will settle the matter if they pay us;;;;;;;;;;;;;
98403.B;Send this message : 'Para or War' ;;;;;;;;;;;;;
98403.C;Why bother about some inhospitable jungle ?;;;;;;;;;;;;;
AMA4.T;Spanish envoy;;;;;;;;;;;;;
AMA4.D;The Spanish delegates have approached us about our seizure of Para. They are willing to drop the matter if we pay them "reparations" on a 12year basis. What do we do ?;;;;;;;;;;;;;
98404.A;Just some money ? Take the chance while they are asking !;;;;;;;;;;;;;
98404.B;And what will they do if we don't ?;;;;;;;;;;;;;
AMA5.T;Amazonian Response;;;;;;;;;;;;;
AMA5.D;The Amazonian have accepted. The first payment is fulfilled.;;;;;;;;;;;;;
98405.A;I think we have made a great deal gentlemen;;;;;;;;;;;;;
AMA6.T;Amazonian Response ;;;;;;;;;;;;;
AMA6.D;The Amazonian have refused to pay reparations. There is only one solution : war. ;;;;;;;;;;;;;
98406.A;They want war ? They'll get war !;;;;;;;;;;;;;
AMA7.T;Second payment;;;;;;;;;;;;;
AMA7.D;It is the time to pay our "reparations" to Spain;;;;;;;;;;;;;
98407.A;Send the money;;;;;;;;;;;;;
AMA8.T;Reparations for Para;;;;;;;;;;;;;
AMA8.D;The Amazonian government has sent us another payment of the reparations;;;;;;;;;;;;;
98408.A;Always a pleasure ...;;;;;;;;;;;;;
AMA9.T;Third payment;;;;;;;;;;;;;
AMA9.D;We have to pay for the reparations. Just one more time and it will be finished;;;;;;;;;;;;;
98409.A;Send the money;;;;;;;;;;;;;
AMA10.T;Last payment;;;;;;;;;;;;;
AMA10.D;Finally we must complete the reparations;;;;;;;;;;;;;
98410.A;At last;;;;;;;;;;;;;
AMA11.T;Last payment;;;;;;;;;;;;;
AMA11.D;Amazonie has paid all the reparations;;;;;;;;;;;;;
98411.A;It was good while it lasted;;;;;;;;;;;;;
AMA12.T;Spanish Demands;;;;;;;;;;;;;
AMA12.D;The Spanish government has asked us to relinquish our control of Para. Should we choose not to give it up, it will mean war ....;;;;;;;;;;;;;
98412.A;We don't have a lot of choices ...;;;;;;;;;;;;;
98412.B;Let them come !;;;;;;;;;;;;;
AMA13.T;Para regained;;;;;;;;;;;;;
AMA13.D;Amazonie has bowed before our demands !;;;;;;;;;;;;;
98413.A;Glory to Espana !;;;;;;;;;;;;;
AMA14.T;Para ?;;;;;;;;;;;;;
AMA14.D;While we were rejoicing over our total victory over the insurgents, some our councillors have reminded us of Para. The region of Para was nominally under our protection for decades but the Amazonian settlers have profited from the war to seize it. It is worthless lands ans swamps but by principle we should ask a compensation. We could threaten to go to war or ask a monetary compensation to finance our war debts ... ;;;;;;;;;;;;;
98414.A;We will settle the matter if they pay us;;;;;;;;;;;;;
98414.B;Send this message : 'Para or War' ;;;;;;;;;;;;;
98414.C;Why bother about some inhospitable jungle ?;;;;;;;;;;;;;
AMA15.T;Amazonian crimes;;;;;;;;;;;;;
