#terrain types;;;;;;;;;;;;;;
ocean;Ocean;Océan;Ozean;;;;;;;;;;;
arctic;Arctic;Arctique;Arktis;;;;;;;;;;;
farmlands;Farmlands;Terres arables;Ackerland;;;;;;;;;;;
forest;Coniferous forest;Forêt de conifères;Nadelwald;;Bosque de coníferas;Foresta di conifere;;;;;;;;
woods;Deciduous Forest;forêt de feuillus;Laubwald;;Bosque caducifolio;Foresta decidua;;;;;;;;
steppe;Dry grassland;prairies sèches;Trockenen grünland;;Prados secos;Prateria secche;;;;;;;;
plains;Grassland;Prairies;Grünland;;Praderas;Prateria;;;;;;;;
coastal_desert;Coastal Desert;Désert côtier;Küstenwüste;;;;;;;;;;;
good_farmland;Good Farmland;Bonnes Terres Arables;Gutes Ackerland;;Buenas Tierras de Cultivo;;;;;;;;;
floodplain_farmland;Floodplain Farmland;Terres Arables Plaine Inondable;Auen Ackerland;;Llanura Inundable Rierras de Cultivo;;;;;;;;;
marginal_farmland;Marginal Farmland;Terres Arables Marginales;Marginale Ackerland;;Tierras de Cultivo Carginales;;;;;;;;;
hilly_farmland;Hilly Farmland;Terres Arables Collines;Hügelige Ackerland;;Tierras de Cultivo de Colinas;;;;;;;;;
mountain_farmland;Mountain Farmland;Terres Arables de Montagne;Berg Ackerland;;Tierras de Cultivo de Montaña;;;;;;;;;
forested_farmland;Forested Farmland;Terres Agricoles Boisées;Bewaldeten Ackerland;;Tierras de Cultivo Forestal;;;;;;;;;
jungle_farmland;Jungle Farmland;Terres Arables Jungle;Dschungel Ackerland;;Jungla Tierras de Cultivo;;;;;;;;;
temperate_grassland;Temperate Grassland;Prairie Tempérée;Temperaten Grasland;;Pradera Templadas;;;;;;;;;
hills;Hills;Collines;Hügel;;;;;;;;;;;
mountain;Mountains;Montagnes;Berge;;;;;;;;;;;
dry_grassland;Dry Grassland;Prairie Arides;Trockene Grasland;;Seca Pradera;;;;;;;;;
hilly_grassland;Hilly Grassland;Collines Prairie;Hügeligem Grasland;;Praderas Colinas;;;;;;;;;
mountain_grassland;Mountain Grassland;Prairie de Montagne;Berggrasland;;Praderas Montañas;;;;;;;;;
semi_desert;Semi-Desert;Semi-Désertique;Halbwüste;;Semi-Desierto;;;;;;;;;
semi_desert_hills;Semi-Desert Hills;Semi-Désertiques Collines;Halbwüste Hügel;;Semidesérticas Colinas;;;;;;;;;
semi_desert_mountains;Semi-Desert Mountains;Semi-Désertiques Montagnes;Halbwüste Berge;;Semidesérticas Montañas;;;;;;;;;
desert;Desert;Désert;Wüste;;;;;;;;;;;
desert_hills;Desert Hills;Collines désertiques;Wüstenhügeln;;Desierto Colinas;;;;;;;;;
desert_mountains;Desert Mountains;Montagnes du Désert;Wüstenberge;;Desierto Montañas;;;;;;;;;
dry_forest;Dry Forest;Forêt Sèche;Trockenwald;;Bosque Seco;;;;;;;;;
dry_forest_hills;Dry Forest Hills;Sèche Collines de Forêt;Trocken Waldhügel;;Seca Colinas del Bosque;;;;;;;;;
dry_forest_mountains;Dry Forest Mountains;Montagnes de Forêts Sèches;Trockenwald Berge;;Montañas de Bosque Seco;;;;;;;;;
deciduous_forest;Deciduous Forest;Forêt Décidue;Laubwald;;Bosque Caducifolio;;;;;;;;;
deciduous_forest_hills;Deciduous Forest Hills;Collines Forêts Décidue;Laubwald Hügel;;Colinas De Bosque Caducifolio;;;;;;;;;
deciduous_forest_mountains;Deciduous Forest Mountains;Montagnes Forêt décidue;Laubwald Berge;;Montañas de Bosque Caducifolio;;;;;;;;;
conifer_forest;Conifer Forest;Forêt de Conifères;Nadelwald;;Bosque de Coníferas;;;;;;;;;
conifer_forest_hills;Conifer Forest Hills;Conifères Collines de Forêt;Nadelwald Hügel;;Bosque de Coníferas Colinas;;;;;;;;;
conifer_forest_mountains;Conifer Forest Mountains;Conifères Montagnes Forêt;Nadelwald Gebirge;;Bosque de Coníferas Montañas;;;;;;;;;
boreal_forest;Boreal Forest;Forêt Boréale;Borealer Nadelwald;GER;;Bosque Boreal;;;;;;;;
boreal_forest_hills;Boreal Forest Hills;Boréale collines de Forêt;Borealer Nadelwald Hügel;;Colinas de Bosque Boreales;;;;;;;;;
boreal_forest_mountains;Boreal Forest Mountains;Montagnes Forêt Boréale;Borealer Nadelwald Berge;;Montañas de Bosques Boreales;;;;;;;;;
jungle;Tropical forest;Forêt tropicale;Tropischer Regenwald;;Bosque tropical;Foresta tropicale;;;;;;;;
jungle_hills;Jungle Hills;Collines Jungle;Dschungel Hügel;;Jungla Colinas;;;;;;;;;
jungle_mountains;Jungle Mountains;Montagnes Jungle;Dschungel Berge;;Montañas Jungla;;;;;;;;;
seasonal_jungle;Seasonal Jungle;Jungle Saisonnière;Saisonale Dschungel;;Jungla Estacional;;;;;;;;;
seasonal_jungle_hills;Seasonal Jungle Hills;Collines Jungle Saisonniers;Saisonale Dschungel Hügel;;Colinas Jungla Estacional;;;;;;;;;
seasonal_jungle_mountains;Seasonal Jungle Mountains;Montagnes Jungle Saisonniers;Saisonale Dschungel Berge;;Montañas Estacional Jungla;;;;;;;;;
cold_desert;Cold Desert;Désert Froid;Kalten Wüste;;Desierto Frío;;;;;;;;;
cold_desert_hills;Cold Desert Hills;Froide collines Désertiques;Kälte Wüstenhügeln;;Desierto Frío Colinas;;;;;;;;;
cold_desert_mountains;Cold Desert Mountains;Montagnes Désertiques Froides;Kälte Wüstenberge;;Montañas Frío Desierto;;;;;;;;;
tundra;Tundra;Toundra;Tundra;;Tundra;;;;;;;;;
tundra_hills;Tundra Hills;Collines de la Toundra;Tundra Hügel;;Tundra Colinas;;;;;;;;;
tundra_mountains;Tundra Mountains;Toundra Montagnes;Tundra Berge;;Tundra Montañas;;;;;;;;;
marsh;Marsh;Marais;Sumpf;;;;;;;;;;;
boreal_marsh;Boreal Marsh;Boréale Marais;Borealen Sumpf;;Pantanos Boreales;;;;;;;;;
swamp_jungle;Swamp Jungle;Marécageuses Jungle;Sumpf Dschungel;;Pantano Jungla;;;;;;;;;
#climates;;;;;;;;;;;;;;
mild_climate;Mild Climate;Climat doux;Mildes Klima;;;;;;;;;;;
temperate_climate;Temperate Climate;Climat tempéré;Gemäßigtes Klima;;;;;;;;;;;
harsh_climate;Harsh Climate;Climat rude;Raues Klima;;;;;;;;;;;
inhospitable_climate;Inhospitable Climate;Climat inhospitalier;Unwirtliches Klima;;;;;;;;;;;
#continents;;;;;;;;;;;;;;
europe;Europe;Europe;Europa;;;;;;;;;;;
asia;Asia;Asie;Asien;Europa;Europa;europa;európa;Evropa;;;;;;
africa;Africa;Afrique;Afrika;Azja;Asia;asia;ázsia;Asie;;;;;;
north_america;Arcadia;Arcadia;Arcadia;;;;;;;;;;;
south_america;Ameriga;Ameriga;Ameriga;;;;;;;;;;;
oceania;Oceania;Océanie;Ozeanien;Ameryka P³d.;Sudamérica;south_america;dél-amerika;Jižní Amerika;;;;;;
