rise_of_the_middle_class;Rise of The Middle Class;;;;;;;;;;;;x,,,
rise_of_the_middle_class_desc;The middle class, which barely existed before this era, is coming to the fore and will forever change the face of our nation. And what people buy.;;;;;;;;;;;;x,
private_investments;Private Investments;;;;;;;;;;;;x,,,
private_investments_desc;Private individuals are starting to have more money available to invest in their future, and are looking for ways to spend it.;;;;;;;;;;;;x,,
consumer_lending;Consumer Lending;;;;;;;;;;;;x,,,
consumer_lending_desc;What to do if you want to spend but don't have the cash? Simple! Get a loan!;;;;;;;;;;;;x,,,
consumer_credit;Consumer Credit;;;;;;;;;;;;x,,,
consumer_credit_desc;More credit available for consumers allows them to spend more and stimulates our economy.;;;;;;;;;;;;x,,,
easy_credit;Easy Credit;;;;;;;;;;;;x,,,
easy_credit_desc;Banks are easing lending standards and making ever more loans available to our population.;;;;;;;;;;;;x,,,
retirement_funds;Retirement Funds;;;;;;;;;;;;x,,,
retirement_funds_desc;Retirement funds are starting to become available, that allow us to save up for our old age without relying on our children for everything.;;;;;;;;;;;;x,,
wealth_of_nations;Wealth of Nations;;;;;;;;;;;;x,,,
wealth_of_nations_desc;Adam Smith's The Wealth of Nations is the book that started it all.;;;;;;;;;;;;x,,,
utilitarianism;Utilitarianism;;;;;;;;;;;;x,,,
utilitarianism_desc;New economic theories help us determine which actions are more or less beneficial, as judged by their utility.;;;;;;;;;;;;x,,
rise_of_the_burgeouisie;Rise of The Burgeouisie;;;;;;;;;;;;x,,,
rise_of_the_burgeouisie_desc;Marx' writings have spurred many discussions and influenced the lives of many.;;;;;;;;;;;;x,,,
economic_optimism;Economic Optimism;;;;;;;;;;;;x,,,
economic_optimism_desc;We're turning optimism about our economic future into a new way of life!;;;;;;;;;;;;x,,,
defense_of_capitalism;Defense of Capitalism;;;;;;;;;;;;x,,,
defense_of_capitalism_desc;Capitalism is experiencing a revival in academic circles with more economists trying to refute the works of Marx and other socialist theorists.;;;;;;;;;;;;x,,,
keynesian_stimulus;Keynesian Stimulus;;;;;;;;;;;;x,,,
keynesian_stimulus_desc;The keynesian multiplier: cure for all our troubles or recipe for disaster? It will surely spur spending, but at what cost?;;;;;;;;;;;;x,,
commercial_freedoms;Commercial Freedoms;;;;;;;;;;;;x,,,
commercial_freedoms_desc;Freedom of trade has opened up our economy and allowed our people to be infinitely more productive.;;;;;;;;;;;;x,,,
consumer_advertising;Consumer Advertising;;;;;;;;;;;;x,,,
consumer_advertising_desc;Small advertising firms are touting goods as diverse as crop fertilizers or leisure rifles.;;;;;;;;;;;;x,,,
leasure_time;Leisure Time;;;;;;;;;;;;x,,,
leasure_time_desc;The concept of free time didn't really exist before the industrial revolution as most common people worked all day long for survival. Now our people earn more and have more time to spend on other activities. But that's not cheap!;;;;;;;;;;;;x,,,
paid_vacations;Paid Vacations;;;;;;;;;;;;x,,,
paid_vacations_desc;Some factories are sending their employees on business trips with all expenses paid!;;;;;;;;;;;;x,,,
company_expense_accounts;Company Expense Accounts;;;;;;;;;;;;x,,,
company_expense_accounts_desc;Now our companies are even offering accounts for business related expenses, encouraging the employees to spend more.;;;;;;;;;;;;x,,
consumerism;Consumerism;;;;;;;;;;;;x,,,
consumerism_desc;Being a consumer is a way of life now.;;;;;;;;;;;;x,,,
corporatismCorporatism;;;;;;;;;;;;x,,,
corporatism_desc;Corporations are becoming more powerful, and some have employees as loyal to it as to any state.;;;;;;;;;;;;x,,
brand_pride;Brand Pride;;;;;;;;;;;;x,,,
brand_pride_desc;Our people have pride in their favorite brands, and won't settle for less.;;;;;;;;;;;;x,,
steam_kettles;Steam Kettles;;;;;;;;;;;;x,,,
