#pop types;;;;;;;;;;;;;;
aristocrats;Aristocrats;Aristocrates;Aristokraten;;;;;;;;;;;
artisans;Artisans;Artisans;Handwerker;;;;;;;;;;;
bureaucrats;Bureaucrats;Bureaucrates;Bürokraten;;;;;;;;;;;
capitalists;Capitalists;Capitalistes;Kapitalisten;;;;;;;;;;;
clergymen;Clergymen;Clergé;Geistliche;;;;;;;;;;;
clerks;Clerks;Employés;Angestellte;;;;;;;;;;;
craftsmen;Craftsmen;Ouvriers;Facharbeiter;;;;;;;;;;;
farmers;Farmers;Fermiers;Bauern;;;;;;;;;;;
labourers;Labourers;Ouvriers;Arbeiter;;;;;;;;;;;
officers;Officers;Officiers;Offiziere;;;;;;;;;;;
slaves;Slaves;Esclaves;Sklaven;;;;;;;;;;;
soldiers;Soldiers;Soldats;Soldaten;;;;;;;;;;;
#unit types;;;;;;;;;;;;;;
army_base;Armies;Armées;Armeen;;;;;;;;;;;
army_base_short;(A);(A);(A);;;;;;;;;;;
navy_base;Navies;Marines;Flotten;;;;;;;;;;;
navy_base_short;(N);(M);(F);;;;;;;;;;;
artillery;Artillery;Artillerie;Artillerie;;;;;;;;;;;
artillery_short;Art;Art.;Art;;;;;;;;;;;
battleship_short;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
cavalry;Cavalry;Cavalerie;Kavallerie;;;;;;;;;;;
cavalry_short;Cav;Cav.;Kav;;;;;;;;;;;
clipper_transport;Clipper Transport;Clipper;Klipper-Transporter;;;;;;;;;;;
clipper_transport_short;CT;C.;CT;;;;;;;;;;;
commerce_raider;Commerce Raider;Commerce raider;Handelszerstörer;;;;;;;;;;;
commerce_raider_short;CR;CR;HP;;;;;;;;;;;
cruiser;Cruiser;Croiseur;Kreuzer;;;;;;;;;;;
cruiser_short;CA;Cr.;KR;;;;;;;;;;;
cuirassier;Cuirassier;Cuirassier;Kürassier;;;;;;;;;;;
cuirassier_short;Cur;Cuir.;Kür;;;;;;;;;;;
dragoon;Dragoon;Dragon;Dragoner;;;;;;;;;;;
dragoon_short;Dra;Dra.;Dra;;;;;;;;;;;
dreadnought;Dreadnought;Cuirassé lourd;Dreadnought;;;;;;;;;;;
dreadnought_short;DN;Cuir.L.;DN;;;;;;;;;;;
engineer;Engineer;Génie;Ingenieur;;;;;;;;;;;
engineer_short;Eng;Gén.;Pio;;;;;;;;;;;
frigate;Frigate;Frégate;Fregatte;;;;;;;;;;;
frigate_short;FR;FR.;FR;;;;;;;;;;;
guard;Guards;Réguliers;Regulars;;;;;;;;;;;
guard_short;Gua;Gar.;Gar;;;;;;;;;;;
horse_artillery;Mobile Artillery;;;;;;;;;;;;;
horse_artillery_short;M-art;;;;;;;;;;;;;
hussar;Light Cavalry;Cavalerie Légère;Light Cavalry;;;;;;;;;;;
hussar_short;Hus;Hus.;Hus;;;;;;;;;;;
infantry;Infantry;Infanterie;Infanterie;;;;;;;;;;;
infantry_short;Inf;Inf.;Inf;;;;;;;;;;;
ironclad;Ironclad;Patrouilleur;Panzerschiff;;;;;;;;;;;
ironclad_short;IC;Patr.;IC;;;;;;;;;;;
irregular;Irregular;Irrégulier;Freischärler;;;;;;;;;;;
irregular_short;Irr;Irr.;Frsch;;;;;;;;;;;
manowar;Man'o'war;Man'o'War;Kriegsschiff;;;;;;;;;;;
manowar_short;MW;MW.;MW;;;;;;;;;;;
monitor;Monitor;Patrouilleur lourd;Monitor;;;;;;;;;;;
monitor_short;MO;Patr.L.;MO;;;;;;;;;;;
plane;Airplane;Avion;Flugzeug;;;;;;;;;;;
plane_short;Air;Av.;Luft;;;;;;;;;;;
regular;Regular;;;;;;;;;;;;;
regular_short;Reg;;;;;;;;;;;;;
steam_transport;Steam Transport;Steamer;Dampf-Transporter;;;;;;;;;;;
steam_transport_short;ST;S.;DT;;;;;;;;;;;
submarine;Submarine;;;;;;;;;;;;;
submarine_short;Missing localisation. Please report to Divergences' developer.;;;;;;;;;;;;;
tank;Armor;Blindé;Panzer;;;;;;;;;;;
tank_short;Arm;Blin.;Pz;;;;;;;;;;;
