#Tech and invention localisation;;;;;;;;;;;;;;
army_tech;Army;Armée;Armee;;;;;;;;;;;
army_tech_research_bonus;Army Tech Research;Recherche de technologie militaire;Militärtechnologieforschung;;;;;;;;;;;
navy_tech;Navy;Marine;Marine;;;;;;;;;;;
navy_tech_research_bonus;Navy Tech Research;Recherche de technologie navale;Marinetechnologieforschung;;;;;;;;;;;
commerce_tech;Commerce;Commerce;Handel;;;;;;;;;;;
commerce_tech_research_bonus;Commerce Tech Research;Recherche de technologie commerciale;Handelstechnologieforschung;;;;;;;;;;;
culture_tech;Culture;Culture;Kultur;;;;;;;;;;;
culture_tech_research_bonus;Culture Tech Research;Recherche de technologie culturelle;Kulturtechnologieforschung;;;;;;;;;;;
industry_tech;Industry;Industrie;Industrie;;;;;;;;;;;
industry_tech_research_bonus;Industry Tech Research;Recherche de technologie industrielle;Industrietechnologieforschung;;;;;;;;;;;
traditional_academic;Traditional Academia;Académie traditionnelle;Traditionelle Wissenschaftswelt;;;;;;;;;;;
army_tech_school;Military-Industrial Complex;Complexe militaro-industriel;Militärisch-industrieller Komplex;;;;;;;;;;;
naval_tech_school;Sea power & The Merchant Marine;Puissance maritime et marine marchande;Seemacht & Die Handelsmarine;;;;;;;;;;;
industrial_tech_school;Corporative Industrialism;Industrialisme corporatif;Kooperativer Industrialismus;;;;;;;;;;;
culture_tech_school;Avantgarde Intelligentsia;Intelligentsia d'avant-garde;Avantgardistische Intelligentsia;;;;;;;;;;;
commerce_tech_school;Business Schools & Tycoon Capitalism;Écoles commerciales et capitalisme;Kaufmannsschulen & Magnats-Kapitalismus;;;;;;;;;;;
prussian_tech_school;Junkers, Heer & Krupp;Junkers, Heer & Krupp;Junkers, Heer & Krupp;;;;;;;;;;;
russian_tech_school;Russian Imperial Academy;;;;;;;;;;;;;
japanese_tech_school;Fukoku Kyohei;;;;;;;;;;;;;
unciv_tech_school;Ucivilized Advancement;;;;;;;;;;;;;
post_napoleonic_thought;Post-Wenceslian Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;;;;;;;;;;
post_napoleonic_thought_desc;Post-Wenceslian Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;;;;;;;;;;
strategic_mobility;Strategic Mobility;Mobilité stratégique;Strategische Mobilität;;;;;;;;;;;
strategic_mobility_desc;Strategic Mobility;Mobilité stratégique;Strategische Mobilität;;;;;;;;;;;
point_defense_system;Point Defense System;Points de défense;Punktverteidigungssystem;;;;;;;;;;;
point_defense_system_desc;Point Defense System;Points de défense;Punktverteidigungssystem;;;;;;;;;;;
deep_defense_system;Deep Defense System;Défense en profondeur;Raumverteidigungssystem;;;;;;;;;;;
deep_defense_system_desc;Deep Defense System;Défense en profondeur;Raumverteidigungssystem;;;;;;;;;;;
infiltration;Infiltration;Infiltration;Infiltrierung;;;;;;;;;;;
infiltration_desc;Infiltration;Infiltration;Infiltrierung;;;;;;;;;;;
modern_army_doctrine;Modern Army Doctrine;Doctrine de l'armée moderne;Moderne Heeresdoktrin;;;;;;;;;;;
modern_army_doctrine_desc;Modern Army Doctrine;Doctrine de l'armée moderne;Moderne Heeresdoktrin;;;;;;;;;;;
flintlock_rifles;Flintlock Rifles;Fusils à silex ;Steinschlossgewehre;;;;;;;;;;;
flintlock_rifles_desc;Flintlock Rifles;Fusils à silex ;Steinschlossgewehre;;;;;;;;;;;
muzzle_loaded_rifles;Muzzle-loaded Rifles;Fusils chargés par le canon ;Vorderlader;;;;;;;;;;;
muzzle_loaded_rifles_desc;Muzzle-loaded Rifles;Fusils chargés par le canon ;Vorderlader;;;;;;;;;;;
breech_loaded_rifles;Breech-loaded Rifles;Fusils chargés par la culasse ;Hinterlader;;;;;;;;;;;
breech_loaded_rifles_desc;Breech-loaded Rifles;Fusils chargés par la culasse ;Hinterlader;;;;;;;;;;;
bolt_action_rifles;Bolt-action Rifles;Fusils à culasse mobile ;Repetiergewehre;;;;;;;;;;;
bolt_action_rifles_desc;Bolt-action Rifles;Fusils à culasse mobile ;Repetiergewehre;;;;;;;;;;;
machine_guns;Machine Guns;Mitrailleuses ;Maschinengewehre;;;;;;;;;;;
machine_guns_desc;Machine Guns;Mitrailleuses ;Maschinengewehre;;;;;;;;;;;
modern_divisional_structure;Modern Divisional Structure;Structure divisionnaire moderne;Moderne Divisionsstruktur;;;;;;;;;;;
modern_divisional_structure_desc;Modern Divisional Structure;Structure divisionnaire moderne;Moderne Divisionsstruktur;;;;;;;;;;;
bronze_muzzle_loaded_artillery;Bronze Muzzle-loaded Artillery;Artill. bronze chargée par bouche;Vorderladergeschütz, Bronze;;;;;;;;;;;
bronze_muzzle_loaded_artillery_desc;Bronze Muzzle-loaded Artillery;Artill. bronze chargée par bouche;Vorderladergeschütz, Bronze;;;;;;;;;;;
iron_muzzle_loaded_artillery;Iron Muzzle-loaded Artillery;Artillerie fer chargée par bouche;Vorderladergeschütz, Eisen;;;;;;;;;;;
iron_muzzle_loaded_artillery_desc;Iron Muzzle-loaded Artillery;Artillerie fer chargée par bouche;Vorderladergeschütz, Eisen;;;;;;;;;;;
iron_breech_loaded_artillery;Iron Breech-loaded Artillery;Artillerie en fer à culasse;Hinterladergeschütz, Eisen;;;;;;;;;;;
iron_breech_loaded_artillery_desc;Iron Breech-loaded Artillery;Artillerie en fer à culasse;Hinterladergeschütz, Eisen;;;;;;;;;;;
steel_breech_loaded_artillery;Steel Breech-loaded Artillery;Artillerie en acier à culasse;Hinterladergeschütz, Eisen;;;;;;;;;;;
steel_breech_loaded_artillery_desc;Steel Breech-loaded Artillery;Artillerie en acier à culasse;Hinterladergeschütz, Eisen;;;;;;;;;;;
indirect_artillery_fire;Indirect Artillery Fire;Tir indirect d'artillerie;Indirekter Artilleriebeschuss;;;;;;;;;;;
indirect_artillery_fire_desc;Indirect Artillery Fire;Tir indirect d'artillerie;Indirekter Artilleriebeschuss;;;;;;;;;;;
heavy_armament_dunno;Heavy Armament;Armement lourd ;Schwere Bewaffnung;;;;;;;;;;;
heavy_armament_dunno_desc;Heavy Armament;Armement lourd ;Schwere Bewaffnung;;;;;;;;;;;
military_staff_system;Military Staff System;Système d'état-major;Militärstabssystem;;;;;;;;;;;
military_staff_system_desc;Military Staff System;Système d'état-major;Militärstabssystem;;;;;;;;;;;
military_plans;Military Plans;Plans de campagne;Militärpläne;;;;;;;;;;;
military_plans_desc;Military Plans;Plans de campagne;Militärpläne;;;;;;;;;;;
military_statistics;Military Statistics;Statistiques militaires;Militärstatistiken;;;;;;;;;;;
military_statistics_desc;Military Statistics;Statistiques militaires;Militärstatistiken;;;;;;;;;;;
military_logistics;Military Logistics;Logistique militaire;Militärlogistik;;;;;;;;;;;
military_logistics_desc;Military Logistics;Logistique militaire;Militärlogistik;;;;;;;;;;;
military_directionism;Military Directionism;Directivisme militaire;Militärischer Direktionsmus;;;;;;;;;;;
military_directionism_desc;Military Directionism;Directivisme militaire;Militärischer Direktionsmus;;;;;;;;;;;
aeronautics;Aeronautics;Aéronautique;Luftfahrt;;;;;;;;;;;
aeronautics_desc;Aeronautics;Aéronautique;Luftfahrt;;;;;;;;;;;
army_command_principle;The Command Principle;Hiérarchie militaire;Das Kommandoprinzip;;;;;;;;;;;
army_command_principle_desc;The Command Principle;Hiérarchie militaire;Das Kommandoprinzip;;;;;;;;;;;
army_professionalism;Army Professionalism;Professionnalisme;Berufsoffiziere;;;;;;;;;;;
army_professionalism_desc;Army Professionalism;Professionnalisme;Berufsoffiziere;;;;;;;;;;;
army_decision_making;Army Decision Making;Prise de décision;Armee-Entscheidungsfindung;;;;;;;;;;;
army_decision_making_desc;Army Decision Making;Prise de décision;Armee-Entscheidungsfindung;;;;;;;;;;;
army_risk_management;Army Risk Management;Gestion des risques;Armee-Risikomanagement;;;;;;;;;;;
army_risk_management_desc;Army Risk Management;Gestion des risques;Armee-Risikomanagement;;;;;;;;;;;
army_nco_training;Army NCO Training;École de sous-officiers;Armee-Unteroffiziersausbildung;;;;;;;;;;;
army_nco_training_desc;Army NCO Training;École de sous-officiers;Armee-Unteroffiziersausbildung;;;;;;;;;;;
great_war_experience;Great War Experience;Expérience de la Grande guerre;1. Weltkrieg-Erfahrung;;;;;;;;;;;
great_war_experience_desc;Great War Experience;Expérience de la Grande guerre;1. Weltkrieg-Erfahrung;;;;;;;;;;;
private_banks;Private Banks;Banques privées;Privatbanken;;;;;;;;;;;
private_banks_desc;Private Banks;Banques privées;Privatbanken;;;;;;;;;;;
stock_exchange;Stock Exchange;;;;;;;;;;;;;
stock_exchange_desc;Stock exchanges provide a market for the brokerage and trade of stocks and secrities. They generally offer a wide range of different financial securities.;;;;;;;;;;;;;
business_banks;Business Banks;Banques d'affaires;Geschäftsbanken;;;;;;;;;;;
business_banks_desc;Business Banks;Banques d'affaires;Geschäftsbanken;;;;;;;;;;;
investment_banks;Investment Banks;Banques d'investissement;Investmentbanken;;;;;;;;;;;
investment_banks_desc;Investment Banks;Banques d'investissement;Investmentbanken;;;;;;;;;;;
bank_inspection_board;Bank Inspection Board;Inspection des affaires bancaires;Bankenüberwachungsausschuss;;;;;;;;;;;
bank_inspection_board_desc;Bank Inspection Board;Inspection des affaires bancaires;Bankenüberwachungsausschuss;;;;;;;;;;;
mutual_funds;Mutual Funds;Fonds mutuels;Investmentfonds;;;;;;;;;;;
mutual_funds_desc;Mutual Funds;Fonds mutuels;Investmentfonds;;;;;;;;;;;
no_standard;No Standard;Pas de normes;Kein Standard;;;;;;;;;;;
no_standard_desc;No Standard;Pas de normes;Kein Standard;;;;;;;;;;;
ad_hoc_money_bill_printing;Ad-Hoc Money Bill Printing;Émission monétaire selon besoins;Ad-Hoc-Notenpressung;;;;;;;;;;;
ad_hoc_money_bill_printing_desc;Ad-Hoc Money Bill Printing;Émission monétaire selon besoins;Ad-Hoc-Notenpressung;;;;;;;;;;;
private_bank_money_bill_printing;Private Bank Money Bill Printing;Émission via banques privées;Privatbank-Notenpressung;;;;;;;;;;;
private_bank_money_bill_printing_desc;Private Bank Money Bill Printing;Émission via banques privées;Privatbank-Notenpressung;;;;;;;;;;;
central_bank_money_bill_printing;Central Bank Money Bill Printing;Émission via banque centrale;Zentralbank-Notenpressung;;;;;;;;;;;
central_bank_money_bill_printing_desc;Central Bank Money Bill Printing;Émission via banque centrale;Zentralbank-Notenpressung;;;;;;;;;;;
modern_central_bank_system;Modern Central Bank System;Système de banque centrale;Modernes Zentralbanksystem;;;;;;;;;;;
modern_central_bank_system_desc;Modern Central Bank System;Système de banque centrale;Modernes Zentralbanksystem;;;;;;;;;;;
market_determined_exchange_rates;Market-Determined Exchange Rates;Taux de change déterminés par le marché;Marktbestimmte Wechselkurse;;;;;;;;;;;
market_determined_exchange_rates_desc;Market-Determined Exchange Rates;Taux de change déterminés par le marché;Marktbestimmte Wechselkurse;;;;;;;;;;;
early_classical_theory_and_critique;Early Classical Theory and Critique;Théories et critiques classiques;Frühe klassische Theorie und Kritik;;;;;;;;;;;
early_classical_theory_and_critique_desc;Early Classical Theory and Critique;Théories et critiques classiques;Frühe klassische Theorie und Kritik;;;;;;;;;;;
late_classical_theory;Late Classical Theory;Théories classiques tardives;Späte klassische Theorie;;;;;;;;;;;
late_classical_theory_desc;Late Classical Theory;Théories classiques tardives;Späte klassische Theorie;;;;;;;;;;;
collectivist_theory;Collectivist Theory;Théorie collectiviste;Kollektivistische Theorie;;;;;;;;;;;
collectivist_theory_desc;Collectivist Theory;Théorie collectiviste;Kollektivistische Theorie;;;;;;;;;;;
the_historical_theory;The Historical Theory;Théorie historiciste;Die Geschichtstheorie;;;;;;;;;;;
the_historical_theory_desc;The Historical Theory;Théorie historiciste;Die Geschichtstheorie;;;;;;;;;;;
neoclassical_theory;Neoclassical Theory;Théorie néo-classique;Neoklassische Theorie;;;;;;;;;;;
neoclassical_theory_desc;Neoclassical Theory;Théorie néo-classique;Neoklassische Theorie;;;;;;;;;;;
keynesian_economics;Keynesian Economics;Économie keynésienne;Keynesianische Ökonomie;;;;;;;;;;;
keynesian_economics_desc;Keynesian Economics;Économie keynésienne;Keynesianische Ökonomie;;;;;;;;;;;
freedom_of_trade;Freedom of Trade;Liberté des échanges;Handelsfreiheit;;;;;;;;;;;
freedom_of_trade_desc;Freedom of Trade;Liberté des échanges;Handelsfreiheit;;;;;;;;;;;
market_structure;Market structure;Structuration du marché;Marktstruktur;;;;;;;;;;;
market_structure_desc;Market structure;Structuration du marché;Marktstruktur;;;;;;;;;;;
business_regulations;Business Regulations;Réglementation des affaires;Geschäftsvorschriften;;;;;;;;;;;
business_regulations_desc;Business Regulations;Réglementation des affaires;Geschäftsvorschriften;;;;;;;;;;;
market_regulations;Market Regulations;Réglementation du marché;Marktvorschriften;;;;;;;;;;;
market_regulations_desc;Market Regulations;Réglementation du marché;Marktvorschriften;;;;;;;;;;;
economic_responsibility;Economic Responsibility;Responsabilité économique;Wirtschaftliche Verantwortung;;;;;;;;;;;
economic_responsibility_desc;Economic Responsibility;Responsabilité économique;Wirtschaftliche Verantwortung;;;;;;;;;;;
government_interventionism;Government Interventionism;Interventionisme gouvernemental;Staatliche Einmischung;;;;;;;;;;;
government_interventionism_desc;Government Interventionism;Interventionisme gouvernemental;Staatliche Einmischung;;;;;;;;;;;
guild_based_production;Guild-based Production;Production corporatiste;Zunftbasierte Produktion;;;;;;;;;;;
guild_based_production_desc;Guild-based Production;Production corporatiste;Zunftbasierte Produktion;;;;;;;;;;;
organized_factories;Organized Factories;Usines;Organisierte Fabriken;;;;;;;;;;;
organized_factories_desc;Organized Factories;Usines;Organisierte Fabriken;;;;;;;;;;;
scientific_management;Scientific Management;Gestion scientifique;Wissenschaftliche Verwaltung;;;;;;;;;;;
scientific_management_desc;Scientific Management;Gestion scientifique;Wissenschaftliche Verwaltung;;;;;;;;;;;
time_saving_measures;Time-saving Measures;Optimisation du temps;Zeitsparmaßnahmen;;;;;;;;;;;
time_saving_measures_desc;Time-saving Measures;Optimisation du temps;Zeitsparmaßnahmen;;;;;;;;;;;
management_strategy;Management Strategy;Stratégie de gestion;Verwaltungsstrategie;;;;;;;;;;;
management_strategy_desc;Management Strategy;Stratégie de gestion;Verwaltungsstrategie;;;;;;;;;;;
organizational_development;Organizational Development;Développement organisationnel;Organisatorische Verwaltung;;;;;;;;;;;
organizational_development_desc;Organizational Development;Développement organisationnel;Organisatorische Verwaltung;;;;;;;;;;;
classicism_n_early_romanticism;Classicism & Early Romanticism;Classicisme et pré-romantisme ;Klassizismus & Frühromantik;;;;;;;;;;;
classicism_n_early_romanticism_desc;Classicism & Early Romanticism;Classicisme et pré-romantisme ;Klassizismus & Frühromantik;;;;;;;;;;;
romanticism;Romanticism;Romantisme;Romantik;;;;;;;;;;;
romanticism_desc;Romanticism;Romantisme;Romantik;;;;;;;;;;;
realism;Realism;Réalisme;Realismus;;;;;;;;;;;
realism_desc;Realism;Réalisme;Realismus;;;;;;;;;;;
impressionism;Impressionism;Impressionnisme;Impressionismus;;;;;;;;;;;
impressionism_desc;Impressionism;Impressionnisme;Impressionismus;;;;;;;;;;;
expressionism;Expressionism;Expressionnisme;Expressionismus;;;;;;;;;;;
expressionism_desc;Expressionism;Expressionnisme;Expressionismus;;;;;;;;;;;
mass_culture_n_the_avant_garde;Mass Culture & the Avant-Garde;Culture de masse et avant-garde;Massenkultur & die Avantgarde;;;;;;;;;;;
mass_culture_n_the_avant_garde_desc;Mass Culture & the Avant-Garde;Culture de masse et avant-garde;Massenkultur & die Avantgarde;;;;;;;;;;;
late_enlightenment_philosophy;Enlightenment Philosophy;Philosophie Lumières;Erleuchtungsphilosophie;;;;;;;;;;;
late_enlightenment_philosophy_desc;Enlightenment Philosophy;Philosophie Lumières;Erleuchtungsphilosophie;;;;;;;;;;;
idealism;Idealism;Idéalisme;Idealismus;;;;;;;;;;;
idealism_desc;Idealism;Idéalisme;Idealismus;;;;;;;;;;;
empiricism;Empiricism;Empirisme;Empirismus;;;;;;;;;;;
empiricism_desc;Empiricism;Empirisme;Empirismus;;;;;;;;;;;
analytic_philosophy;Analytic Philosophy;Philosophie analytique;Analytische Philosophie;;;;;;;;;;;
analytic_philosophy_desc;Analytic Philosophy;Philosophie analytique;Analytische Philosophie;;;;;;;;;;;
phenomenology_n_hermeneutic;Phenomenology & Hermeneutic;Phénoménologie - Herméneutiqu.;Phänomenologie & Hermeneutik;;;;;;;;;;;
phenomenology_n_hermeneutic_desc;Phenomenology & Hermeneutic;Phénoménologie - Herméneutiqu.;Phänomenologie & Hermeneutik;;;;;;;;;;;
anti__rationalism;Anti- Rationalism;Antirationalisme;Anti-Rationalismus;;;;;;;;;;;
anti__rationalism_desc;Anti- Rationalism;Antirationalisme;Anti-Rationalismus;;;;;;;;;;;
malthusian_thought;Malthusian Thought;Pensée malthusienne;Malthusischer Gedanke;;;;;;;;;;;
malthusian_thought_desc;Malthusian Thought;Pensée malthusienne;Malthusischer Gedanke;;;;;;;;;;;
positivism;Positivism;Positivisme;Positivismus;;;;;;;;;;;
positivism_desc;Positivism;Positivisme;Positivismus;;;;;;;;;;;
functionalism;Functionalism;Fonctionnalisme;Funktionalismus;;;;;;;;;;;
functionalism_desc;Functionalism;Fonctionnalisme;Funktionalismus;;;;;;;;;;;
biologism;Biologism;Biologisme;Biologismus;;;;;;;;;;;
biologism_desc;Biologism;Biologisme;Biologismus;;;;;;;;;;;
social_science;Social Science;Sciences sociales;Sozialwissenschaft;;;;;;;;;;;
social_science_desc;Social Science;Sciences sociales;Sozialwissenschaft;;;;;;;;;;;
social_alienation;Social Alienation;Aliénation sociale;Soziale Verstimmung;;;;;;;;;;;
social_alienation_desc;Social Alienation;Aliénation sociale;Soziale Verstimmung;;;;;;;;;;;
enlightenment_thought;The Rights of Man;Les droits de l'homme;Rights of Man;;;;;;;;;;;
enlightenment_thought_desc;The Rights of Man;Les droits de l'homme;Rights of Man;;;;;;;;;;;
ideological_thought;Ideological Thought;Pensée idéologique;Ideologischer Gedanke;;;;;;;;;;;
ideological_thought_desc;Ideological Thought;Pensée idéologique;Ideologischer Gedanke;;;;;;;;;;;
state_n_government;State & Government;État et Gouvernement;Staat & Regierung;;;;;;;;;;;
state_n_government_desc;State & Government;État et Gouvernement;Staat & Regierung;;;;;;;;;;;
nationalism_n_imperialism;Nationalism & Imperialism;Nationalisme et Impérialisme;Nationalismus & Imperialismus;;;;;;;;;;;
nationalism_n_imperialism_desc;Nationalism & Imperialism;Nationalisme et Impérialisme;Nationalismus & Imperialismus;;;;;;;;;;;
revolution_n_counterrevolution;Revolution & Counterrevolution;Révolution et Contre-révolution;Revolution & Konterrevolution;;;;;;;;;;;
revolution_n_counterrevolution_desc;Revolution & Counterrevolution;Révolution et Contre-révolution;Revolution & Konterrevolution;;;;;;;;;;;
mass_politics;Mass Politics;Politique de masse;Massenpolitik;;;;;;;;;;;
mass_politics_desc;Mass Politics;Politique de masse;Massenpolitik;;;;;;;;;;;
introspectionism;Introspectionism;Introspection;Introspektionismus;;;;;;;;;;;
introspectionism_desc;Introspectionism;Introspection;Introspektionismus;;;;;;;;;;;
associationism;Associationism;Associationnisme;Assoziationismus;;;;;;;;;;;
associationism_desc;Associationism;Associationnisme;Assoziationismus;;;;;;;;;;;
phenomenalism;Phenomenalism;Phénoménisme;Phänomenalismus;;;;;;;;;;;
phenomenalism_desc;Phenomenalism;Phénoménisme;Phänomenalismus;;;;;;;;;;;
experimental_psychology;Experimental Psychology;Psychologie expérimentale;Experimentalpsychologie;;;;;;;;;;;
experimental_psychology_desc;Experimental Psychology;Psychologie expérimentale;Experimentalpsychologie;;;;;;;;;;;
psychoanalysis;Psychoanalysis;Psychanalyse;Psychoanalyse;;;;;;;;;;;
psychoanalysis_desc;Psychoanalysis;Psychanalyse;Psychoanalyse;;;;;;;;;;;
behaviorism;Behaviorism;Béhaviorisme;Verhaltensforschung;;;;;;;;;;;
behaviorism_desc;Behaviorism;Béhaviorisme;Verhaltensforschung;;;;;;;;;;;
water_wheel_power;Water-wheel Power;Énergie hydromécanique;Wasserradkraft;;;;;;;;;;;
water_wheel_power_desc;Water-wheel Power;Énergie hydromécanique;Wasserradkraft;;;;;;;;;;;
practical_steam_engine;Practical Steam Engine;Moteur à vapeur;Praktischer Dampfmotor;;;;;;;;;;;
practical_steam_engine_desc;Practical Steam Engine;Moteur à vapeur;Praktischer Dampfmotor;;;;;;;;;;;
high_n_low_pressure_steam_engines;High & Low Pressure Steam Engines;Moteurs haute - basse pression;Hoch- und Niederdruck-Dampfmotoren;;;;;;;;;;;
high_n_low_pressure_steam_engines_desc;High & Low Pressure Steam Engines;Moteurs haute - basse pression;Hoch- und Niederdruck-Dampfmotoren;;;;;;;;;;;
steam_turbine;Steam Turbine;Turbine à vapeur;Dampfturbine;;;;;;;;;;;
steam_turbine_desc;Steam Turbine;Turbine à vapeur;Dampfturbine;;;;;;;;;;;
combustion_engine;Combustion Engine;Moteur à combustion interne;Verbrennungsmotor;;;;;;;;;;;
combustion_engine_desc;Combustion Engine;Moteur à combustion interne;Verbrennungsmotor;;;;;;;;;;;
electrical_power_generation;Electrical Power Generation;Production d'électricité;Stromgeneration;;;;;;;;;;;
electrical_power_generation_desc;Electrical Power Generation;Production d'électricité;Stromgeneration;;;;;;;;;;;
publishing_industry;Publishing Industry;Fabrication à domicile;Verlagsindustrie;;;;;;;;;;;
publishing_industry_desc;Publishing Industry;Fabrication à domicile;Verlagsindustrie;;;;;;;;;;;
mechanical_production;Mechanical Production;Production mécanisée;Mechanische Produktion;;;;;;;;;;;
mechanical_production_desc;Mechanical Production;Production mécanisée;Mechanische Produktion;;;;;;;;;;;
interchangeable_parts;Interchangeable Parts;Pièces interchangeables;Auswechselbare Teile;;;;;;;;;;;
interchangeable_parts_desc;Interchangeable Parts;Pièces interchangeables;Auswechselbare Teile;;;;;;;;;;;
semi_automatization;Semi-Automatization;Semi-automatisation;Halbautomatisierung;;;;;;;;;;;
semi_automatization_desc;Semi-Automatization;Semi-automatisation;Halbautomatisierung;;;;;;;;;;;
assembly_line;Assembly Line;Chaîne de montage;Fließband;;;;;;;;;;;
assembly_line_desc;Assembly Line;Chaîne de montage;Fließband;;;;;;;;;;;
shift_work;Shift Work;Travail par équipes;Schichtarbeit;;;;;;;;;;;
shift_work_desc;Shift Work;Travail par équipes;Schichtarbeit;;;;;;;;;;;
mechanized_mining;Mechanized Mining;Extraction minière mécanisée;Mechanisierter Bergbau;;;;;;;;;;;
mechanized_mining_desc;Mechanized Mining;Extraction minière mécanisée;Mechanisierter Bergbau;;;;;;;;;;;
clean_coal;Clean Coal;Charbon purifié;Reinkohle;;;;;;;;;;;
clean_coal_desc;Clean Coal;Charbon purifié;Reinkohle;;;;;;;;;;;
cheap_iron;Cheap Iron;Fer peu coûteux;Günstiges Eisen;;;;;;;;;;;
cheap_iron_desc;Cheap Iron;Fer peu coûteux;Günstiges Eisen;;;;;;;;;;;
cheap_steel;Cheap Steel;Acier peu coûteux;Günstiger Stahl;;;;;;;;;;;
cheap_steel_desc;Cheap Steel;Acier peu coûteux;Günstiger Stahl;;;;;;;;;;;
advanced_metallurgy;Advanced Metallurgy;Métallurgie de pointe;Fortschrittliche Metallurgie;;;;;;;;;;;
advanced_metallurgy_desc;Advanced Metallurgy;Métallurgie de pointe;Fortschrittliche Metallurgie;;;;;;;;;;;
electric_furnace;Electric Furnace;Four électrique;Elektroofen;;;;;;;;;;;
electric_furnace_desc;Electric Furnace;Four électrique;Elektroofen;;;;;;;;;;;
experimental_railroad;Experimental Railroad;Chemin de fer expérimental;Experimentaleisenbahn;;;;;;;;;;;
experimental_railroad_desc;Experimental Railroad;Chemin de fer expérimental;Experimentaleisenbahn;;;;;;;;;;;
early_railroad;Early Railroad;Chemin de fer primitif;Frühe Eisenbahn;;;;;;;;;;;
early_railroad_desc;Early Railroad;Chemin de fer primitif;Frühe Eisenbahn;;;;;;;;;;;
iron_railroad;Iron Railroad;Rails en fer;Eisenbahn (Eisen);;;;;;;;;;;
iron_railroad_desc;Iron Railroad;Rails en fer;Eisenbahn (Eisen);;;;;;;;;;;
steel_railroad;Steel Railroad;Rails en acier;Eisenbahn (Stahl);;;;;;;;;;;
steel_railroad_desc;Steel Railroad;Rails en acier;Eisenbahn (Stahl);;;;;;;;;;;
integral_rail_system;Integral Rail System;Réseau intégré de chemin de fer;Integrales Schienennetz;;;;;;;;;;;
integral_rail_system_desc;Integral Rail System;Réseau intégré de chemin de fer;Integrales Schienennetz;;;;;;;;;;;
limited_access_roads;Limited-Access Roads;Routes à accès limité;Schnellstraßen;;;;;;;;;;;
limited_access_roads_desc;Limited-Access Roads;Routes à accès limité;Schnellstraßen;;;;;;;;;;;
basic_chemistry;Basic Chemistry;Chimie élémentaire;Grundlegende Chemie;;;;;;;;;;;
basic_chemistry_desc;Basic Chemistry;Chimie élémentaire;Grundlegende Chemie;;;;;;;;;;;
medicine;Medicine;Médecine;Medizin;;;;;;;;;;;
medicine_desc;Medicine;Médecine;Medizin;;;;;;;;;;;
inorganic_chemistry;Inorganic Chemistry;Chimie minérale;Anorganische Chemie;;;;;;;;;;;
inorganic_chemistry_desc;Inorganic Chemistry;Chimie minérale;Anorganische Chemie;;;;;;;;;;;
organic_chemistry;Organic Chemistry;Chimie organique;Organische Chemie;;;;;;;;;;;
organic_chemistry_desc;Organic Chemistry;Chimie organique;Organische Chemie;;;;;;;;;;;
electricity;Electricity;Électricité;Elektrizität;;;;;;;;;;;
electricity_desc;Electricity;Électricité;Elektrizität;;;;;;;;;;;
synthetic_polymers;Synthetic Polymers;Polymères synthétiques;Synthetische Polymere;;;;;;;;;;;
synthetic_polymers_desc;Synthetic Polymers;Polymères synthétiques;Synthetische Polymere;;;;;;;;;;;
post_nelsonian_thought;Post-Nelsonian Thought;Pensée post-nelsonnienne;Postnelsonianischer Gedanke;;;;;;;;;;;
