#Localisations that are probably not used in-game anymore;;;;;;;;;;;;;;
#Kept as redundancy and in order to find misnamed/-spelled keys;;;;;;;;;;;;;;
#events;;;;;;;;;;;;;;
EVTNAME999000;National Debate: Trade Policy;;;;;;;;;;;;;
EVTDESC999000;The intensive election campaign has reached the boiling point in $COUNTRY$, where a fierce trade policy debate pits the friends of free trade against the pals of protectionism in a rough rumble-and-tumble to determine the future of our nation's traders. Free-traders argue that goods must be allowed to freely cross all borders, while protectionists argue that our nation's fragile industries need protection from dangerous foreign competition threatening to undo them. Which path will $COUNTRY$ tread, as it decides on: Free trade, or Protectionism?;;;;;;;;;;;;;
EVTOPTA999000;Our trade must be protected from destructive foreign competition!;;;;;;;;;;;;;
EVTOPTB999000;Let the debate take its own course, and let the chips fall where they may!;;;;;;;;;;;;;
EVTOPTC999000;Freedom of trade shall not perish from this Earth!;;;;;;;;;;;;;
EVTNAME999001;National Debate: Economic Policy;;;;;;;;;;;;;
EVTDESC999001;The debate had been going on for several hours, when a candidate stepped forward and presented arguments for their cause which silenced all opponents.;;;;;;;;;;;;;
EVTOPTA999001;Decisive arguments for Laissez Faire.;;;;;;;;;;;;;
EVTOPTB999001;Decisive arguments for Interventionism.;;;;;;;;;;;;;
EVTOPTC999001;Decisive arguments for State Capitalism.;;;;;;;;;;;;;
EVTOPTD999001;Decisive arguments for Planned Economy.;;;;;;;;;;;;;
EVTNAME999002;National Debate: Religious Policy;;;;;;;;;;;;;
EVTDESC999002;'The morality and virtue of our people have started to decline!' This statement caused much stir among the debaters of toleration and religious plurality. They have started to question the country's view on religion.;;;;;;;;;;;;;
EVTOPTA999002;There are no Gods!;;;;;;;;;;;;;
EVTOPTB999002;Religion is not a political issue!;;;;;;;;;;;;;
EVTOPTC999002;Let the people have their faith.;;;;;;;;;;;;;
EVTOPTD999002;There is one faith and one faith only!;;;;;;;;;;;;;
EVTNAME999003;National Debate: Citizenship Policy;;;;;;;;;;;;;
EVTDESC999003;Two debaters are arguing heatedly about their views. The rest of the hall sits dumbfounded when words like aliens, minorities, ethnic and cultural groups are thrown between the two. One wish that immigrants should adapt to the dominant culture while the other believes that they should retain their cultural heritage.;;;;;;;;;;;;;
EVTOPTA999003;Give them residency.;;;;;;;;;;;;;
