;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tozama_daimyo;Tozama Daimyo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
fudai_daimyo;Fudai Daimyo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
emperor_meiji;Emperor Meiji;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
supports_imperial_edict;Supports the Imperial edict against foreigners;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
angered_by_bakufu;Angered by the bakufu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sakoku;Sakoku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sakoku_desc;Meaning 'locked country',this is the policy under which no foreigner could enter Japan under pain of death. Maintained by the Tokugawa shogunate, it has kept the nation in enforced isolation since the 17th century.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
ansei_purge;Ansei Purge;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kobu_gattai;Kobu Gattai;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kobu_gattai_desc;This was a policy of the Tokugawa shogunate aiming at increasing political coordination between the bakufu and the Imperial Court, as well as appeasing opponents within the shogunate itself.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
fukoku_kyohei;Fukoku Kyohei;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
nothing_stops_progress;Nothing Stops Progress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
nothing_stops_progress_desc;We are arresting the reactionary agitators and proceeding with reforms as planned.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
slow_down_progress;Reform Restrictions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
slow_down_progress_desc;Perhaps it is best if we apply brakes to the rate of reforms. We must allow our people to catch up!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
zemene_mesafint;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
zemene_mesafint_desc;The 'Age of Princes', where the rulers of Ethiopia must struggle to unite the nation under a single Emperor.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
peasant_revolt;Open Revolt;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
peasant_revolt_desc;There is increased agitation within the province, including riots and random violence which the local government has had difficulty putting down.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
carlist_sympathies;Carlist Sympathies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
carlist_sympathies_desc;A Carlist cell is at work in the province, and is quickly gaining sympathy for the rebels that wish to topple the Spanish government.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
christino_sympathies;Christino Sympathies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
christino_sympathies_desc;A Christino cell is at work in the province, and is quickly gaining sympathy for the rebels that wish to topple the Spanish government.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
boxer_rebellion;Boxer Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
boxer_rebellion_desc;The province is currently held by the Boxer rebels, and is in great disarray.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
colonial_chaos;Colonial Chaos;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
colonial_chaos_desc;Our colony is in chaos, and we are in danger of losing it utterly if order is not restored soon!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
loss_of_control;Loss of Control;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
loss_of_control_desc;We have lost control over the colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
wartime_elections;War-time Elections;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
wartime_elections_desc;The elections are taking place in a time of war, an event which has taken center stage in the debates.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
loss_of_support;Loss of Support;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
loss_of_support_desc;The ruling party has lost support in this area.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
support_the_government;Government Support;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
support_the_government_desc;The ruling party has extra support in this area.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
crop_rotation;Crop Rotation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
crop_rotation_desc;The practice of crop rotation is now being used in local farms.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
phosphates;Phosphates;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
phosphates_desc;Phosphates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
nitrates;Nitrates;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
nitrates_desc;Nitrates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rcmp;R.C.M.P.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rcmp_desc;The Royal Canadian Mounted Police was formed to patrol the newly-acquired North-West Territories, eventually uniting with the Dominion Police to keep order throughout all Canadian provinces.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
mormon;Mormon;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
small_country_draft;Emergency Draft;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
small_country_draft_desc;We must recruit all able-bodied men to fight!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
will_support_entre_rios;Pledged Support to Entre Rios;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
indian_call_to_union;Indian Nationalism Has Begun;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
attending_berlin_congress;Attending the Congress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
oriental_crisis_support_OE;Supports the Ottomans;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
oriental_crisis_support_Egypt;Supports the Egyptians;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
MAJORITY_IS_NOT;Majority of the population is not ;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
crimean_surrender;the Ottomans have surrendered;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
china_acquire_state;Chinese Reunification;Prendre État;$STATE$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
china_acquire_state_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
china_acquire_state_setup;Acquire $STATE$ from $RECIPIENT$;Prendre $STATE$ de $RECIPIENT$;$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
