#;;;;;;;;;;;;;;x,
LNA;Lan Na;Lan Na;LanNa;Lan Na;Lanna;Lan Na;LanNa;Lan Na;;;;;;x;,
LNA_ADJ;Lan Nan;lan nan;Lan Nan;Lan Nan;de Lanna;Lan Nan;Lan Nan;Lananský;;;;;;x;,
LNN_conservative;Royal Faction;;;;;;;;;;;;x,
LNN_liberal;The Liberal Faction;;;;;;;;;;;;x,
LNN_reactionary;The Nationalist Faction;;;;;;;;;;;;x,
LNN_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x,
LNN_socialist;The Socialist Faction;;;;;;;;;;;;x,
LNN_communist;The Communist Faction;;;;;;;;;;;;x,
LNN_fascist;The Fascist Faction;;;;;;;;;;;;x,
CHK;Champassak;Champassak;Champassak;Champasak;Champasak;Champassak;Champassak;Champassak;;;;;;x;,
CHK_ADJ;Champassaki;champassak;Champassaki;Champasak;de Champasak;Champassak;Champassaki;Champassakijský;;;;;;x;,
CHK_conservative;Royal Faction;;;;;;;;;;;;x,
CHK_liberal;The Liberal Faction;;;;;;;;;;;;x,
CHK_reactionary;The Nationalist Faction;;;;;;;;;;;;x,
CHK_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x,
CHK_socialist;The Socialist Faction;;;;;;;;;;;;x,
CHK_communist;The Communist Faction;;;;;;;;;;;;x,
CHK_fascist;The Fascist Faction;;;;;;;;;;;;x,
LXA;Lan Xang;Lan Xang;LanXang;Lan Xang;Lane Xang;Lan Xang;LanXang;Lan Xang;;;;;;x;,
LXA_ADJ;Lan Xangi;lan xang;Lan Xangi;Lan Xang;de Lane Xang;Lan Xang;Lan Xangi;Lanxangijský;;;;;;x;,
LXA_conservative;Royal Faction;;;;;;;;;;;;x,
LXA_liberal;The Liberal Faction;;;;;;;;;;;;x,
LXA_reactionary;The Nationalist Faction;;;;;;;;;;;;x,
LXA_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x,
LXA_socialist;The Socialist Faction;;;;;;;;;;;;x,
LXA_communist;The Communist Faction;;;;;;;;;;;;x,
LXA_fascist;The Fascist Faction;;;;;;;;;;;;x,
KTI;Kutai;;;;;;;;;;;;;x;,
KTI_ADJ;Kutain;;;;;;;;;;;;;x;,
KTI_conservative;Royal Faction;;;;;;;;;;;;x,
KTI_liberal;The Liberal Faction;;;;;;;;;;;;x,
KTI_reactionary;The Nationalist Faction;;;;;;;;;;;;x,
KTI_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x,
KTI_socialist;The Socialist Faction;;;;;;;;;;;;x,
KTI_communist;The Communist Faction;;;;;;;;;;;;x,
KTI_fascist;The Fascist Faction;;;;;;;;;;;;x,
LXA_democracy;Laos;;;;;;;;;;;;;x;,
LXA_democracy_ADJ;Lao;;;;;;;;;;;;;x;,
LXA_proletarian_dictatorship;Lao People's Republic;;;;;;;;;;;;;x;,
LXA_proletarian_dictatorship_ADJ;Lao;;;;;;;;;;;;;x;,
LUA_1356;Laos;;;;;;;;;;;;;;x;,
SIA_1358;Isan;;;;;;;;;;;;;;x;,
SIA_1392;Ayutthaya;;;;;;;;;;;;;;x;,
SIA_1355;Lanna;;;;;;;;;;;;;;x;,
form_laos_title;Form Laos;;;;;;;;;;;;;;x;,
form_laos_desc;We must unite the Lao people under a single flag-- ours.;;;;;;;;;;;;;;x;,
annex_lan_na_title;Annex Lan Na;;;;;;;;;;;;;;x;,
annex_lan_na_desc;The Kingdom of Lan Na must unite with Siam, for the benefit of both our nations in resisting imperialist control.;;;;;;;;;;;;;;x;
flores_sale_title;Sell Flores to the Dutch;;;;;;;;;;;;;;x;,
flores_sale_desc;The Indonesian islands are almost worthless to us, but might be of value to the Dutch East India Company. We should consider selling them for a tidy profit.;;;;;;;;;;;;;;x;
