AAA_conservative_1;Loyalists;;;;;;;;;;;;;x
AAA_conservative_2;Centrists;;;;;;;;;;;;;x
AAA_conservative_3;Monarchists;;;;;;;;;;;;;x
AAA_conservative_4;Moderates;;;;;;;;;;;;;x
AAA_conservative_5;National Democratic Party;;;;;;;;;;;;;x
AAA_liberal_1;Republican Party;;;;;;;;;;;;;x
AAA_liberal_2;Parliamentarists;;;;;;;;;;;;;x
AAA_liberal_3;Reformists;;;;;;;;;;;;;x
AAA_liberal_4;Liberal Democrats;;;;;;;;;;;;;x
AAA_liberal_5;National Liberal Party;;;;;;;;;;;;;x
AAA_socialist_1;National Socialists;;;;;;;;;;;;;x
AAA_socialist_2;Labour Party;;;;;;;;;;;;;x
AAA_socialist_3;People's Party;;;;;;;;;;;;;x
AAA_socialist_4;Social Democrats;;;;;;;;;;;;;x
AAA_socialist_5;Progressivists;;;;;;;;;;;;;x
AAA_reactionary_1;Traditionalists;;;;;;;;;;;;;x
AAA_reactionary_2;Restorationists;;;;;;;;;;;;;x
AAA_anarcho_liberal_1;Free Trade Party;;;;;;;;;;;;;x
AAA_anarcho_liberal_2;Radicals;;;;;;;;;;;;;x
AAA_communist_1;Workers' Party;;;;;;;;;;;;;x
AAA_communist_2;Internationalists;;;;;;;;;;;;;x
AAA_fascist_1;Patriotic Front;;;;;;;;;;;;;x
AAA_fascist_2;Phalanxists;;;;;;;;;;;;;x
BRG_reactionary;Traditionalistes;;;;;;;;;;;;;x
BRG_conservative_1;Parti Unioniste;;;;;;;;;;;;;x
BRG_conservative_2;Partij voor de Vrijheid;;;;;;;;;;;;;x
BRG_liberal_1;Parti Reformiste;;;;;;;;;;;;;x
BRG_liberal_2;Democratische Partij;;;;;;;;;;;;;x
BRG_anarcho_liberal;Parti Radical;;;;;;;;;;;;;x
BRG_socialist_1;Socialistische Partij;;;;;;;;;;;;;x
BRG_socialist_2;Parti Progressiste;;;;;;;;;;;;;x
BRG_communist;Communistische Partij;;;;;;;;;;;;;x
BRG_fascist;Parti des Patriotes;;;;;;;;;;;;;x
BRG_social_liberal;Arbeiderspartij;;;;;;;;;;;;;x
DUA_reactionary;Ultraroyalistes;;;;;;;;;;;;;x
DUA_conservative_1;Parti Conservateur;;;;;;;;;;;;;x
DUA_conservative_2;Parti National;;;;;;;;;;;;;x
DUA_liberal_1;Parti Modere;;;;;;;;;;;;;x
DUA_liberal_2;Parti Liberal;;;;;;;;;;;;;x
DUA_anarcho_liberal;Parti Radical;;;;;;;;;;;;;x
DUA_socialist_1;Parti Socialiste;;;;;;;;;;;;;x
DUA_socialist_2;Parti Travailliste;;;;;;;;;;;;;x
DUA_communist;Parti Communiste;;;;;;;;;;;;;x
DUA_fascist;Parti Fasciste;;;;;;;;;;;;;x
DUA_social_liberal;Parti Democratique;;;;;;;;;;;;;x
PLA_reactionary;Royalistes;;;;;;;;;;;;;x
PLA_conservative_1;Parti Conservateur;;;;;;;;;;;;;x
PLA_conservative_2;Parti d'Avant-Garde;;;;;;;;;;;;;x
PLA_liberal_1;Parti Modere;;;;;;;;;;;;;x
PLA_liberal_2;Parti des Defenseurs;;;;;;;;;;;;;x
PLA_anarcho_liberal;Parti Anarchiste;;;;;;;;;;;;;x
PLA_socialist_1;Parti Socialiste;;;;;;;;;;;;;x
PLA_socialist_2;Parti Travailliste;;;;;;;;;;;;;x
PLA_communist;Parti Populaire;;;;;;;;;;;;;x
PLA_fascist;Parti Fasciste;;;;;;;;;;;;;x
PLA_social_liberal;Parti de la Justice;;;;;;;;;;;;;x
