;;;;*;*;*;*;;;;;;;x,,,,
EVTNAME20000;Dangerous Ideas;;;;;;;;;;;;x,,,,
EVTDESC20000;Dangerous ideas are afloat in $COUNTRY$, with the first stirrings of resistance against our nation's ruler being reported. Such talk is kept quiet, if there is truth to it at all.;;;;;;;;;;;;x,,
EVTOPTA20000;It shall not amount to much.;;;;;;;;;;;;x,,,,
EVTNAME20001;'$STATENAME$ Calls For Democracy!';;;;;;;;;;;;x,,,,
EVTDESC20001;These are the headlines in the revolutionary newspaper being secretly printed in $PROVINCENAME$. Nobody seems to know who is behind it, and so far inquiries have turned up nothing. It seems the agitators are better organized than we thought.;;;;;;;;;;;;x,,,
EVTOPTA20001;Let it be.;;;;;;;;;;;;x,,,,
EVTOPTB20001;Find those responsible and shut down this tripe!;;;;;;;;;;;;x,,,,
underground_newspaper;Revolutionary Newspaper;;;;;;;;;;;;x,,,,
freedom_talks;Dangerous Ideas;;;;;;;;;;;;x,,,,
freedom_talks_desc;Dangerous ideas are spreading. People begin to realise that our current form of government may be not the best;;;;;;;;;;;;x,,,,
EVTNAME20002;Massive Demonstration in $CAPITAL$;;;;;;;;;;;;x,,,,
EVTDESC20002;Thousands of people flooded into $CAPITAL$'s central square today, demanding a democratic constitution and universal suffrage. Breaking up the crowd will lead to violence, with more to surely come.;;;;;;;;;;;;x,,
EVTOPTA20002;Concede to their demands.;;;;;;;;;;;;x,,,,
EVTOPTB20002;Send in the troops!;;;;;;;;;;;;x,,,,
growing_unrest;Growing Unrest;;;;;;;;;;;;x,,,,
growing_unrest_desc;People are losing faith in their government and may even resort to armed revolution;;;;;;;;;;;;x,,,,
EVTNAME20003;Revolutionary Society;;;;;;;;;;;;x,,,,
EVTDESC20003;Our secret police have reported evidence of armed revolutionaries organizing in $COUNTRYNAME$. Should we make an investigation?;;;;;;;;;;;;x,,,,
EVTOPTA20003;Chasing them will only rouse more anger.;;;;;;;;;;;;x,,,,
EVTOPTB20003;Yes! Increase efforts to track them down.;;;;;;;;;;;;x,,,,
revolutionary_society;Revolutionary Society;;;;;;;;;;;;x,,,,
revolutionary_society_desc;A revolutionary society has emerged in our country planning to overthrow current government;;;;;;;;;;;;x,,,,
EVTNAME20004;Revolutionary Society Discovered;;;;;;;;;;;;x,,,,
EVTDESC20004;Our secret police have found the revolutionaries' hideout and arrested all activists.;;;;;;;;;;;;x,,,,
EVTOPTA20004;Excellent work.;;;;;;;;;;;;x,,,,
EVTNAME20005;Assasination Attempt;;;;;;;;;;;;x,,,,
EVTDESC20005;An unknown assailant made an assasination attempt on $COUNTRY$'s president, but, thanks to his bodyguards, the president remained unharmed. Unfortunately, the attacker was slain and could not be questioned for information. Police have redoubled their search for the conspirators responsible.;;;;;;;;;;;;x
EVTOPTA20005;Find those bastards!;;;;;;;;;;;;x,,,,
EVTNAME20006;Assassination!;;;;;;;;;;;;x,,,,
EVTDESC20006;Today is a grim day for $COUNTRY$. The $COUNTRY_ADJ$ president has been shot dead this night in $CAPITAL$. He was the victim of an ambush plotted by radical liberals. The country has been thrown into mourning, though even now there is word that factions in $COUNTRY$ are maneuvering to either find a successor to take the president's place or overthrow the dictatorship once and for all.;;;;;;;;;;;;x,,,
EVTOPTA20006;What happens now?;;;;;;;;;;;;x,,,,
power_vacuum;Power Vacuum;;;;;;;;;;;;x,,,,
power_vacuum_desc;Our ruler is dead. Who can take power?;;;;;;;;;;;;x,,,,
EVTNAME20007;End of the Dictatorship;;;;;;;;;;;;x,,,,
EVTDESC20007;With the death of $COUNTRY$'s president, the dictatorship has come to an end. Pro-democracy forces have succeeded in taking control of $CAPITAL$, and are already promising widespread reforms as well as a new constitution.;;;;;;;;;;;;x,,
EVTOPTA20007;Long live a free $COUNTRY$!;;;;;;;;;;;;x,,,,
EVTNAME20008;The President's Successor;;;;;;;;;;;;x,,,,
EVTDESC20008;The death of the president has not succeeded in causing $COUNTRY$'s dictatorship to crumble. His new successor greeted a crowd in $CAPITAL$, waving from the balcony of the presidential palace. Already the new president's supporters are searching out revolutionary hideouts, determined to prevent the same fate from befalling $COUNTRY$'s new leader.;;;;;;;;;;;;x,,
EVTOPTA20008;All shall be right in $COUNTRY$ once more.;;;;;;;;;;;;x,,,,
EVTNAME20009;The End of Tyranny;;;;;;;;;;;;x,,,,
EVTDESC20009;After years of dictatorship $COUNTRY_ADJ$ citizens finally enjoy freedom.;;;;;;;;;;;;x,,,,
EVTOPTA20009;Oh joy!;;;;;;;;;;;;x,,,,
;;;;*;*;*;*;;;;;;;x,,,,
