;;;;;;;;;;;;;x,,,,,,
EVTNAME90025;Tunisian Independence;;;;;;;;;;;;x,,,,,,
EVTDESC90025;It has become increasingly obvious that the Tunisian government operates independently from $COUNTRY_ADJ$ rule. We cannot continue to control them directly, and must either take measures to assert our dominance or allow them to seek their own path.;;;;;;;;;;;;x,,,,,
EVTNAME90026;The Young Ottomans;;;;;;;;;;;;x,,,,,,
EVTDESC90026;A group of liberal intellectuals that were responsible for the reforms of the Kanûn-i Esâsî have begun stirring up resentment of the Ottoman autocracy. They demand to see the power of the throne reduced to that of a constitutional monarchy, though advisors note that giving into their demands will only anger reactionaries determined to see the Empire's traditions maintained.;;;;;;;;;;;;x,,,,,
EVTNAME90027;Greece Demands Thessaly;;;;;;;;;;;;x,,,,,,
EVTDESC90027;The government of Greece sent a demand that the state of Thessaly be returned to their rightful control.;;;;;;;;;;;;x,,,,,,
EVTNAME90028;Serbia Sends Demands;;;;;;;;;;;;x,,,,,,
EVTDESC90028;The government of Serbia sent a demand for Serbian lands to be returned to their rightful control.;;;;;;;;;;;;x,,,,,,
EVTNAME90029;Bulgarian Independence?;;;;;;;;;;;;x,,,,,,
EVTDESC90029;With the recent unrest in Bulgarian lands, the local Bulgarian government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,
EVTNAME90030;Albanian Independence?;;;;;;;;;;;;x,,,,,,
EVTDESC90030;With the recent unrest in Albanian lands, the local Albanian government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,
EVTNAME90031;Bosnian Independence?;;;;;;;;;;;;x,,,,,,
EVTDESC90031;With the recent unrest in Bosniak lands, the local Bosniak government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,
EVTNAME90032;Iraqi Independence?;;;;;;;;;;;;x,,,,,,
EVTDESC90032;With the recent unrest in Iraqi lands, the local Iraqi government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,
EVTNAME90033;Independence for Crete?;;;;;;;;;;;;x,,,,,,
EVTDESC90033;With the recent unrest in Crete, the local government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,
EVTNAME90034;Union With Greece;;;;;;;;;;;;x,,,,,,
EVTDESC90034;The time has come to unite with our Greek brothers.;;;;;;;;;;;;x,,,,,,
demand_thessaly_title;Demand Thessaly;;;;;;;;;;;;x,,,,,,
demand_thessaly_desc;Demand that the Ottomans return Thessaly to our control.;;;;;;;;;;;;x,,,,,,
demand_serb_lands_TUR_title;Demand Serbian Lands;;;;;;;;;;;;x,,,,,,
demand_serb_lands_TUR_desc;Demand that the Ottomans return Serbian lands to our control.;;;;;;;;;;;;x,,,,,,
demand_montenegro_lands_title;Demand Montenegro Lands;;;;;;;;;;;;x,,,,,,
demand_montenegro_lands_desc;Demand that the Ottomans return Montenegran lands to our control.;;;;;;;;;;;;x,,,,,,
EVTNAME90035;Montenegro Sends Demands;;;;;;;;;;;;x,,,,,,
EVTDESC90035;The government of Montenegro sent a demand for their lands to be returned to their control.;;;;;;;;;;;;x,,,,,,
EVTNAME90036;Freedom in the Balkans;;;;;;;;;;;;x,,,,,,
EVTDESC90036;The Ottomans continue their brutal oppression of Orthodox Christians in the Balkans. The $COUNTRY_ADJ$ government has been receiving calls for assistance from dissidents within the Empire, and the feeling among our own Orthodox citizens is that we should take a stand to help our brothers of the faith.;;;;;;;;;;;;x,,,,,
EVTNAME90060;The Eastern Question;;;;;;;;;;;;x,,,,,,
EVTDESC90060;The Ottoman Empire has been in slow decline for much of the last century, but never has this been more apparent than in recent years. The Empire's hold on the Balkans is weakening, and this threatens to upset the entire balance of power in Eastern Europe as Russia and other countries will inevitably be drawn into the conflict. Many in the $COUNTRY_ADJ$ government feel that it falls on us to call the powers of Europe together and negotiate a settlement that will restore some semblance of stability to the area.;;;;;;;;;;;;x,,,,
EVTNAME90061;Planning for the Congress;;;;;;;;;;;;x,,,,,,
EVTDESC90061;Now that plans for the conference in $CAPITAL$ are underway, $COUNTRY_ADJ$ statesmen are busy trying to determine what our stance on the issue should be. Some feel we should favor keeping the Ottoman Empire strong, in the interest of preventing the Russians from expanding into the Middle East. This could potentially improve our relations with the Ottomans, as well. Others believe stability in the Balkans should be the priority, even though this might come at the expense of the Ottomans and our relationship with them.;;;;;;;;;;;;x,,
EVTNAME90062;$FROMCOUNTRY$ Calls for Congress;;;;;;;;;;;;x,,,,,,
EVTDESC90062;We have received word from the $FROMCOUNTRY_ADJ$ that they intend to hold a congress of European powers in their capital to discuss the ability of $COUNTRY$ to maintain stability in the Balkans. Some feel this is a veiled attempt to carve up our nation, and an insult, but regardless we cannot let the congress go on without our attendance. We shall see what manner of 'negotiation' $FROMCOUNTRY$ intends.;;;;;;;;;;;;x,,,,
EVTNAME90063;$FROMCOUNTRY$ Calls for Congress;;;;;;;;;;;;x,,,,,,
EVTDESC90063;We have received word from the $FROMCOUNTRY_ADJ$ that they intend to hold a congress of European powers in their capital to discuss the ability of the Ottomans to maintain stability in the Balkans. Some feel this is a veiled attempt to bolster the shaky Empire's hold over the Middle East and balk Russian 'aggression'. Either way, we cannot let the congress go on without our attendance. We shall see what manner of 'negotiation' $FROMCOUNTRY$ intends.;;;;;;;;;;;;x,,,,,
EVTNAME90064;$FROMCOUNTRY$ Calls for Congress;;;;;;;;;;;;x,,,,,,
EVTDESC90064;We have received word from the $FROMCOUNTRY_ADJ$ that they intend to hold a congress of European powers in their capital to discuss the ability of the Ottomans to maintain stability in the Balkans. Some feel we should favor keeping the Ottoman Empire strong, in the interest of preventing the Russians from expanding into the Middle East. This could potentially improve our relations with the Ottomans, as well. Others believe stability in the Balkans should be the priority, even though this might come at the expense of the Ottomans and our relationship with them. Still others feel we should not take part in this veiled attempt at dismembering a sovereign nation.;;;;;;;;;;;;x,,,
EVTNAME90065;The Congress of $CAPITAL$: Keep the Empire Strong;;;;;;;;;;;;x,,,,,,
