;;;;;;;;;;;;;x,,,
separatist_rebels_title;Patriot;;;;;;;;;;;;x,,,
separatist_rebels_name;$CULTURE$ Patriots;;;;;;;;;;;;x,,,
separatist_rebels_desc;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;;;;;;;;;;;;x,,
separatist_rebels_army;$CULTURE$ Patriots;;;;;;;;;;;;x,,,
angry_peasants_title;Angry Rioter;;;;;;;;;;;;x,,,
angry_peasants_name;Angry Rioters;;;;;;;;;;;;x,,,
angry_peasants_desc;Rioters will run rampant through the country, eliminating any foreign presence, killing the wealthy in any province they gain control over, and otherwise wreaking havoc.;;;;;;;;;;;;x
angry_peasants_army;Angry Rioters;;;;;;;;;;;;x,,,
patriot_uprising;Patriot Uprising;;;;;;;;;;;;x,,,
patriot_uprising_desc;Foreign patriots have taken control of the province.;;;;;;;;;;;;x,,,
irish_nationalist_rebels_title;Irish Nationalist;Nationalistes;Nationalist;;Nacionalistas;;;;;;;;;;x;;;;;;;;;;;;;;,,,
irish_nationalist_rebels_name;$INDEP$ Nationalists;$INDEP$ - Nationalistes;$INDEP$-Nationalisten;;Nacionalistas de $INDEP$;;;;;;;;;;x;;;;;;;;;;;;;;,,,
irish_nationalist_rebels_desc;Nationalist rebels seek freedom for their people. They are well led and equipped, and they will focus on achieving independence for their nation.;Les rebelles nationalistes veulent la liberté pour leur peuple. Bien menés et bien équipés, ils vont tout mettre en œuvre pour obtenir l'indépendance de leur nation.;Nationalistische Rebellen kämpfen für die Freiheit ihres Volkes. Gut diszipliniert und ausgerüstet konzentrieren sich auf die Erlangung der Unabhängigkeit für ihr Land.;;Los rebeldes nacionalistas buscan la libertad de su pueblo. Están bien dirigidos y equipados, y se afanarán en lograr la independencia de su nación.;;;;;;;;;;x;;;;;;;;;;;;;;
irish_nationalist_rebels_army;$INDEP$ Nationalists;$INDEP$ - Nationalistes;$INDEP$-Nationalisten;;Nacionalistas de $INDEP$;;;;;;;;;;x;;;;;;;;;;;;;;,,,
conservative_rebels_title;Militant Conservative;;;;;;;;;;;;x,,,
conservative_rebels_name;Militant Conservatives;;;;;;;;;;;;x,,,
conservative_rebels_desc;In a democracy, militant conservatives will seek to enforce a conservative government. In any other country, they will seek to establish a democracy with a conservative government.;;;;;;;;;;;;x,
conservative_rebels_army;Militant Conservatives;;;;;;;;;;;;x,,,
socialist_rebels_title;Militant Socialist;;;;;;;;;;;;x,,,
socialist_rebels_name;Militant Socialists;;;;;;;;;;;;x,,,
socialist_rebels_desc;In a democracy, militant conservatives will seek to enforce a socialist government. In any other country, they will seek to establish a democracy with a socialist government.;;;;;;;;;;;;x,
socialist_rebels_army;Militant Socialists;;;;;;;;;;;;x,,,
indian_nationalists_title;Indian Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indian_nationalists_name;Indian Nationalists;$UNION_ADJ$ - Pan-nationalistes;$UNION_ADJ$ Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indian_nationalists_desc;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;;;;;;;;;;;;x,,
indian_nationalists_army;Indian Nationalists;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
christino_rebels_title;Christino;;;;;;;;;;;;x,,,
christino_rebels_name;Christinos;;;;;;;;;;;;x,,,
christino_rebels_desc;These rebels support the royal line of Ferdinand VII, and consider the current king to be a pretender. They intend to reinstall the rightful queen, and restore the liberal reforms enacted by the previous royal line.;;;;;;;;;;;;x,
christino_rebels_army;Christinos;;;;;;;;;;;;x,,,
