PROV3;坂能;;;;;;;;;;x
PROV4;高秋;;;;;;;;;;;x
PROV5;行田;;;;;;;;;;;x
PROV6;袖浦;;;;;;;;;;;x
PROV7;本宫;;;;;;;;;;;x
PROV8;东根;;;;;;;;;;;x
PROV9;陶尔斯塔德;;;;;;;;;;;x
PROV11;奥登克平;;;;;;;;;;;x
PROV12;斯考根;;;;;;;;;;;x
PROV13;夏州;;;;;;;;;;;x
PROV14;定国;;;;;;;;;;;x
PROV15;荣州;;;;;;;;;;;x
PROV16;周山;;;;;;;;;;;x
PROV17;塘湾;;;;;;;;;;;x
PROV18;双港;;;;;;;;;;;x
PROV19;伊妤;;;;;;;;;;;x
PROV20;文渊谷;;;;;;;;;;;x
PROV21;轩谷;;;;;;;;;;;x
PROV22;百泽;;;;;;;;;;;x
PROV23;桐城;;;;;;;;;;;x
PROV24;黄嘉;;;;;;;;;;;x
PROV25;德兴;;;;;;;;;;;x
PROV26;罗岭;;;;;;;;;;;x
PROV27;龙山;;;;;;;;;;;x
PROV28;五衡;;;;;;;;;;;x
PROV29;杨桥;;;;;;;;;;;x
PROV30;斯特隆克平;;;;;;;;;;;x
PROV31;赫莱贝;;;;;;;;;;;x
PROV32;斯堪德维克;;;;;;;;;;;x
PROV33;澹桥;;;;;;;;;;;x
PROV34;伯格斯维克;;;;;;;;;;;x
PROV35;怡秀;;;;;;;;;;;x
PROV36;吉尔海维克;;;;;;;;;;;x
PROV37;瓦尔加;;;;;;;;;;;x
PROV38;特雷尔克平;;;;;;;;;;;x
PROV39;莱弗马克;;;;;;;;;;;x
PROV40;斯道姆贝;;;;;;;;;;;x
PROV41;法克尔堡;;;;;;;;;;;x
PROV42;斯丢尔堡;;;;;;;;;;;x
PROV43;莫达尔维迪;;;;;;;;;;;x
PROV44;耶尔莫恩;;;;;;;;;;;x
PROV45;森托尔;;;;;;;;;;x
PROV46;奈斯沃伯根;;;;;;;;;;;x
PROV47;艾亚拉库尔;;;;;;;;;;;x
PROV48;斯滕堡;;;;;;;;;;;x
PROV49;科雅克劳;;;;;;;;;;;x
PROV50;萨德维卡;;;;;;;;;;;x
PROV51;鲁斯卡森;;;;;;;;;;;x
PROV52;奥雷武港;;;;;;;;;;;x
PROV53;瑟克兰茨;;;;;;;;;;;x
PROV54;鲁滕;;;;;;;;;;;x
PROV55;勒夫比;;;;;;;;;;;x
PROV56;贝斯提尔纳;;;;;;;;;;;x
PROV57;斯伯瑞巴克;;;;;;;;;;;x
PROV58;腓特烈斯塔德;;;;;;;;;;;x
PROV59;伊格尔斯克;;;;;;;;;;;x
PROV60;卡尔玛堡;;;;;;;;;;;x
PROV61;达豪堡;;;;;;;;;;;x
PROV62;布拉德维克;;;;;;;;;;;x
PROV63;里尔克平;;;;;;;;;;;x
PROV64;诺尔比;;;;;;;;;;;x
PROV65;埃里克港;;;;;;;;;;;x
PROV66;考斯贝拉;;;;;;;;;;;x
PROV67;巴萨玛恩;;;;;;;;;;;x
PROV68;新安胡斯;;;;;;;;;;;x
PROV69;克里斯蒂安堡;;;;;;;;;;;x
PROV70;尤尔;;;;;;;;;;x
PROV71;弗莱萨堡;;;;;;;;;;;x
PROV72;新耶灵;;;;;;;;;;;x
PROV73;奥雷武斯塔德;;;;;;;;;;;x
PROV74;霍隆堡;;;;;;;;;;;x
PROV75;比耶尔维克;;;;;;;;;;;x
PROV76;谢弗加德;;;;;;;;;;;x
