#;;;;;;;;;;;;;;x,,
TRIGGER_CIV_PROGRESS_LESS;开化进程: 50%;;;;;;;;;;;;x,,
had_liberal_revolution;自由主义革命终结;;;;;;;;;;;;x,,
proletarian_dictatorship;无产阶级专政;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
has_siege;遭到围攻;;;;;;;;;;;;x,,
the_white_mans_burden;白人的负担;;;;;;;;;;;;x,,,,,,,
the_white_mans_burden_desc;"白人的负担" 是英国诗人吉卜林于1899年写作的一首诗。它用含蓄的辞藻鼓励白人殖民并统治其他民族以为这些未开化的人们带去文明（这些被统治者和白人教化他们的义务都被认作是白人的"重担"）一些帝国主义者把“白人的负担”理解为帝国主义的特征，并依此将殖民扩张认作一种高尚的事业。;;;;;;;;;;;;x,,,,,
indigenous_garrisoning;土著驻军;;;;;;;;;;;;x,,,,,,,
indigenous_garrisoning_desc;“无论发生什么事，我们必须有马克沁机枪，然后对面没有。”新式重火力武器的出现令少量武装精良的驻军足以维持殖民地秩序，哪怕面对千倍于己的土著起义者;;;;;;;;;;;;x,,,,,,,,,,,
well_drilled;完美军官团;;;;;;;;;;;;x,,,,,,,
well_drilled_desc;我国庞大而精锐的军官团使我军成为全世界羡慕的对象;;;;;;;;;;;;x,,,,,,
drilled;优秀军官团;;;;;;;;;;;;x,,,,,,,
drilled_desc;我国有一支大规模的军官队伍，这使得我们的军队富有战斗力;;;;;;;;;;;;x,,,,,,
poorly_drilled;缺乏军官团;;;;;;;;;;;;x,,,,,,,
poorly_drilled_desc;我们的军队组织因缺乏训练有素的军官团而效率低下;;;;;;;;;;;;x,,,,,,
undisciplined_mob;乌合之众;;;;;;;;;;;;x,,,,,,,
undisciplined_mob_desc;在一帮毫无训练的军官领导下，我们的军队已经成了一群毫无纪律可言的武装暴民;;;;;;;;;;;;x,,,,,,
