;;;;;;;;;;;;;x,,,,,,,,
EVTDESC10221_NEWS_LONG;$COUNTRY$：宪章派在肯宁顿公地发起了一场声势浩大的游行示威，自由主义者们要求立刻实行人民宪章，即不论贫富，给与所有人平等的投票权，并实行无记名投票，公平分配选民数量。$COUNTRY$政府中的很多人都建议应该将这类公众集会划为违法行为，而且英国政府最好能给这些暴民煽动者开一张空头支票以抚慰他们。其他人则担心拒绝他们的请求会引发一场叛乱颠覆推翻君主统治;;;;;;;;;;;;x,,,,
EVTDESC10221_NEWS_MEDIUM;$COUNTRY$：宪章派在肯宁顿公地发起了一场声势浩大的游行示威，自由主义者们要求立刻实行人民宪章，即不论贫富，给与所有人平等的投票权，并实行无记名投票，公平分配选民数量;;;;;;;;;;;;x,,,,,,
EVTDESC10221_NEWS_SHORT;$COUNTRY$：宪章派在肯宁顿公地发起了一场声势浩大的游行示威，自由主义者们要求立刻实行人民宪章;;;;;;;;;;;;x,,,,,,,
EVTDESC10225_NEWS_LONG;近几年，匈牙利议会逐渐摆脱了奥地利统治的约束。被派遣到匈牙利接管当地军队的陆军元帅弗朗兹·菲利普·冯·拉姆伯格伯爵，在到达当天就遭到了刺杀。听到这个消息，奥地利政府要求解散匈牙利议会，让克罗地亚总督接替拉门伯格的位置。匈牙利人民拒绝执行如上命令，因此$COUNTRY$即将面临一场捍卫祖国主权完整的战争;;;;;;;;;;;;x,,,,,
EVTDESC10225_NEWS_MEDIUM;近几年，匈牙利议会逐渐摆脱了奥地利统治的约束。陆军元帅弗朗兹·菲利普·冯·拉姆伯格伯爵被派遣到匈牙利接管当地军队，但匈牙利人民拒绝服从这一命令，因此$COUNTRY$即将面临一场捍卫祖国主权完整的战争;;;;;;;;;;;;x,,,,,,,
EVTDESC10225_NEWS_SHORT;匈牙利人民拒绝服从$COUNTRY$要求他们放弃军队领导权的命令，因此$COUNTRY$即将面临一场捍卫祖国主权完整的战争;;;;;;;;;;;;x,,,,,,,
EVTDESC10228_NEWS_LONG;$COUNTRY$：在全国都准备推翻君主统治的形势下，大臣们觐见$COUNTRY_ADJ$国王，建议在一切都无法挽回之前修改宪法，这其中包含的条款有：允许直接选举产生下议院、保证多项人身自由。尽管荷兰并不愿意这样做，但此举可以安抚那些自由主义者，进而避免$COUNTRY$的$CAPITAL$被反叛者占领;;;;;;;;;;;;x,,,,,
EVTDESC10228_NEWS_MEDIUM;$COUNTRY$：在全国都准备推翻君主统治的形势下，大臣们觐见$COUNTRY_ADJ$国王，建议在一切都无法挽回之前，向自由主义者做出让步，修改宪法;;;;;;;;;;;;x,,,,,,,
EVTDESC10228_NEWS_SHORT;$COUNTRY$：在全国都准备推翻君主统治的形势下，大臣们觐见$COUNTRY_ADJ$国王，建议在一切都无法挽回之前修改宪法;;;;;;;;;;;;x,,,,,,,
EVTDESC10229_NEWS_LONG;$COUNTRY_ADJ$人民要求政府进行宪法改革，眼看他们就要冲破政府大门时，$COUNTRY_ADJ$皇帝经过深思熟虑，决定答应他们的请求。他认为颁布一些温和改革，例如在允许大众投票的同时也保留$COUNTRY_ADJ$贵族、皇帝的至高权力，这样应该能平息这些暴民的愤怒……也有可能只是他这么想而已;;;;;;;;;;;;x,,,,
EVTDESC10229_NEWS_MEDIUM;$COUNTRY_ADJ$人民要求政府进行宪法改革，眼看他们就要冲破政府大门时，$COUNTRY_ADJ$皇帝经过深思熟虑，决定给与他们一些适度的人身自由来安抚他们;;;;;;;;;;;;x,,,,,,
EVTDESC10229_NEWS_SHORT;$COUNTRY_ADJ$人民要求政府进行宪法改革，$COUNTRY_ADJ$皇帝经过深思熟虑，决定给与他们一些适度的人身自由来安抚他们;;;;;;;;;;;;x,,,,,,,
EVTDESC10400_NEWS_LONG;法国的动荡近日达到了一个顶峰，人们涌入巴黎的大街小巷，并立起路障。就在这时发生了一起意外事件，一名法国卫兵端起步枪向民众开了一枪，引发了一场大屠杀。这场灾难立刻席卷了这个城市，人们大喊着“改革万岁！”“打倒国王！”尽管国王向全国保证一切都在掌控之中，他还是退位并逃离了这个国家，临时政府不得不介入，宣布成立法兰西第二共和国;;;;;;;;;;;;x,,,,
EVTDESC10400_NEWS_MEDIUM;法国的动荡近日达到了一个顶峰，人们涌入巴黎的大街小巷，并立起路障。尽管国王向全国保证一切都在掌控之中，他还是退位并逃离了这个国家，临时政府不得不介入，宣布成立法兰西第二共和国;;;;;;;;;;;;x,,,,,,
EVTDESC10400_NEWS_SHORT;经历数月的巴黎动荡后，法国国王退位并逃离了这个国家，临时政府不得不介入，宣布成立法兰西第二共和国;;;;;;;;;;;;x,,,,,,,
EVTDESC10405_NEWS_MEDIUM;贵族拒绝撤销对总统再选的禁令，民心所向的拿破仑感受到权力的危机，于是推翻了法国政府。经过洗礼的他，加冕为拿破仑三世，夺回了本应属于他叔叔的法国王位;;;;;;;;;;;;x,,,,,,
EVTDESC10405_NEWS_SHORT;民心所向的拿破仑感受到权力的危机，于是推翻了法国政府。经过洗礼的他，加冕为拿破仑三世，夺回了本应属于他叔叔的法国王位;;;;;;;;;;;;x,,,,,,,
