;;;;;;;;;;;x
;;;;;;;;;;;x
AUS_702;小波兰;;;;;;;;;;;x
AUS_662;加利西亚;;;;;;;;;;;x
DEN_334;斯科讷;;;;;;;;;;;;;x
NA_1;上密西西比;;;;;;;;;;;x
NA_2;罗格斯;;;;;;;;;;;x
NA_3;维奇塔;;;;;;;;;;;x
NA_4;卡奥;;;;;;;;;;;x
NA_7;马哈;;;;;;;;;;;x
NA_12;奥登斯马克;;;;;;;;;;;x
NA_9;淘斯马克;;;;;;;;;;;x
NA_8;特延宁;;;;;;;;;;;x
NA_10;北海岸;;;;;;;;;;;x
NA_11;大伸;;;;;;;;;;;x
NA_16;阿塞斯;;;;;;;;;;;;;x
NBG_1;新弗兰德;;;;;;;;;;;x
NBG_2;菲利普;;;;;;;;;;;x
NBG_3;上弗兰德;;;;;;;;;;;x
NBG_4;上瓦罗西亚;;;;;;;;;;;x
NBG_5;下瓦罗西亚;;;;;;;;;;;x
NBG_6;新洛林;;;;;;;;;;;x
NBG_7;卡罗莱纳;;;;;;;;;;;x
PLA_1;西加莱;;;;;;;;;;;x
PLA_2;上莱昂;;;;;;;;;;;x
PLA_3;下莱昂;;;;;;;;;;;x
PLA_4;察加里地区;;;;;;;;;;;x
PLA_5;塔斯克基;;;;;;;;;;;x
PLA_6;香克托;;;;;;;;;;;x
PLA_7;新法兰西;;;;;;;;;;;x
PLA_8;密西西比;;;;;;;;;;;x
PLA_9;伊诺卡;;;;;;;;;;;x
SCA_334;斯科讷;;;;;;;;;;;;;x
BOL_2305;康提苏;;;;;;;;;;;x
PEU_2297;库斯科;;;;;;;;;;;x
BOL_2321;提瓦纳库;;;;;;;;;;;x
ARG_2368;提尔卡拉;;;;;;;;;;;x
ARG_2387;卡塔马卡;;;;;;;;;;;x
CHL_2327;塔尔卡;;;;;;;;;;;x
CHL_2322;安提苏;;;;;;;;;;;x
DNG_1;青丘;;;;;;;;;;;x
DNG_2;大燕;;;;;;;;;;;x
DNG_3;东极;;;;;;;;;;;x
DNG_4;夏州;;;;;;;;;;;x
DNG_5;玉田;;;;;;;;;;;x
VIN_1;特兰瓦德;;;;;;;;;;;x
VIN_2;奥斯特兰;;;;;;;;;;;x
VIN_3;维兰;;;;;;;;;;;x
VIN_4;斯托延纳;;;;;;;;;;;x
VIN_5;克朗恩;;;;;;;;;;;x
VIN_6;马克兰;;;;;;;;;;;x
VIN_7;新特龙德拉格;;;;;;;;;;;x
VIN_8;斯格林马克;;;;;;;;;;;x
VIN_9;克里斯蒂延娜;;;;;;;;;;;x
VIN_10;海鲁尔兰;;;;;;;;;;;x
AMA_1;卡帕多斯;;;;;;;;;;;x
AMA_2;南法兰西;;;;;;;;;;;x
AMA_3;芒茨;;;;;;;;;;;x
AMA_4;孔特河谷;;;;;;;;;;;x
AMA_5;果阿斯;;;;;;;;;;;x
LOT_1;卡菲河谷;;;;;;;;;;x
LOT_2;新阿尔萨斯;;;;;;;;;;;x
LOT_3;马切斯;;;;;;;;;;;x
LOT_4;南洛林;;;;;;;;;;;x
LOT_5;新勃艮第;;;;;;;;;;;x
LOT_6;德兰士河;;;;;;;;;;;x
NAN_1;诺桑比亚;;;;;;;;;;;x
NAN_2;威塞克斯;;;;;;;;;;;x
NAN_3;阿瓦隆;;;;;;;;;;;x
NAN_4;古德温森;;;;;;;;;;;x
NAN_5;新康维尔;;;;;;;;;;;x
SA_1;内亚马逊;;;;;;;;;;;x
SA_2;外亚马逊;;;;;;;;;;;x
SA_3;下亚马逊;;;;;;;;;;;x
SA_4;大查科;;;;;;;;;;;x
SA_5;小查科;;;;;;;;;;;x
SA_6;克拉苏;;;;;;;;;;;x
SA_7;拉帕努伊;;;;;;;;;;;x
SA_8;塔普特恩;;;;;;;;;;x
ESK_1;巴斯克;;;;;;;;;;;x
ENG_2087;开普;;;;;;;;;;;x
ENG_2092;奥兰治;;;;;;;;;;;x
POR_2049;新弗拉芒;;;;;;;;;;;x
ENG_2096;东开普;;;;;;;;;;;x
ENG_2509;莫图巴里;;;;;;;;;;;x
ENG_2513;莫图提木;;;;;;;;;;;x
GAN_6;雍古;;;;;;;;;;;x
GAN_7;努加;;;;;;;;;;;x
GAN_8;库马隆;;;;;;;;;;;x
ENG_1887;开普勒;;;;;;;;;;;x
FRA_1923;伊斐;;;;;;;;;;;x
FRA_1972;恩图穆;;;;;;;;;;;x
ENG_1956;南阿丹瓦;;;;;;;;;;;x
ENG_1960;北阿丹瓦;;;;;;;;;;;x
POR_2060;马库阿;;;;;;;;;;;x
ENG_2026;奇苏木;;;;;;;;;;;x
FRA_1893;迪乌拉;;;;;;;;;;;x
FRA_1892;吉亚曼;;;;;;;;;;;x
FRA_1919;达荷美;;;;;;;;;;;x
ENG_2024;基林亚苏;;;;;;;;;;;x
FRA_1930;考吉;;;;;;;;;;;x
TUR_885;小亚美尼亚;;;;;;;;;;;;;x
FRA_399;加来海峡;;;;;;;;;;;;;x
BEL_387;弗兰德斯;;;;;;;;;;;x
BEL_395;卢森堡;;;;;;;;;;;x
JAP_1088;北海道;;;;;;;;;;;x
AUS_770;卡尔洛瓦茨;;;;;;;;;;;x
AUS_736;伊斯特拉;;;;;;;;;;;x
AUS_950;德不吕岑;;;;;;;;;;;x
HAM_528;汉诺威;;;;;;;;;;;x
HAN_534;东弗里斯兰;;;;;;;;;;;x
ALD_1704;奥兰;;;;;;;;;;;x
ALD_1708;图古特;;;;;;;;;;;x
FRA_1700;康斯坦丁;;;;;;;;;;;x
HAI_2213;海地;;;;;;;;;;;x
ENG_2097;雅尔丹;;;;;;;;;;;x
ETH_1874;阿达尔;;;;;;;;;;;x
BCH_1;塔波拉;;;;;;;;;;;x
RUS_2685;伊赛特;;;;;;;;;;;x
RUS_1065;雅玛利亚;;;;;;;;;;;x
RUS_1064;恰什里克;;;;;;;;;;;x
NA_30;宏斯特;;;;;;;;;;;x
AST_2543;萨摩亚;;;;;;;;;;;x
NET_1426;兰芳;;;;;;;;;;;x
BAL_1446;帝汶;;;;;;;;;;;x
SIA_1366;高棉;;;;;;;;;;;x
ANN_1379;占婆;;;;;;;;;;;x
RUS_2590;尤皮克;;;;;;;;;;;x
NA_2631;土佐山田;;;;;;;;;;;x
ENG_2029;桑给巴尔;;;;;;;;;;;;;x
ENG_2039;基尔瓦;;;;;;;;;;;;;x
ENG_2132;大西洋群岛;;;;;;;;;;;;;x
TIB_1588;拉萨;;;;;;;;;;;x
PAN_1233;阿姆利则;;;;;;;;;;;x
RUS_2668;亚纳;;;;;;;;;;;x
SCA_252;冰岛;;;;;;;;;;;x
JAP_1665;四国;;;;;;;;;;;x
MEX_90;加利福尼亚;;;;;;;;;;;;;x
TEX_132;卢斯坦尼亚;;;;;;;;;;;x
TEX_134;巴伊亚;;;;;;;;;;;;;x
MEX_2142;太耶斯;;;;;;;;;;;x
MEX_2138;圣凯特琳;;;;;;;;;;;;;x
MEX_103;红土;;;;;;;;;;;;;x
ENG_1321;胜龙;;;;;;;;;;;x
SPA_2209;哈瓦那;;;;;;;;;;;x
MEX_2177;瓦哈卡;;;;;;;;;;;x
INC_2308;阿塔卡玛;;;;;;;;;;;x
RUS_2615;奈奈茨;;;;;;;;;;;x
RUS_2653;萨哈;;;;;;;;;;;x
RUS_1071;雅库茨;;;;;;;;;;;x
RUS_2694;凯茨;;;;;;;;;;;x
RUS_1070;楚瓦什;;;;;;;;;;;x
RUS_2642;奥罗什;;;;;;;;;;;x
RUS_1072;尼武克;;;;;;;;;;;x
RUS_1469;唐努图瓦;;;;;;;;;;;x
MON_1075;布里亚特;;;;;;;;;;;x
RUS_1079;伊勒呼里;;;;;;;;;;;x
RUS_1069;埃文提;;;;;;;;;;;x
RUS_1074;传兵卫;;;;;;;;;;;x
JAP_1086;桦太;;;;;;;;;;;x
CLM_1723;安达哥亚;;;;;;;;;;;x
RUS_2589;纳延马拉;;;;;;;;;;;x
TRI_1741;穆尔祖格;;;;;;;;;;;x
EGY_1735;图卜鲁克;;;;;;;;;;;x
TRI_1739;库夫拉;;;;;;;;;;;x
ENG_1825;阿拜池;;;;;;;;;;;x
MOR_1694;艾季迪尔;;;;;;;;;;;x
VEN_1784;欧罗;;;;;;;;;;;;;x
FRA_1803;马里;;;;;;;;;;;x
FRA_1880;提木巴;;;;;;;;;;;x
ENG_1818;马鲁阿;;;;;;;;;;;x
GRQ_2081;诺德兰;;;;;;;;;;;x
DEN_251;格陵兰;;;;;;;;;;;x
BAV_600;上普法尔茨;;;;;;;;;;;x
BAV_595;弗兰肯;;;;;;;;;;;x
BAV_599;拜恩;;;;;;;;;;;x
SAX_1;图林根;;;;;;;;;;;x
PRU_553;安哈尔特;;;;;;;;;;;x
HEK_568;布伦瑞克;;;;;;;;;;;x
GAN_11;皮雅特拉;;;;;;;;;;;x
GAN_10;乌德纳塔;;;;;;;;;;;x
MLT_1;马耳他;;;;;;;;;;;x
GEO_1;菲希斯;;;;;;;;;;;x
AST_2244;科科斯群岛;;;;;;;;;;;x
SPA_1455;吕宋;;;;;;;;;;;x
DNG_88;永乐;;;;;;;;;;;x
UCA_2197;马那瓜;;;;;;;;;;;x
DEN_251;格陵兰;;;;;;;;;;;x
UCA_2191;圣萨尔瓦多;;;;;;;;;;;x
EGY_903;上叙利亚;;;;;;;;;;;x
TUR_897;下叙利亚;;;;;;;;;;;x
EGY_910;东巴勒斯坦;;;;;;;;;;;x
EGY_921;西巴勒斯坦;;;;;;;;;;;x
EGY_1750;下埃及;;;;;;;;;;;x
EGY_1746;西奈;;;;;;;;;;;x
TUR_931;南伊拉克;;;;;;;;;;;x
TUR_935;巴士拉;;;;;;;;;;;x
TUR_923;南库尔德;;;;;;;;;;;x
TUR_889;北库尔德;;;;;;;;;;;x
TUR_881;本都;;;;;;;;;;;x
TUR_863;卑斯尼亚;;;;;;;;;;;x
TUR_869;小亚细亚;;;;;;;;;;;x
TUR_876;安纳托利亚;;;;;;;;;;;x
TRI_1743;的黎波里塔尼亚;;;;;;;;;;;x
EGY_1754;昔兰尼加;;;;;;;;;;;x
TRI_1743;菲赞;;;;;;;;;;;x
GEN_724;利古里亚;;;;;;;;;;;;;x
HES_2560;巴列丁奈;;;;;;;;;;;;;x
HES_566;黑森;;;;;;;;;;;;;x
SCH_370;石勒苏益格;;;;;;;;;;;;x
HOL_369;荷尔斯泰因;;;;;;;;;;;;x
WLS_1;威尔士;;;;;;;;;;;;x
TUR_859;东色雷斯;;;;;;;;;;;;x
TUR_860;君士坦丁堡;;;;;;;;;;;;x
AFG_1214;赫拉特;;;;;;;;;;;;x
AFG_1217;喀布尔;;;;;;;;;;;;x
MUG_1;阿瓦德;;;;;;;;;;;;x
MUG_2;阿拉哈巴德;;;;;;;;;;;;x
MUG_3;马尔瓦;;;;;;;;;;;;x
PRU_682;西里西亚;;;;;;;;;;;;x
FRA_412;艾尔萨斯;;;;;;;;;;;;x
FRA_411;洛林;;;;;;;;;;;;x
HAI_2213;苏德莱亚;;;;;;;;;;;;x
SA_9;Land's End;;;;;;;;;;;;x
SPA_506;卡塔赫纳;;;;;;;;;;;;x
SCA_345;西芬兰;;;;;;;;;;;;x
RUS_1185;七河;;;;;;;;;;;;x
RUS_1184;阿斯塔纳;;;;;;;;;;;;x
CHI_1597;塔米尔盆地;;;;;;;;;;;;x
CHI_1600;准噶尔;;;;;;;;;;;;x
CHI_2608;阿尔泰-萨彦;;;;;;;;;;;;x
CHI_1465;蒙古;;;;;;;;;;;;x
BUR_390;布拉邦特;;;;;;;;;;;;x
BUR_432;弗朗什-孔泰;;;;;;;;;;;;x
ALH_935;哈萨;;;;;;;;;;;;x
RUS_1034;阿的里;;;;;;;;;;;;x
RUS_1060;乌拉尔河畔;;;;;;;;;;;;x
RUS_979;顿河畔;;;;;;;;;;;;x
