HAVE_MILITARY_SCORE_LESS_THAN;Have a lower Military Score than: ;Disposent d'un score militaire inférieur à :  ;Erringen Sie eine geringere Militärpunktzahl als:;;;;;;;;;;x;
STRATA_NEED_LESS_THAN;Needs fullfilled at less than;Besoins satisfaits à moins de;Erfüllte Bedürfnisse weniger als;;;;;;;;;;x;
STRATA_NEED_MORE_THAN;Needs fullfilled at least;Besoins satisfaits d'au moins;Erfüllte Bedürfnisse mindestens;;;;;;;;;;x;
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN;Less than $VAL$ want political reform.;Moins de $VAL$ souhaitent une réforme politique.;Weniger als $VAL$ wollen politische Reformen.;;;;;;;;;;x;
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN;At least $VAL$ want political reform.;Au moins $VAL$ souhaitent une réforme politique.;Mindestens $VAL$ wollen politische Reformen.;;;;;;;;;;x;
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN;Less than $VAL$ want social reform.;Moins de $VAL$ souhaitent une réforme sociale.;Weniger als $VAL$ wollen soziale Reformen.;;;;;;;;;;x;
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN;At least $VAL$ want social reform.;Au moins $VAL$ souhaitent une réforme sociale.;Mindestens $VAL$ wollen soziale Reformen.;;;;;;;;;;x;
USA_proletarian_dictatorship;The USA;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_proletarian_dictatorship;The CSA;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_presidential_dictatorship;The USA;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_presidential_dictatorship;The CSA;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_bourgeois_dictatorship;The USA;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_bourgeois_dictatorship;The CSA;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_fascist_dictatorship;The USA;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_fascist_dictatorship;The CSA;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_prussian_constitutionalism;The USA;États-Unis;USA;;EE UU;;;;;;;;;x
CSA_prussian_constitutionalism;The CSA;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
USA_democracy;The USA;États-Unis;USA;;EE UU;;;;;;;;;x
