##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Common Event Options;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
EVTOPTBAD;这对我们是坏消息。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTBV;欢迎;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTGOOD;很好！;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTNO;不;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTOHNO;哦，不！;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTYES;好;;;;;;;;;;X;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
# Country Events;;;;;;;;;;;;;;x,,,,,,,,
##################################################;;;;;;;;;;;;;;x,,,,,,,,
##### Austria #####;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME101532;德涅斯特的美人鱼;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC101532;1837年，一个被称作鲁塞尼亚三人组（Ruska triitsia）的由Markiyan Shashkevych所领导的文学团体发表了《德涅斯特的美人鱼（Rusalka Dnistrova ）》，这本选集搜集了一些鲁塞尼亚方言的民谣与其他材料。政府当局与希腊正教会的都主教顾及到民主主义的影响而试图禁止这本书的传播。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA101532;将它列为禁书！;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTB101532;让他们有自己的书吧;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME101533;科苏特·拉约什被释放;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC101533;一位名叫科苏特·拉约什（Lajos Kossuth）的著名匈牙利自由主义者最终与一伙同样出名的志同道合者一起被从监狱释放。自他被释放以来，就已经成为了许多匈牙利人眼中的民族英雄，而且他还继续反对我们的政府。作为自由主义报纸《佩斯新闻报（Pesti Hirlap）》的编辑，他经常评论匈牙利的重大经济与社会问题，同时支持匈牙利在哈布斯堡帝国内完全的民族自治、解放农奴（不向贵族提供任何补偿）以及废除贵族特权。他还通过成立“工厂建设与商贸协会（Gyaralapito es Kereskedelmi Tarsasag）”推动工业化进程。;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA101533;又一个民族主义的喉舌...;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME101534;停止发行佩斯新闻报？;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC101534;我们已经尝试中止科苏特对我们统治的反对行动有一段时间了。由于他对我们在匈牙利的批评的影响巨大，我们的权威遭受了沉重打击。他主要的政治武器就是一份自由主义的烂报纸——《佩斯新闻报》，通过这份报纸他得以传播自己激进的观点。或许如果我们把市面上的这份报纸都买下来就可以让科苏特闭嘴了？;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTA101534;我们一定要终止这种反政府的闲言碎语！;;;;;;;;;;X;;;x,,,,,,,,
EVTOPTB101534;让它继续发行;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME101535;边缘化的匈牙利温和派;;;;;;;;;;x;;;x,,,,,,,,
EVTDESC101535;由于自1825年以来我们拒绝批准了许多匈牙利人要求的改革，我们已经边缘化了只要改革不要民族自治的温和派。科苏特在《佩斯新闻报》上发表的反对我们的文章曾经对我们迎头重击，而现在激进派，尤其是科苏特又掌握了民心，更重要的是掌握了议会多数。匈牙利人不再能接受任何低于自治的承诺了。伊斯特凡·塞切尼（Szechenyi Istvan），正是这个人在1825年最先发出改革的呼声，也正是他撰文攻击《佩斯新闻报》与科苏特本人，而现在他与那些温和派一起只能要么加入激进派要么像塞切尼一样倾向于保守派。现在在匈牙利已经没有中间立场的位子了。;;;;;;;;;;X;;;x,,,,,,,,
EVTNAME101536;弗兰基谢克·帕拉茨基与捷克民族复兴;;;;;;;;;;x;;;x,,,,,,,,
