;;;;;;;;;;;;;x,,;;;;
gtfo_on_title;Enable 'Remove From Sphere' Decisions;;;;;;;;;;;;x,,;;;;
gtfo_on_desc;The decisions to voluntarily remove countries from your Sphere of Influence are turned off by default (to keep them from cluttering up your list). Select this decision to enable them.;;;;;;;;;;;;x,,;;;;
gtfo_off_title;Disable 'Remove From Sphere' Decisions;;;;;;;;;;;;x,,;;;;
gtfo_off_desc;This will disenable your 'Remove From Sphere' decisions, so they no longer clutter up your list.;;;;;;;;;;;;x,;;;;
gtfo_BAH_title;Remove Bahia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BAH_desc;We've had a good run, but it's time to end our relationship with Bahia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CEQ_title;Remove Equador Confederation From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CEQ_desc;We've had a good run, but it's time to end our relationship with Equador Confederation: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ENT_title;Remove Entre Rios From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ENT_desc;We've had a good run, but it's time to end our relationship with Entre Rios: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GCO_title;Remove Gran Colombia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GCO_desc;We've had a good run, but it's time to end our relationship with Gran Colombia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GUY_title;Remove Essequiban From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GUY_desc;We've had a good run, but it's time to end our relationship with Essequiban: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LOS_title;Remove Los Altos From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LOS_desc;We've had a good run, but it's time to end our relationship with Los Altos: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_OAX_title;Remove Oaxaca From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_OAX_desc;We've had a good run, but it's time to end our relationship with Oaxaca: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PBC_title;Remove Peru-Bolivia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PBC_desc;We've had a good run, but it's time to end our relationship with Peru-Bolivia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PTG_title;Remove Patagonia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PTG_desc;We've had a good run, but it's time to end our relationship with Patagonia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RGR_title;Remove Rio Grande From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RGR_desc;We've had a good run, but it's time to end our relationship with Rio Grande: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RGS_title;Remove Rio Grande do Sul From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RGS_desc;We've had a good run, but it's time to end our relationship with Rio Grande do Sul: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SON_title;Remove Sonora From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SON_desc;We've had a good run, but it's time to end our relationship with Sonora: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SPU_title;Remove South Peru From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SPU_desc;We've had a good run, but it's time to end our relationship with South Peru: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_YUC_title;Remove Mayapan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_YUC_desc;We've had a good run, but it's time to end our relationship with Mayapan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DAK_title;Remove Dakota Republic From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DAK_desc;We've had a good run, but it's time to end our relationship with Dakota Republic: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FSA_title;Remove FSA From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FSA_desc;We've had a good run, but it's time to end our relationship with FSA: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JAM_title;Remove Jamaica From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JAM_desc;We've had a good run, but it's time to end our relationship with Jamaica: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LSK_title;Remove Alaska From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LSK_desc;We've had a good run, but it's time to end our relationship with Alaska: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PRI_title;Remove Puerto Rico From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PRI_desc;We've had a good run, but it's time to end our relationship with Puerto Rico: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TTB_title;Remove Trinidad From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TTB_desc;We've had a good run, but it's time to end our relationship with Trinidad: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UAL_title;Remove Alabama From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UAL_desc;We've had a good run, but it's time to end our relationship with Alabama: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UAR_title;Remove Arkansas From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UAR_desc;We've had a good run, but it's time to end our relationship with Arkansas: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UFL_title;Remove Florida From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UFL_desc;We've had a good run, but it's time to end our relationship with Florida: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UGA_title;Remove Bachwezi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UGA_desc;We've had a good run, but it's time to end our relationship with Bachwezi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UIA_title;Remove Iowa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UIA_desc;We've had a good run, but it's time to end our relationship with Iowa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UIL_title;Remove Illinois From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UIL_desc;We've had a good run, but it's time to end our relationship with Illinois: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UIN_title;Remove Indiana From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UIN_desc;We've had a good run, but it's time to end our relationship with Indiana: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UKY_title;Remove Kentucky From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UKY_desc;We've had a good run, but it's time to end our relationship with Kentucky: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ULA_title;Remove Louisiana From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ULA_desc;We've had a good run, but it's time to end our relationship with Louisiana: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UMI_title;Remove Michigan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_UMI_desc;We've had a good run, but it's time to end our relationship with Michigan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_UMN_title;Remove Minnesota From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
