immigration_policy;Immigration Policy;Immigration Policy;Immigration Policy;;Immigration Policy;;;;;;;;;x,,,,,
nobody_gets_out;Nobody Gets Out;Charcutage électoral;Wahlkreisschiebungen;;División fraudulenta de distritos;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
nobody_gets_out_l;Nobody Gets Out;Charcutage électoral;Wahlkreisschiebungen;;División fraudulenta de distritos;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
nobody_gets_out_desc;Nobody gets out of here alive. Not legally, anyway.;Les circonscriptions électorales sont délibérément modifiées à des fins électorales, ce qui signifie que les voix pour le parti dirigeant comptent davantage. Le parti dirigeant peut recourir au charcutage électoral pour que la population vote pour lui.;Wahlkreise oder -bezirke werden für Wahlen nach Belieben modifiziert. Als Resultat daraus zählen die Stimmen für die Regierungspartei mehr. Die Regierungspartei kann Wahlkreisschiebungen einsetzen, um die Bevölkerung dazu zu bewegen, für sie zu stimmen.;;Se modifican de manera deliberada los distritos o las fronteras electorales con fines interesados, lo que significa que los votos para el partido gobernante tienen más valor. El partido gobernante puede utilizar esta práctica para conseguir que la gente lo vote.;;;;;;;;;x;;;;;;;;;;;;;;
culture_immigration;Wealth Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
culture_immigration_l;Wealth Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
culture_immigration_desc;The government only encourages immigrants from accepted and primary cultures.;Le vote des électeurs n'est pas confidentiel. Le parti dirigeant sait pour qui vote la population et peut faire pression pour l'inciter à voter pour lui.;Die Entscheidungen der Wähler sind nicht vertraulich. Die Regierungspartei weiß, wen die Bevölkerung wählt und kann so Druck auf die Bevölkerung ausüben, für sie zu stimmen.;;El voto no es secreto. El partido gobernante sabe a quién vota la gente y puede presionar a la población con fines electorales.;;;;;;;;;x;;;;;;;;;;;;;;,,,
wealth_immigration;Wealth Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
wealth_immigration_l;Wealth Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
wealth_immigration_desc;Immigration is pay-your-way, allowing only wealthy individuals into the country.;Le vote des électeurs n'est pas confidentiel. Le parti dirigeant sait pour qui vote la population et peut faire pression pour l'inciter à voter pour lui.;Die Entscheidungen der Wähler sind nicht vertraulich. Die Regierungspartei weiß, wen die Bevölkerung wählt und kann so Druck auf die Bevölkerung ausüben, für sie zu stimmen.;;El voto no es secreto. El partido gobernante sabe a quién vota la gente y puede presionar a la población con fines electorales.;;;;;;;;;x;;;;;;;;;;;;;;,,
quota_immigration;Quota Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
quota_immigration_l;Quota Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
quota_immigration_desc;The government sets quotas and accepts only educated immigrants.;Le vote des électeurs n'est pas confidentiel. Le parti dirigeant sait pour qui vote la population et peut faire pression pour l'inciter à voter pour lui.;Die Entscheidungen der Wähler sind nicht vertraulich. Die Regierungspartei weiß, wen die Bevölkerung wählt und kann so Druck auf die Bevölkerung ausüben, für sie zu stimmen.;;El voto no es secreto. El partido gobernante sabe a quién vota la gente y puede presionar a la población con fines electorales.;;;;;;;;;x;;;;;;;;;;;;;;,,,
open_immigration;Open Immigration;Bulletins secrets;Nicht-öffentliche Wahlgänge;;Voto secreto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
open_immigration_l;Open Immigration;Bulletins secrets;Nicht-öffentliche Wahlgänge;;Voto secreto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
open_immigration_desc;Our country accepts all comers with open arms.;Le vote des électeurs est confidentiel pour ne pas qu'ils soient influencés (corruption ou intimidation). Le parti dirigeant ne peut pas affecter le vote des électeurs.;Die Entscheidungen der Wähler werden vertraulich behandelt, um Bestechungen oder Einschüchterungen zu verhindern. Die Regierungspartei kann die Stimmabgaben der Bevölkerung nicht beeinflussen.;;La decisión de los votantes es confidencial, para impedir que alguien intimide o soborne a los votantes. El partido gobernante no puede influir en los votos de la gente.;;;;;;;;;x;;;;;;;;;;;;;;,,,
implement_fpp_title;Implement First Past The Post;Implement First Past The Post;;Implement First Past The Post;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
implement_fpp_desc;The candidate with the most votes wins.;Le candidat qui obtient le plus de voix l'emporte.;Der Kandidat mit den meisten Stimmen gewinnt.;;Gana el candidato con más votos.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
implement_jm_title;Implement Jefferson Method;Implement Jefferson Method;;Implement Jefferson Method;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
implement_jm_desc;The Jefferson Method is a highest averages method for allocating seats.;La méthode de Jefferson correspond à la méthode des moyennes les plus hautes pour attribuer des sièges.;Die Jefferson-Methode ist eine Methode der höchsten Querschnittswerte zur Zuteilung der Sitze.;;El método Jefferson es un método de asignación de escaños basado en medias superiores.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
implement_pr_title;Implement Proportional Representation;Implement Proportional Representation;;Implement Proportional Representation;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
implement_pr_desc;The percentage of votes that groups of candidates obtain in elections equals the percentage of seats they receive;Le pourcentage de voix que les groupes de candidats obtiennent lors des élections correspondent au pourcentage de sièges qu'ils reçoivent.;Der Prozentsatz an Stimmen, den Kandidatengruppen bei Wahlen erzielen, ist gleich dem Prozentsatz an Sitzen, den sie erhalten.;;El porcentaje de votos obtenido por los grupos en las elecciones equivale al de escaños que reciben.;;;;;;;;;x;;;;;;;;;;;;;;,,
mandatory_service;Mandatory Service;Mandatory Service;Mandatory Service;;Mandatory Service;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
mandatory_service_l;Mandatory Service;Mandatory Service;Mandatory Service;;Mandatory Service;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
mandatory_service_desc;All adult males must serve in the military.;All adult males must serve in the military.;All adult males must serve in the military.;;All adult males must serve in the military.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
four_year_draft;Four Year Draft;Four Year Draft;Four Year Draft;;Four Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
four_year_draft_l;Four Year Draft;Four Year Draft;Four Year Draft;;Four Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
four_year_draft_desc;Conscripts are drafted for four years.;Conscripts are drafted for four years.;Conscripts are drafted for four years.;;Conscripts are drafted for four years.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
two_year_draft;Two Year Draft;Two Year Draft;Two Year Draft;;Two Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
two_year_draft_l;Two Year Draft;Two Year Draft;Two Year Draft;;Two Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
two_year_draft_desc;Conscripts are drafted for two years.;Conscripts are drafted for two years.;Conscripts are drafted for two years.;;Conscripts are drafted for two years.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
one_year_draft;One Year Draft;One Year Draft;One Year Draft;;One Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
one_year_draft_l;One Year Draft;One Year Draft;One Year Draft;;One Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
one_year_draft_desc;Conscripts are drafted for one year.;Conscripts are drafted for one year.;Conscripts are drafted for one year.;;Conscripts are drafted for one year.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_draft;No Draft;No Draft;No Draft;;No Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_draft_l;No Draft;No Draft;No Draft;;No Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_draft_desc;No conscription.;No conscription.;No conscription.;;No conscription.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
conscription;Conscription;Conscription;Conscription;;Conscription;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
oppression;Oppression;Oppression;Oppression;;Oppression;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
oppression_l;Oppression;Oppression;Oppression;;Oppression;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
oppression_desc;Racism is the norm and minorities are constrained by blatant legal requirements, relegating them to second-class status.;Oppression;Oppression;;Oppression;;;;;;;;;x;;;;;;;;;;;;;;,,,,
jim_crow;Jim Crow;Jim Crow;Jim Crow;;Jim Crow;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
jim_crow_l;Jim Crow;Jim Crow;Jim Crow;;Jim Crow;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
"jim_crow_desc;""Jim Crow"" laws", laws that target and act against minorities without explicitly mentioning them, are instituted in place of overtly racist policies.;Jim Crow;Jim Crow;;Jim Crow;;;;;;;;;x;;;;;;;;;;;;;;,,,
de_facto;De Facto;De Facto;De Facto;;De Facto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
de_facto_l;De Facto;De Facto;De Facto;;De Facto;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
de_facto_desc;Legislation targeting minorities is theoretically illegal," but de facto racism and segregation exist in many facets of society under so-called ""separate but equal"" doctrine.;De Facto;De Facto;;De Facto;;;;;;;;;x;;;;;;;;;;;;;;",,,,
protected;Protected;Protected;Protected;;Protected;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
protected_l;Protected;Protected;Protected;;Protected;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
protected_desc;Minorities are specially protected groups under the law.;Protected;Protected;;Protected;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
minorities;Minorities;Minorities;Minorities;;Minorities;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_controls;No Controls;No Controls;No Controls;;No Controls;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_controls_l;No Controls;No Controls;No Controls;;No Controls;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
no_controls_desc;There are no pollution controls whatsoever.;No Controls;No Controls;;No Controls;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trinket_envir;Few Standards;Little Regulation;Little Regulation;;Little Regulation;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trinket_envir_l;Few Standards;Little Regulation;Little Regulation;;Little Regulation;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
trinket_envir_desc;Toxic waste can't be dumped straight into food.;Little Regulation;Little Regulation;;Little Regulation;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
low_envir;Some Standards;Some Standards;Some Standards;;Some Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
low_envir_l;Some Standards;Some Standards;Some Standards;;Some Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
low_envir_desc;Air emissions and toxic waste dumping are regulated.;Some Standards;Some Standards;;Some Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
acceptable_envir;Good Standards;Good Standards;Good Standards;;Good Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
acceptable_envir_l;Good Standards;Good Standards;Good Standards;;Good Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
acceptable_envir_desc;Most pollutants that could cause a threat to public health are heavily regulated.;Good Standards;Good Standards;;Good Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
good_envir;Strict Standards;Strict Standards;Strict Standards;;Strict Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
good_envir_l;Strict Standards;Strict Standards;Strict Standards;;Strict Standards;;;;;;;;;x;;;;;;;;;;;;;;,,,,,
