##################################################;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
# Trait Tags;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_ATTACK;Attack;Attaque;Angriff;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_DEFEND;Defence;Défense;Verteidigung;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_MORALE;Morale;Moral;Moral;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_ORGANISATION;Organisation;Organisation;Organisation;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_RECONAISSANCE;Reconaissance;Reconnaissance;Aufklärung;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_SPEED;Speed;Vitesse;Geschwindigkeit;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_ATTRITION;Attrition;Usure;Verlustquote;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_EXPERIENCE;Experience;Expérience;Erfahrung;;;;;;;;;;;;x;;;;;;;;;;;;;;
TRAIT_RELIABILITY;Reliability;Fiabilité;Zuverlässigkeit;;;;;;;;;;;;x;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
# Trait Names;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
no_personality;No Personality;Aucune;Nichts;;;;;;;;;;;;x;;;;;;;;;;;;;;
active_p;Active;Actif;Aktiv;;;;;;;;;;;;x;;;;;;;;;;;;;;
au_fait;Au'fait;Au fait;Sicher;;;;;;;;;;;;x;;;;;;;;;;;;;;
apathetic;Apathetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
audacious;Audacious;Audacieux;Kühn;;;;;;;;;;;;x;;;;;;;;;;;;;;
able;Able;Capable;Fähig;;;;;;;;;;;;x;;;;;;;;;;;;;;
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;;x;;;;;;;;;;;;;;
aggressive;Aggressive;Agressif;Aggressiv;;;;;;;;;;;;x;;;;;;;;;;;;;;
arrogant;Arrogant;Arrogant;Arrogant;;;;;;;;;;;;x;;;;;;;;;;;;;;
balanced_p;Balanced;Pondéré;Ausgewogen;;;;;;;;;;;;x;;;;;;;;;;;;;;
bigoted;Bigoted;Sectaire;Engstirnig;;;;;;;;;;;;x;;;;;;;;;;;;;;
brilliant;Brilliant;Brillant;Brilliant;;;;;;;;;;;;x;;;;;;;;;;;;;;
brutish;Brutish;Brutal;Brutal;;;;;;;;;;;;x;;;;;;;;;;;;;;
bold;Bold;Téméraire;Mutig;;;;;;;;;;;;x;;;;;;;;;;;;;;
brash;Brash;Impudent;Forsch;;;;;;;;;;;;x;;;;;;;;;;;;;;
ballsy;Ballsy;Valeureux;Forsch;;;;;;;;;;;;x;;;;;;;;;;;;;;
bastard;Bastard;Goujat;Bastard;;;;;;;;;;;;x;;;;;;;;;;;;;;
cautious;Cautious;Prudent;Vorsichtig;;;;;;;;;;;;x;;;;;;;;;;;;;;
coward;Coward;Couard;Kleinmütig;;;;;;;;;;;;x;;;;;;;;;;;;;;
chickenhearted;Chickenhearted;Poltron;Ängstlich;;;;;;;;;;;;x;;;;;;;;;;;;;;
craven;Craven;Veule;Mutlos;;;;;;;;;;;;x;;;;;;;;;;;;;;
competent;Competent;Compétent;Kompetent;;;;;;;;;;;;x;;;;;;;;;;;;;;
clever;Clever;Adroit;Clever;;;;;;;;;;;;x;;;;;;;;;;;;;;
careless;Careless;Négligent;Achtlos;;;;;;;;;;;;x;;;;;;;;;;;;;;
calm;Calm;Calme;Ruhig;;;;;;;;;;;;x;;;;;;;;;;;;;;
cool_minded;Coolminded;Serein;Bedachtsam;;;;;;;;;;;;x;;;;;;;;;;;;;;
careful;Careful;Attentif;Sorgsam;;;;;;;;;;;;x;;;;;;;;;;;;;;
cruel;Cruel;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
choleric;Choleric;Colérique;Cholerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;
charismatic;Charismatic;Charismatique;Charismatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;
chivalrous;Chivalrous;Courtois;Ritterlich;;;;;;;;;;;;x;;;;;;;;;;;;;;
confident;Confident;Confiant;Sicher;;;;;;;;;;;;x;;;;;;;;;;;;;;
doughty;Doughty;Vaillant;Tapfer;;;;;;;;;;;;x;;;;;;;;;;;;;;
defiant;Defiant;Provocateur;Trotzig;;;;;;;;;;;;x;;;;;;;;;;;;;;
disciplined;Disciplined;Discipliné;Diszipliniert;;;;;;;;;;;;x;;;;;;;;;;;;;;
diligent;Diligent;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
dauntless;Dauntless;Déterminé;Unverzagt;;;;;;;;;;;;x;;;;;;;;;;;;;;
daring;Daring;Hardi;Draufgängerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;
disorderly;Disorderly;Désordonné;Unordentlich;;;;;;;;;;;;x;;;;;;;;;;;;;;
decisive;Decisive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
dumb;Dumb;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
diplomatic;Diplomatic;Diplomate;Diplomatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;
deeply_religious;Deeply Religious;Très croyant;Tief religiös;;;;;;;;;;;;x;;;;;;;;;;;;;;
expert;Expert;Expert;Experte;;;;;;;;;;;;x;;;;;;;;;;;;;;
energetic;Energetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
efficient;Efficient;Efficace;Effizient;;;;;;;;;;;;x;;;;;;;;;;;;;;
emotional;Emotional;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
earnest;Earnest;Sérieux;Ernsthaft;;;;;;;;;;;;x;;;;;;;;;;;;;;
fearless;Fearless;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
forgiving;Forgiving;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
fanatic;Fanatic;Fanatique;Fanatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;
gallant;Gallant;Courageux;Galant;;;;;;;;;;;;x;;;;;;;;;;;;;;
glory_hound;Glory Hound;Ambitieux;Ruhmsüchtig;;;;;;;;;;;;x;;;;;;;;;;;;;;
genius;Genius;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
gutsy;Gutsy;Brave;Waghalsig;;;;;;;;;;;;x;;;;;;;;;;;;;;
harsh;Harsh;Dur;Harsch;;;;;;;;;;;;x;;;;;;;;;;;;;;
hellbent;Hellbent;Acharné;Draufgänger;;;;;;;;;;;;x;;;;;;;;;;;;;;
heroic;Heroic;Héroïque;Heroisch;;;;;;;;;;;;x;;;;;;;;;;;;;;
irresponsible;Irresponsible;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
